['usazia', 202561852, 'impression', '4', 240933868L, datetime.datetime(2013, 5, 21, 21, 23, 47), 0.0224193167849897, False, 'best']
['usazia', 202561852, 'impression', '1', 240934735L, datetime.datetime(2013, 5, 21, 21, 23, 47), 0.236216677242922, False, 'best']
['usazia', 202561852, 'expand_tile', '1', 240934735L, datetime.datetime(2013, 5, 21, 21, 24, 5), 0.236216677242922, False, 'best']
['usazia', 202561852, 'expand_tile', '1', 240934735L, datetime.datetime(2013, 5, 21, 21, 24, 7), 0.236216677242922, False, 'best']
['usazia', 202561852, 'expand_tile', '1', 240934735L, datetime.datetime(2013, 5, 21, 21, 24, 17), 0.236216677242922, False, 'best']
['usazia', 202561852, 'expand_tile', '3', 240939436L, datetime.datetime(2013, 5, 21, 21, 24, 29), 0.0335762761091004, False, 'best']
['usazia', 202561852, 'collapse_tile', '1', 240934735L, datetime.datetime(2013, 5, 21, 21, 24, 33), 0.236216677242922, False, 'best']
['usazia', 202561852, 'expand_tile', '1', 240934735L, datetime.datetime(2013, 5, 21, 21, 24, 34), 0.236216677242922, False, 'best']
['usazia', 202561852, 'collapse_tile', '1', 240934735L, datetime.datetime(2013, 5, 21, 21, 24, 45), 0.236216677242922, False, 'best']
['usazia', 202561852, 'expand_tile', '1', 240934735L, datetime.datetime(2013, 5, 21, 21, 24, 46), 0.236216677242922, False, 'best']
['usazia', 202561852, 'impression', '2', 240939833L, datetime.datetime(2013, 5, 21, 21, 25, 5), 0.21213548626775, False, 'best']
['usazia', 202561852, 'impression', '4', 240933868L, datetime.datetime(2013, 5, 21, 21, 25, 5), 0.0224193167849897, False, 'best']
['usazia', 202561852, 'impression', '3', 240939436L, datetime.datetime(2013, 5, 21, 21, 25, 5), 0.0335762761091004, False, 'best']
['usazia', 202561852, 'impression', '1', 240934735L, datetime.datetime(2013, 5, 21, 21, 25, 5), 0.236216677242922, False, 'best']
['usazia', 202561852, 'expand_tile', '1', 240934735L, datetime.datetime(2013, 5, 21, 21, 25, 7), 0.236216677242922, False, 'best']
['usazia', 202561852, 'expand_tile', '2', 240939833L, datetime.datetime(2013, 5, 21, 21, 25, 14), 0.21213548626775, False, 'best']
['usazia', 202561852, 'view_full_application_via_name', '1', 240934735L, datetime.datetime(2013, 5, 21, 21, 25, 25), 0.236216677242922, False, 'best']

['usazia', 202561852, 'impression', '2', 240939833L, datetime.datetime(2013, 5, 22, 14, 6, 55), 0.21213548626775, False, 'best']
['usazia', 202561852, 'impression', '4', 240933868L, datetime.datetime(2013, 5, 22, 14, 6, 55), 0.0224193167849897, False, 'best']
['usazia', 202561852, 'impression', '3', 240939436L, datetime.datetime(2013, 5, 22, 14, 6, 55), 0.0335762761091004, False, 'best']
['usazia', 202561852, 'impression', '1', 240934735L, datetime.datetime(2013, 5, 22, 14, 6, 55), 0.236216677242922, False, 'best']

['usazia', 202561852, 'impression', '1', 240934735L, datetime.datetime(2013, 5, 22, 15, 57, 28), 0.236216677242922, False, 'best']
['usazia', 202561852, 'impression', '4', 240933868L, datetime.datetime(2013, 5, 22, 15, 57, 28), 0.0224193167849897, False, 'best']
['usazia', 202561852, 'impression', '3', 240939436L, datetime.datetime(2013, 5, 22, 15, 57, 28), 0.0335762761091004, False, 'best']
['usazia', 202561852, 'impression', '2', 240939833L, datetime.datetime(2013, 5, 22, 15, 57, 28), 0.21213548626775, False, 'best']

['usazia', 202561852, 'impression', '2', 240939833L, datetime.datetime(2013, 5, 23, 0, 15, 35), 0.21213548626775, False, 'best']
['usazia', 202561852, 'impression', '1', 240934735L, datetime.datetime(2013, 5, 23, 0, 15, 35), 0.236216677242922, False, 'best']
['usazia', 202561852, 'impression', '4', 240933868L, datetime.datetime(2013, 5, 23, 0, 15, 35), 0.0224193167849897, False, 'best']
['usazia', 202561852, 'impression', '3', 240939436L, datetime.datetime(2013, 5, 23, 0, 15, 35), 0.0335762761091004, False, 'best']

['usazia', 202561852, 'impression', '2', 240939833L, datetime.datetime(2013, 5, 24, 11, 16, 46), 0.21213548626775, False, 'best']
['usazia', 202561852, 'impression', '5', 240933868L, datetime.datetime(2013, 5, 24, 11, 16, 46), 0.0224193167849897, False, 'best']
['usazia', 202561852, 'impression', '4', 240939436L, datetime.datetime(2013, 5, 24, 11, 16, 46), 0.0335762761091004, False, 'best']
['usazia', 202561852, 'impression', '1', 240934735L, datetime.datetime(2013, 5, 24, 11, 16, 46), 0.236216677242922, False, 'best']
['usazia', 202561852, 'impression', '3', 241146864L, datetime.datetime(2013, 5, 24, 11, 16, 46), 0.0728244845265942, False, 'best']

['usazia', 202561852, 'impression', '2', 241146864L, datetime.datetime(2013, 5, 27, 15, 31, 4), 0.0728244845265942, False, 'best']
['usazia', 202561852, 'impression', '3', 240939436L, datetime.datetime(2013, 5, 27, 15, 31, 4), 0.0335762761091004, False, 'best']
['usazia', 202561852, 'impression', '1', 240934735L, datetime.datetime(2013, 5, 27, 15, 31, 4), 0.236216677242922, False, 'best']
['usazia', 202561852, 'impression', '4', 240933868L, datetime.datetime(2013, 5, 27, 15, 31, 4), 0.0224193167849897, False, 'best']

