['jbposey', 202573426, 'impression', '15', 241117092L, datetime.datetime(2013, 5, 23, 17, 12, 23), 0.0120977453215413, False, 'best']
['jbposey', 202573426, 'impression', '9', 241118550L, datetime.datetime(2013, 5, 23, 17, 12, 23), 0.0415335034554502, False, 'best']
['jbposey', 202573426, 'impression', '10', 241122078L, datetime.datetime(2013, 5, 23, 17, 12, 23), 0.0349700366231252, False, 'best']
['jbposey', 202573426, 'impression', '4', 241119351L, datetime.datetime(2013, 5, 23, 17, 12, 23), 0.0781869334531579, False, 'best']
['jbposey', 202573426, 'impression', '11', 241117912L, datetime.datetime(2013, 5, 23, 17, 12, 23), 0.0262251947099193, False, 'best']
['jbposey', 202573426, 'impression', '8', 241119298L, datetime.datetime(2013, 5, 23, 17, 12, 23), 0.0444691421181186, False, 'best']
['jbposey', 202573426, 'impression', '1', 241118487L, datetime.datetime(2013, 5, 23, 17, 12, 23), 0.180329843415936, False, 'best']
['jbposey', 202573426, 'impression', '7', 241124532L, datetime.datetime(2013, 5, 23, 17, 12, 23), 0.0459977046770653, False, 'best']
['jbposey', 202573426, 'impression', '14', 241122910L, datetime.datetime(2013, 5, 23, 17, 12, 23), 0.0137521018482507, False, 'best']
['jbposey', 202573426, 'impression', '4', 241122078L, datetime.datetime(2013, 5, 23, 17, 12, 45), 0.0349700366231252, False, 'time']
['jbposey', 202573426, 'impression', '6', 241119351L, datetime.datetime(2013, 5, 23, 17, 12, 45), 0.0781869334531579, False, 'time']
['jbposey', 202573426, 'impression', '5', 241120066L, datetime.datetime(2013, 5, 23, 17, 12, 45), 0.058187634359716, False, 'time']
['jbposey', 202573426, 'impression', '8', 241118761L, datetime.datetime(2013, 5, 23, 17, 12, 45), 0.119060613735897, False, 'time']
['jbposey', 202573426, 'impression', '10', 241118487L, datetime.datetime(2013, 5, 23, 17, 12, 45), 0.180329843415936, False, 'time']
['jbposey', 202573426, 'impression', '2', 241122910L, datetime.datetime(2013, 5, 23, 17, 12, 45), 0.0137521018482507, False, 'time']
['jbposey', 202573426, 'impression', '1', 241124532L, datetime.datetime(2013, 5, 23, 17, 12, 45), 0.0459977046770653, False, 'time']
['jbposey', 202573426, 'impression', '3', 241122080L, datetime.datetime(2013, 5, 23, 17, 12, 45), 0.0209312124703669, False, 'time']
['jbposey', 202573426, 'impression', '15', 241117092L, datetime.datetime(2013, 5, 23, 17, 12, 45), 0.0120977453215413, False, 'time']
['jbposey', 202573426, 'impression', '13', 241117413L, datetime.datetime(2013, 5, 23, 17, 12, 45), 0.11542635789441, False, 'time']
['jbposey', 202573426, 'impression', '9', 241118550L, datetime.datetime(2013, 5, 23, 17, 12, 45), 0.0415335034554502, False, 'time']
['jbposey', 202573426, 'impression', '12', 241117908L, datetime.datetime(2013, 5, 23, 17, 12, 45), 0.0557990564327299, False, 'time']
['jbposey', 202573426, 'impression', '14', 241117297L, datetime.datetime(2013, 5, 23, 17, 12, 45), 0.0161753330744081, False, 'time']
['jbposey', 202573426, 'impression', '7', 241119298L, datetime.datetime(2013, 5, 23, 17, 12, 45), 0.0444691421181186, False, 'time']
['jbposey', 202573426, 'impression', '11', 241117912L, datetime.datetime(2013, 5, 23, 17, 12, 45), 0.0262251947099193, False, 'time']
['jbposey', 202573426, 'expand_tile', '1', 241124532L, datetime.datetime(2013, 5, 23, 17, 12, 48), 0.0459977046770653, False, 'time']
['jbposey', 202573426, 'expand_tile', '2', 241122910L, datetime.datetime(2013, 5, 23, 17, 12, 54), 0.0137521018482507, False, 'time']
['jbposey', 202573426, 'expand_tile', '3', 241122080L, datetime.datetime(2013, 5, 23, 17, 13, 20), 0.0209312124703669, False, 'time']
['jbposey', 202573426, 'impression', '2', 241118761L, datetime.datetime(2013, 5, 23, 17, 38, 1), 0.119060613735897, False, 'best']
['jbposey', 202573426, 'impression', '5', 241120066L, datetime.datetime(2013, 5, 23, 17, 38, 1), 0.058187634359716, False, 'best']
['jbposey', 202573426, 'impression', '4', 241119351L, datetime.datetime(2013, 5, 23, 17, 38, 1), 0.0781869334531579, False, 'best']
['jbposey', 202573426, 'impression', '10', 241122078L, datetime.datetime(2013, 5, 23, 17, 38, 1), 0.0349700366231252, False, 'best']
['jbposey', 202573426, 'impression', '6', 241117908L, datetime.datetime(2013, 5, 23, 17, 38, 1), 0.0557990564327299, False, 'best']
['jbposey', 202573426, 'impression', '12', 241125295L, datetime.datetime(2013, 5, 23, 17, 38, 1), 0.0255503555204006, False, 'best']
['jbposey', 202573426, 'impression', '11', 241117912L, datetime.datetime(2013, 5, 23, 17, 38, 1), 0.0262251947099193, False, 'best']
['jbposey', 202573426, 'impression', '8', 241119298L, datetime.datetime(2013, 5, 23, 17, 38, 1), 0.0444691421181186, False, 'best']
['jbposey', 202573426, 'impression', '7', 241124532L, datetime.datetime(2013, 5, 23, 17, 38, 1), 0.0459977046770653, False, 'best']
['jbposey', 202573426, 'impression', '15', 241122910L, datetime.datetime(2013, 5, 23, 17, 38, 1), 0.0137521018482507, False, 'best']
['jbposey', 202573426, 'impression', '1', 241118487L, datetime.datetime(2013, 5, 23, 17, 38, 1), 0.180329843415936, False, 'best']
['jbposey', 202573426, 'impression', '14', 241117297L, datetime.datetime(2013, 5, 23, 17, 38, 1), 0.0161753330744081, False, 'best']
['jbposey', 202573426, 'impression', '3', 241117413L, datetime.datetime(2013, 5, 23, 17, 38, 1), 0.11542635789441, False, 'best']
['jbposey', 202573426, 'impression', '13', 241122080L, datetime.datetime(2013, 5, 23, 17, 38, 1), 0.0209312124703669, False, 'best']
['jbposey', 202573426, 'impression', '9', 241118550L, datetime.datetime(2013, 5, 23, 17, 38, 1), 0.0415335034554502, False, 'best']
['jbposey', 202573426, 'impression', '16', 241117092L, datetime.datetime(2013, 5, 23, 17, 38, 1), 0.0120977453215413, False, 'best']
['jbposey', 202573426, 'impression', '1', 241118487L, datetime.datetime(2013, 5, 23, 17, 47, 59), 0.180329843415936, False, 'best']
['jbposey', 202573426, 'impression', '7', 241124532L, datetime.datetime(2013, 5, 23, 17, 47, 59), 0.0459977046770653, False, 'best']
['jbposey', 202573426, 'impression', '15', 241122910L, datetime.datetime(2013, 5, 23, 17, 47, 59), 0.0137521018482507, False, 'best']
['jbposey', 202573426, 'impression', '14', 241117297L, datetime.datetime(2013, 5, 23, 17, 47, 59), 0.0161753330744081, False, 'best']
['jbposey', 202573426, 'impression', '13', 241122080L, datetime.datetime(2013, 5, 23, 17, 47, 59), 0.0209312124703669, False, 'best']
['jbposey', 202573426, 'impression', '9', 241118550L, datetime.datetime(2013, 5, 23, 17, 47, 59), 0.0415335034554502, False, 'best']
['jbposey', 202573426, 'impression', '3', 241117413L, datetime.datetime(2013, 5, 23, 17, 47, 59), 0.11542635789441, False, 'best']
['jbposey', 202573426, 'impression', '16', 241117092L, datetime.datetime(2013, 5, 23, 17, 47, 59), 0.0120977453215413, False, 'best']
['jbposey', 202573426, 'impression', '5', 241120066L, datetime.datetime(2013, 5, 23, 17, 47, 59), 0.058187634359716, False, 'best']
['jbposey', 202573426, 'impression', '2', 241118761L, datetime.datetime(2013, 5, 23, 17, 47, 59), 0.119060613735897, False, 'best']
['jbposey', 202573426, 'impression', '12', 241125295L, datetime.datetime(2013, 5, 23, 17, 47, 59), 0.0255503555204006, False, 'best']
['jbposey', 202573426, 'impression', '8', 241119298L, datetime.datetime(2013, 5, 23, 17, 47, 59), 0.0444691421181186, False, 'best']
['jbposey', 202573426, 'impression', '11', 241117912L, datetime.datetime(2013, 5, 23, 17, 47, 59), 0.0262251947099193, False, 'best']
['jbposey', 202573426, 'impression', '6', 241117908L, datetime.datetime(2013, 5, 23, 17, 47, 59), 0.0557990564327299, False, 'best']
['jbposey', 202573426, 'impression', '4', 241119351L, datetime.datetime(2013, 5, 23, 17, 47, 59), 0.0781869334531579, False, 'best']
['jbposey', 202573426, 'impression', '10', 241122078L, datetime.datetime(2013, 5, 23, 17, 47, 59), 0.0349700366231252, False, 'best']

['jbposey', 202573426, 'impression', '15', 241117297L, datetime.datetime(2013, 5, 23, 18, 31, 50), 0.0161753330744081, False, 'best']
['jbposey', 202573426, 'impression', '11', 241122078L, datetime.datetime(2013, 5, 23, 18, 31, 50), 0.0349700366231252, False, 'best']
['jbposey', 202573426, 'impression', '4', 241119351L, datetime.datetime(2013, 5, 23, 18, 31, 50), 0.0781869334531579, False, 'best']
['jbposey', 202573426, 'impression', '9', 241118550L, datetime.datetime(2013, 5, 23, 18, 31, 50), 0.0415335034554502, False, 'best']
['jbposey', 202573426, 'impression', '3', 241117413L, datetime.datetime(2013, 5, 23, 18, 31, 50), 0.11542635789441, False, 'best']
['jbposey', 202573426, 'impression', '17', 241117092L, datetime.datetime(2013, 5, 23, 18, 31, 50), 0.0120977453215413, False, 'best']
['jbposey', 202573426, 'impression', '14', 241122080L, datetime.datetime(2013, 5, 23, 18, 31, 50), 0.0209312124703669, False, 'best']
['jbposey', 202573426, 'impression', '2', 241118761L, datetime.datetime(2013, 5, 23, 18, 31, 50), 0.119060613735897, False, 'best']
['jbposey', 202573426, 'impression', '5', 241120066L, datetime.datetime(2013, 5, 23, 18, 31, 50), 0.058187634359716, False, 'best']
['jbposey', 202573426, 'impression', '8', 241119298L, datetime.datetime(2013, 5, 23, 18, 31, 50), 0.0444691421181186, False, 'best']
['jbposey', 202573426, 'impression', '10', 241132598L, datetime.datetime(2013, 5, 23, 18, 31, 50), 0.0387225982460776, False, 'best']
['jbposey', 202573426, 'impression', '13', 241125295L, datetime.datetime(2013, 5, 23, 18, 31, 50), 0.0255503555204006, False, 'best']
['jbposey', 202573426, 'impression', '12', 241117912L, datetime.datetime(2013, 5, 23, 18, 31, 50), 0.0262251947099193, False, 'best']
['jbposey', 202573426, 'impression', '6', 241117908L, datetime.datetime(2013, 5, 23, 18, 31, 50), 0.0557990564327299, False, 'best']
['jbposey', 202573426, 'impression', '1', 241118487L, datetime.datetime(2013, 5, 23, 18, 31, 50), 0.180329843415936, False, 'best']
['jbposey', 202573426, 'impression', '16', 241122910L, datetime.datetime(2013, 5, 23, 18, 31, 50), 0.0137521018482507, False, 'best']
['jbposey', 202573426, 'impression', '7', 241124532L, datetime.datetime(2013, 5, 23, 18, 31, 50), 0.0459977046770653, False, 'best']

['jbposey', 202573426, 'impression', '12', 241122078L, datetime.datetime(2013, 5, 23, 19, 14, 30), 0.0349700366231252, False, 'best']
