['tylerreed16', 202562282, 'impression', '1', 240909130L, datetime.datetime(2013, 5, 22, 8, 8, 49), 0.318531061481423, False, 'best']
['tylerreed16', 202562282, 'impression', '6', 240950918L, datetime.datetime(2013, 5, 22, 8, 8, 49), 0.112198966793897, False, 'best']
['tylerreed16', 202562282, 'impression', '4', 240955906L, datetime.datetime(2013, 5, 22, 8, 8, 49), 0.287004839688549, False, 'best']
['tylerreed16', 202562282, 'impression', '7', 240899688L, datetime.datetime(2013, 5, 22, 8, 8, 49), 0.0757154738401693, False, 'best']

['tylerreed16', 202562282, 'impression', '6', 240899688L, datetime.datetime(2013, 5, 22, 17, 54, 14), 0.0757154738401693, False, 'best']
['tylerreed16', 202562282, 'impression', '2', 240913070L, datetime.datetime(2013, 5, 22, 17, 54, 14), 0.308888699695633, False, 'best']
['tylerreed16', 202562282, 'impression', '7', 240910990L, datetime.datetime(2013, 5, 22, 17, 54, 14), 0.0498690441576423, False, 'best']
['tylerreed16', 202562282, 'impression', '1', 240909130L, datetime.datetime(2013, 5, 22, 17, 54, 14), 0.318531061481423, False, 'best']
['tylerreed16', 202562282, 'impression', '4', 240926182L, datetime.datetime(2013, 5, 22, 17, 54, 14), 0.165078367289535, False, 'best']
['tylerreed16', 202562282, 'impression', '3', 240955906L, datetime.datetime(2013, 5, 22, 17, 54, 14), 0.287004839688549, False, 'best']
['tylerreed16', 202562282, 'impression', '5', 240950918L, datetime.datetime(2013, 5, 22, 17, 54, 14), 0.112198966793897, False, 'best']
['tylerreed16', 202562282, 'expand_tile', '2', 240913070L, datetime.datetime(2013, 5, 22, 17, 55, 13), 0.308888699695633, False, 'best']
['tylerreed16', 202562282, 'view_full_application', '2', 240913070L, datetime.datetime(2013, 5, 22, 17, 55, 15), 0.308888699695633, False, 'best']
['tylerreed16', 202562282, 'impression', '6', 240899688L, datetime.datetime(2013, 5, 22, 17, 55, 33), 0.0757154738401693, False, 'best']
['tylerreed16', 202562282, 'impression', '5', 240950918L, datetime.datetime(2013, 5, 22, 17, 55, 33), 0.112198966793897, False, 'best']
['tylerreed16', 202562282, 'impression', '3', 240955906L, datetime.datetime(2013, 5, 22, 17, 55, 33), 0.287004839688549, False, 'best']
['tylerreed16', 202562282, 'impression', '1', 240909130L, datetime.datetime(2013, 5, 22, 17, 55, 33), 0.318531061481423, False, 'best']
['tylerreed16', 202562282, 'impression', '2', 240913070L, datetime.datetime(2013, 5, 22, 17, 55, 33), 0.308888699695633, False, 'best']
['tylerreed16', 202562282, 'impression', '7', 240910990L, datetime.datetime(2013, 5, 22, 17, 55, 33), 0.0498690441576423, False, 'best']
['tylerreed16', 202562282, 'impression', '4', 240926182L, datetime.datetime(2013, 5, 22, 17, 55, 33), 0.165078367289535, False, 'best']
['tylerreed16', 202562282, 'view_full_application_via_message', '2', 240913070L, datetime.datetime(2013, 5, 22, 18, 8, 26), 0.308888699695633, False, 'best']
['tylerreed16', 202562282, 'impression', '2', 240913070L, datetime.datetime(2013, 5, 22, 18, 17, 41), 0.308888699695633, False, 'best']
['tylerreed16', 202562282, 'impression', '1', 240909130L, datetime.datetime(2013, 5, 22, 18, 17, 41), 0.318531061481423, False, 'best']
['tylerreed16', 202562282, 'impression', '7', 240910990L, datetime.datetime(2013, 5, 22, 18, 17, 41), 0.0498690441576423, False, 'best']
['tylerreed16', 202562282, 'impression', '4', 240926182L, datetime.datetime(2013, 5, 22, 18, 17, 41), 0.165078367289535, False, 'best']
['tylerreed16', 202562282, 'impression', '6', 240899688L, datetime.datetime(2013, 5, 22, 18, 17, 41), 0.0757154738401693, False, 'best']
['tylerreed16', 202562282, 'impression', '3', 240955906L, datetime.datetime(2013, 5, 22, 18, 17, 41), 0.287004839688549, False, 'best']
['tylerreed16', 202562282, 'impression', '5', 240950918L, datetime.datetime(2013, 5, 22, 18, 17, 41), 0.112198966793897, False, 'best']
['tylerreed16', 202562282, 'impression', '5', 240950918L, datetime.datetime(2013, 5, 22, 18, 18, 40), 0.112198966793897, False, 'best']
['tylerreed16', 202562282, 'impression', '3', 240955906L, datetime.datetime(2013, 5, 22, 18, 18, 40), 0.287004839688549, False, 'best']
['tylerreed16', 202562282, 'impression', '6', 240899688L, datetime.datetime(2013, 5, 22, 18, 18, 40), 0.0757154738401693, False, 'best']
['tylerreed16', 202562282, 'impression', '4', 240926182L, datetime.datetime(2013, 5, 22, 18, 18, 40), 0.165078367289535, False, 'best']
['tylerreed16', 202562282, 'impression', '7', 240910990L, datetime.datetime(2013, 5, 22, 18, 18, 40), 0.0498690441576423, False, 'best']
['tylerreed16', 202562282, 'impression', '2', 240913070L, datetime.datetime(2013, 5, 22, 18, 18, 40), 0.308888699695633, False, 'best']
['tylerreed16', 202562282, 'impression', '1', 240909130L, datetime.datetime(2013, 5, 22, 18, 18, 40), 0.318531061481423, False, 'best']
['tylerreed16', 202562282, 'impression', '3', 240955906L, datetime.datetime(2013, 5, 22, 18, 45, 46), 0.287004839688549, False, 'best']
['tylerreed16', 202562282, 'impression', '5', 240950918L, datetime.datetime(2013, 5, 22, 18, 45, 46), 0.112198966793897, False, 'best']
['tylerreed16', 202562282, 'impression', '7', 240910990L, datetime.datetime(2013, 5, 22, 18, 45, 46), 0.0498690441576423, False, 'best']
['tylerreed16', 202562282, 'impression', '2', 240913070L, datetime.datetime(2013, 5, 22, 18, 45, 46), 0.308888699695633, False, 'best']
['tylerreed16', 202562282, 'impression', '1', 240909130L, datetime.datetime(2013, 5, 22, 18, 45, 46), 0.318531061481423, False, 'best']
['tylerreed16', 202562282, 'impression', '6', 240899688L, datetime.datetime(2013, 5, 22, 18, 45, 46), 0.0757154738401693, False, 'best']
['tylerreed16', 202562282, 'impression', '4', 240926182L, datetime.datetime(2013, 5, 22, 18, 45, 46), 0.165078367289535, False, 'best']
['tylerreed16', 202562282, 'view_full_application_via_message', '2', 240913070L, datetime.datetime(2013, 5, 22, 18, 45, 49), 0.308888699695633, False, 'best']

