['realivent', 202585139, 'impression', '10', 241424541L, datetime.datetime(2013, 5, 27, 19, 21, 13), 0.269600601671967, False, 'best']
['realivent', 202585139, 'impression', '9', 241377867L, datetime.datetime(2013, 5, 27, 19, 21, 13), 0.295907928572086, False, 'best']
['realivent', 202585139, 'impression', '19', 241385192L, datetime.datetime(2013, 5, 27, 19, 21, 13), 0.19929643797801, False, 'best']
['realivent', 202585139, 'impression', '17', 241377267L, datetime.datetime(2013, 5, 27, 19, 21, 13), 0.213834767073116, False, 'best']
['realivent', 202585139, 'impression', '1', 241376733L, datetime.datetime(2013, 5, 27, 19, 21, 13), 0.597612593558456, False, 'best']
['realivent', 202585139, 'impression', '14', 241380880L, datetime.datetime(2013, 5, 27, 19, 21, 13), 0.224555706248977, False, 'best']
['realivent', 202585139, 'impression', '8', 241378757L, datetime.datetime(2013, 5, 27, 19, 21, 13), 0.303412757613135, False, 'best']
['realivent', 202585139, 'impression', '15', 241377340L, datetime.datetime(2013, 5, 27, 19, 21, 13), 0.22243191124585, False, 'best']
['realivent', 202585139, 'impression', '11', 241379372L, datetime.datetime(2013, 5, 27, 19, 21, 13), 0.245915142583165, False, 'best']
['realivent', 202585139, 'impression', '4', 241402295L, datetime.datetime(2013, 5, 27, 19, 21, 13), 0.387236239730697, False, 'best']
['realivent', 202585139, 'impression', '2', 241415101L, datetime.datetime(2013, 5, 27, 19, 21, 13), 0.416459241001396, False, 'best']
['realivent', 202585139, 'impression', '7', 241376688L, datetime.datetime(2013, 5, 27, 19, 21, 13), 0.330912885549289, False, 'best']
['realivent', 202585139, 'impression', '5', 241377604L, datetime.datetime(2013, 5, 27, 19, 21, 13), 0.375955460350546, False, 'best']
['realivent', 202585139, 'impression', '20', 241399469L, datetime.datetime(2013, 5, 27, 19, 21, 13), 0.189820684832476, False, 'best']

['realivent', 202585139, 'impression', '3', 241377355L, datetime.datetime(2013, 5, 28, 6, 22, 11), 0.409054733827971, False, 'best']
['realivent', 202585139, 'impression', '16', 241380013L, datetime.datetime(2013, 5, 28, 6, 22, 11), 0.212955247219552, False, 'best']
['realivent', 202585139, 'impression', '6', 241388591L, datetime.datetime(2013, 5, 28, 6, 22, 11), 0.374841035538705, False, 'best']
['realivent', 202585139, 'impression', '11', 241380282L, datetime.datetime(2013, 5, 28, 6, 22, 11), 0.236318707377884, False, 'best']
