['swdelac', 202573625, 'impression', '9', 241254714L, datetime.datetime(2013, 5, 28, 14, 14, 59), 0.0715461669623873, False, 'best']
['swdelac', 202573625, 'impression', '2', 241143782L, datetime.datetime(2013, 5, 28, 14, 14, 59), 0.196776935606775, False, 'best']
['swdelac', 202573625, 'impression', '4', 241127571L, datetime.datetime(2013, 5, 28, 14, 14, 59), 0.0474291013654198, False, 'best']
['swdelac', 202573625, 'impression', '7', 241126459L, datetime.datetime(2013, 5, 28, 14, 14, 59), 0.0260754116020161, False, 'best']
['swdelac', 202573625, 'impression', '6', 241161986L, datetime.datetime(2013, 5, 28, 14, 14, 59), 0.0365581637826731, False, 'best']
['swdelac', 202573625, 'view_full_application_via_name', '5', 241121658L, datetime.datetime(2013, 5, 28, 14, 15, 2), 0.0441322731934535, False, 'best']

['swdelac', 202573625, 'impression', '4', 241127571L, datetime.datetime(2013, 5, 28, 15, 18, 27), 0.0474291013654198, False, 'best']
['swdelac', 202573625, 'impression', '8', 241161122L, datetime.datetime(2013, 5, 28, 15, 18, 27), 0.00548209333718239, False, 'best']
['swdelac', 202573625, 'impression', '9', 241254714L, datetime.datetime(2013, 5, 28, 15, 18, 27), 0.0715461669623873, False, 'best']
['swdelac', 202573625, 'impression', '2', 241143782L, datetime.datetime(2013, 5, 28, 15, 18, 27), 0.196776935606775, False, 'best']
['swdelac', 202573625, 'impression', '5', 241121658L, datetime.datetime(2013, 5, 28, 15, 18, 27), 0.0441322731934535, False, 'best']
['swdelac', 202573625, 'impression', '3', 241260904L, datetime.datetime(2013, 5, 28, 15, 18, 27), 0.170665238795326, False, 'best']
['swdelac', 202573625, 'impression', '7', 241126459L, datetime.datetime(2013, 5, 28, 15, 18, 27), 0.0260754116020161, False, 'best']
['swdelac', 202573625, 'impression', '6', 241161986L, datetime.datetime(2013, 5, 28, 15, 18, 27), 0.0365581637826731, False, 'best']
['swdelac', 202573625, 'impression', '1', 241122842L, datetime.datetime(2013, 5, 28, 15, 18, 27), 0.197519740120148, False, 'best']
['swdelac', 202573625, 'impression', '3', 241260904L, datetime.datetime(2013, 5, 28, 15, 18, 36), 0.170665238795326, False, 'best']
['swdelac', 202573625, 'view_full_application_via_name', '3', 241260904L, datetime.datetime(2013, 5, 28, 15, 18, 37), 0.170665238795326, False, 'best']
['swdelac', 202573625, 'view_full_application_via_name', '3', 241260904L, datetime.datetime(2013, 5, 28, 15, 18, 39), 0.170665238795326, False, 'best']
['swdelac', 202573625, 'view_full_application_via_name', '3', 241260904L, datetime.datetime(2013, 5, 28, 15, 18, 42), 0.170665238795326, False, 'best']

['swdelac', 202573625, 'impression', '5', 241121658L, datetime.datetime(2013, 5, 29, 14, 18, 5), 0.0441322731934535, False, 'best']
['swdelac', 202573625, 'impression', '3', 241260904L, datetime.datetime(2013, 5, 29, 14, 18, 5), 0.170665238795326, False, 'best']
['swdelac', 202573625, 'impression', '4', 241127571L, datetime.datetime(2013, 5, 29, 14, 18, 5), 0.0474291013654198, False, 'best']
['swdelac', 202573625, 'impression', '2', 241143782L, datetime.datetime(2013, 5, 29, 14, 18, 5), 0.196776935606775, False, 'best']
['swdelac', 202573625, 'impression', '9', 241254714L, datetime.datetime(2013, 5, 29, 14, 18, 5), 0.0715461669623873, False, 'best']
['swdelac', 202573625, 'impression', '8', 241161122L, datetime.datetime(2013, 5, 29, 14, 18, 5), 0.00548209333718239, False, 'best']
['swdelac', 202573625, 'impression', '1', 241122842L, datetime.datetime(2013, 5, 29, 14, 18, 5), 0.197519740120148, False, 'best']
['swdelac', 202573625, 'impression', '7', 241126459L, datetime.datetime(2013, 5, 29, 14, 18, 5), 0.0260754116020161, False, 'best']
['swdelac', 202573625, 'impression', '6', 241161986L, datetime.datetime(2013, 5, 29, 14, 18, 5), 0.0365581637826731, False, 'best']
['swdelac', 202573625, 'expand_tile', '3', 241260904L, datetime.datetime(2013, 5, 29, 14, 18, 9), 0.170665238795326, False, 'best']
['swdelac', 202573625, 'collapse_tile', '3', 241260904L, datetime.datetime(2013, 5, 29, 14, 18, 17), 0.170665238795326, False, 'best']
['swdelac', 202573625, 'view_full_application_via_name', '3', 241260904L, datetime.datetime(2013, 5, 29, 14, 18, 19), 0.170665238795326, False, 'best']

