['faithgraphix', 202576119, 'impression', '20', 241170725L, datetime.datetime(2013, 5, 25, 5, 25, 42), 0.168143926794781, False, 'best']
['faithgraphix', 202576119, 'impression', '1', 241166418L, datetime.datetime(2013, 5, 25, 5, 25, 42), 0.160581182396148, False, 'best']
['faithgraphix', 202576119, 'impression', '3', 241165321L, datetime.datetime(2013, 5, 25, 5, 25, 42), 0.111305217368853, True, 'best']
['faithgraphix', 202576119, 'impression', '10', 241175774L, datetime.datetime(2013, 5, 25, 5, 25, 42), 0.0292305466818959, False, 'best']
['faithgraphix', 202576119, 'impression', '12', 241164943L, datetime.datetime(2013, 5, 25, 5, 25, 42), 0.0246844858072259, False, 'best']
['faithgraphix', 202576119, 'impression', '2', 241165899L, datetime.datetime(2013, 5, 25, 5, 25, 42), 0.147162453818361, False, 'best']
['faithgraphix', 202576119, 'impression', '14', 241177124L, datetime.datetime(2013, 5, 25, 5, 25, 42), 0.0169615422468271, False, 'best']
['faithgraphix', 202576119, 'impression', '6', 241185872L, datetime.datetime(2013, 5, 25, 5, 25, 42), 0.106371099985372, False, 'best']
['faithgraphix', 202576119, 'impression', '19', 241169499L, datetime.datetime(2013, 5, 25, 5, 25, 42), 0.0444712581633747, False, 'best']
['faithgraphix', 202576119, 'impression', '18', 241164716L, datetime.datetime(2013, 5, 25, 5, 25, 42), 0.00480233402289599, False, 'best']
['faithgraphix', 202576119, 'impression', '11', 241171223L, datetime.datetime(2013, 5, 25, 5, 25, 42), 0.0250041015146706, False, 'best']
['faithgraphix', 202576119, 'impression', '15', 241165709L, datetime.datetime(2013, 5, 25, 5, 25, 42), 0.0134522928875801, False, 'best']
['faithgraphix', 202576119, 'impression', '17', 241170307L, datetime.datetime(2013, 5, 25, 5, 25, 42), 0.0111466268893488, False, 'best']
['faithgraphix', 202576119, 'impression', '9', 241208108L, datetime.datetime(2013, 5, 25, 5, 25, 42), 0.0431405876239537, False, 'best']
['faithgraphix', 202576119, 'impression', '4', 241164771L, datetime.datetime(2013, 5, 25, 5, 25, 42), 0.109426389827519, False, 'best']
['faithgraphix', 202576119, 'impression', '16', 241171429L, datetime.datetime(2013, 5, 25, 5, 25, 42), 0.011593249866516, False, 'best']

