['renasci', 202575267, 'impression', '5', 241224120L, datetime.datetime(2013, 5, 28, 17, 24, 24), 0.110817502831458, False, 'best']
['renasci', 202575267, 'impression', '2', 241268663L, datetime.datetime(2013, 5, 28, 17, 24, 24), 0.138420823526552, False, 'best']
['renasci', 202575267, 'impression', '13', 241199087L, datetime.datetime(2013, 5, 28, 17, 24, 24), 0.0417160624622017, False, 'best']
['renasci', 202575267, 'impression', '9', 241346158L, datetime.datetime(2013, 5, 28, 17, 24, 24), 0.0853317742034832, False, 'best']
['renasci', 202575267, 'impression', '4', 241167569L, datetime.datetime(2013, 5, 28, 17, 24, 24), 0.133879532111588, False, 'best']
['renasci', 202575267, 'impression', '11', 241222691L, datetime.datetime(2013, 5, 28, 17, 24, 24), 0.0723708317365571, False, 'best']
['renasci', 202575267, 'impression', '12', 241149385L, datetime.datetime(2013, 5, 28, 17, 24, 24), 0.0638334464832705, False, 'best']
['renasci', 202575267, 'impression', '17', 241191618L, datetime.datetime(2013, 5, 28, 17, 24, 24), 0.0382634095583939, False, 'best']
['renasci', 202575267, 'impression', '16', 241166250L, datetime.datetime(2013, 5, 28, 17, 24, 24), 0.0218077319044952, False, 'best']
['renasci', 202575267, 'expand_tile', '1', 241293698L, datetime.datetime(2013, 5, 28, 17, 24, 28), 0.259918545376691, False, 'best']
['renasci', 202575267, 'collapse_tile', '1', 241293698L, datetime.datetime(2013, 5, 28, 17, 25, 45), 0.259918545376691, False, 'best']
['renasci', 202575267, 'expand_tile', '2', 241268663L, datetime.datetime(2013, 5, 28, 17, 25, 47), 0.138420823526552, False, 'best']
['renasci', 202575267, 'collapse_tile', '2', 241268663L, datetime.datetime(2013, 5, 28, 17, 26, 8), 0.138420823526552, False, 'best']
['renasci', 202575267, 'expand_tile', '3', 241153237L, datetime.datetime(2013, 5, 28, 17, 26, 9), 0.137103140174868, True, 'best']
['renasci', 202575267, 'impression', '4', 241167569L, datetime.datetime(2013, 5, 28, 17, 26, 9), 0.133879532111588, False, 'best']
['renasci', 202575267, 'view_full_application', '3', 241153237L, datetime.datetime(2013, 5, 28, 17, 26, 37), 0.137103140174868, True, 'best']

['renasci', 202575267, 'impression', '13', 241199087L, datetime.datetime(2013, 5, 28, 18, 12, 7), 0.0417160624622017, False, 'best']
['renasci', 202575267, 'impression', '9', 241346158L, datetime.datetime(2013, 5, 28, 18, 12, 7), 0.0853317742034832, False, 'best']
['renasci', 202575267, 'impression', '4', 241167569L, datetime.datetime(2013, 5, 28, 18, 12, 7), 0.133879532111588, False, 'best']
['renasci', 202575267, 'impression', '8', 241418693L, datetime.datetime(2013, 5, 28, 18, 12, 7), 0.0947079891161369, False, 'best']
['renasci', 202575267, 'impression', '7', 241149688L, datetime.datetime(2013, 5, 28, 18, 12, 7), 0.0948511456143843, False, 'best']
['renasci', 202575267, 'impression', '14', 241464582L, datetime.datetime(2013, 5, 28, 18, 12, 7), 0.0416228792873676, False, 'best']
['renasci', 202575267, 'impression', '6', 241168064L, datetime.datetime(2013, 5, 28, 18, 12, 7), 0.0996980587561634, False, 'best']
['renasci', 202575267, 'impression', '5', 241224120L, datetime.datetime(2013, 5, 28, 18, 12, 7), 0.110817502831458, False, 'best']
['renasci', 202575267, 'impression', '2', 241268663L, datetime.datetime(2013, 5, 28, 18, 12, 7), 0.138420823526552, False, 'best']
['renasci', 202575267, 'impression', '12', 241149385L, datetime.datetime(2013, 5, 28, 18, 12, 7), 0.0638334464832705, False, 'best']
['renasci', 202575267, 'impression', '16', 241166250L, datetime.datetime(2013, 5, 28, 18, 12, 7), 0.0218077319044952, False, 'best']
['renasci', 202575267, 'impression', '17', 241191618L, datetime.datetime(2013, 5, 28, 18, 12, 7), 0.0382634095583939, False, 'best']
['renasci', 202575267, 'impression', '3', 241153237L, datetime.datetime(2013, 5, 28, 18, 12, 7), 0.137103140174868, True, 'best']
['renasci', 202575267, 'impression', '10', 241164614L, datetime.datetime(2013, 5, 28, 18, 12, 7), 0.0746898074585702, False, 'best']
['renasci', 202575267, 'impression', '11', 241222691L, datetime.datetime(2013, 5, 28, 18, 12, 7), 0.0723708317365571, False, 'best']
['renasci', 202575267, 'impression', '1', 241293698L, datetime.datetime(2013, 5, 28, 18, 12, 7), 0.259918545376691, False, 'best']
['renasci', 202575267, 'impression', '15', 241156986L, datetime.datetime(2013, 5, 28, 18, 12, 7), 0.0399458112578698, False, 'best']
['renasci', 202575267, 'expand_tile', '4', 241167569L, datetime.datetime(2013, 5, 28, 18, 12, 10), 0.133879532111588, False, 'best']
['renasci', 202575267, 'shortlist', '3', 241153237L, datetime.datetime(2013, 5, 28, 18, 12, 23), 0.137103140174868, True, 'best']
['renasci', 202575267, 'view_full_application_via_name', '4', 241167569L, datetime.datetime(2013, 5, 28, 18, 12, 36), 0.133879532111588, False, 'best']
['renasci', 202575267, 'impression', '3', 241153237L, datetime.datetime(2013, 5, 28, 18, 14, 12), 0.137103140174868, True, 'best']
['renasci', 202575267, 'impression', '10', 241164614L, datetime.datetime(2013, 5, 28, 18, 14, 12), 0.0746898074585702, False, 'best']
['renasci', 202575267, 'impression', '13', 241199087L, datetime.datetime(2013, 5, 28, 18, 14, 12), 0.0417160624622017, False, 'best']
['renasci', 202575267, 'impression', '9', 241346158L, datetime.datetime(2013, 5, 28, 18, 14, 12), 0.0853317742034832, False, 'best']
['renasci', 202575267, 'impression', '4', 241167569L, datetime.datetime(2013, 5, 28, 18, 14, 12), 0.133879532111588, False, 'best']
['renasci', 202575267, 'impression', '6', 241168064L, datetime.datetime(2013, 5, 28, 18, 14, 12), 0.0996980587561634, False, 'best']
['renasci', 202575267, 'impression', '7', 241149688L, datetime.datetime(2013, 5, 28, 18, 14, 12), 0.0948511456143843, False, 'best']
['renasci', 202575267, 'impression', '14', 241464582L, datetime.datetime(2013, 5, 28, 18, 14, 12), 0.0416228792873676, False, 'best']
['renasci', 202575267, 'impression', '8', 241418693L, datetime.datetime(2013, 5, 28, 18, 14, 12), 0.0947079891161369, False, 'best']
['renasci', 202575267, 'impression', '15', 241156986L, datetime.datetime(2013, 5, 28, 18, 14, 12), 0.0399458112578698, False, 'best']
['renasci', 202575267, 'impression', '1', 241293698L, datetime.datetime(2013, 5, 28, 18, 14, 12), 0.259918545376691, False, 'best']
['renasci', 202575267, 'impression', '5', 241224120L, datetime.datetime(2013, 5, 28, 18, 14, 12), 0.110817502831458, False, 'best']
['renasci', 202575267, 'impression', '2', 241268663L, datetime.datetime(2013, 5, 28, 18, 14, 12), 0.138420823526552, False, 'best']
['renasci', 202575267, 'impression', '12', 241149385L, datetime.datetime(2013, 5, 28, 18, 14, 12), 0.0638334464832705, False, 'best']
['renasci', 202575267, 'impression', '16', 241166250L, datetime.datetime(2013, 5, 28, 18, 14, 12), 0.0218077319044952, False, 'best']
['renasci', 202575267, 'impression', '17', 241191618L, datetime.datetime(2013, 5, 28, 18, 14, 12), 0.0382634095583939, False, 'best']
['renasci', 202575267, 'impression', '11', 241222691L, datetime.datetime(2013, 5, 28, 18, 14, 12), 0.0723708317365571, False, 'best']
['renasci', 202575267, 'impression', '4', 241167569L, datetime.datetime(2013, 5, 28, 18, 14, 14), 0.133879532111588, False, 'best']
['renasci', 202575267, 'impression', '4', 241167569L, datetime.datetime(2013, 5, 28, 18, 14, 15), 0.133879532111588, False, 'best']
['renasci', 202575267, 'shortlist', '4', 241167569L, datetime.datetime(2013, 5, 28, 18, 14, 20), 0.133879532111588, False, 'best']
['renasci', 202575267, 'impression', '5', 241224120L, datetime.datetime(2013, 5, 28, 18, 14, 22), 0.110817502831458, False, 'best']
['renasci', 202575267, 'expand_tile', '5', 241224120L, datetime.datetime(2013, 5, 28, 18, 14, 28), 0.110817502831458, False, 'best']
['renasci', 202575267, 'collapse_tile', '5', 241224120L, datetime.datetime(2013, 5, 28, 18, 15, 4), 0.110817502831458, False, 'best']
['renasci', 202575267, 'expand_tile', '6', 241168064L, datetime.datetime(2013, 5, 28, 18, 15, 11), 0.0996980587561634, False, 'best']
['renasci', 202575267, 'shortlist', '6', 241168064L, datetime.datetime(2013, 5, 28, 18, 15, 33), 0.0996980587561634, False, 'best']
['renasci', 202575267, 'expand_tile', '6', 241168064L, datetime.datetime(2013, 5, 28, 18, 15, 33), 0.0996980587561634, False, 'best']
['renasci', 202575267, 'collapse_tile', '6', 241168064L, datetime.datetime(2013, 5, 28, 18, 15, 36), 0.0996980587561634, False, 'best']
['renasci', 202575267, 'expand_tile', '7', 241149688L, datetime.datetime(2013, 5, 28, 18, 15, 41), 0.0948511456143843, False, 'best']
['renasci', 202575267, 'collapse_tile', '7', 241149688L, datetime.datetime(2013, 5, 28, 18, 16, 24), 0.0948511456143843, False, 'best']
['renasci', 202575267, 'expand_tile', '8', 241418693L, datetime.datetime(2013, 5, 28, 18, 16, 30), 0.0947079891161369, False, 'best']
['renasci', 202575267, 'view_full_application', '8', 241418693L, datetime.datetime(2013, 5, 28, 18, 16, 53), 0.0947079891161369, False, 'best']
['renasci', 202575267, 'impression', '1', 241293698L, datetime.datetime(2013, 5, 28, 18, 17, 14), 0.259918545376691, False, 'best']
['renasci', 202575267, 'impression', '15', 241156986L, datetime.datetime(2013, 5, 28, 18, 17, 14), 0.0399458112578698, False, 'best']
['renasci', 202575267, 'impression', '9', 241346158L, datetime.datetime(2013, 5, 28, 18, 17, 14), 0.0853317742034832, False, 'best']
['renasci', 202575267, 'impression', '4', 241167569L, datetime.datetime(2013, 5, 28, 18, 17, 14), 0.133879532111588, False, 'best']
['renasci', 202575267, 'impression', '13', 241199087L, datetime.datetime(2013, 5, 28, 18, 17, 14), 0.0417160624622017, False, 'best']
['renasci', 202575267, 'impression', '10', 241164614L, datetime.datetime(2013, 5, 28, 18, 17, 14), 0.0746898074585702, False, 'best']
['renasci', 202575267, 'impression', '3', 241153237L, datetime.datetime(2013, 5, 28, 18, 17, 14), 0.137103140174868, True, 'best']
['renasci', 202575267, 'impression', '12', 241149385L, datetime.datetime(2013, 5, 28, 18, 17, 14), 0.0638334464832705, False, 'best']
['renasci', 202575267, 'impression', '6', 241168064L, datetime.datetime(2013, 5, 28, 18, 17, 14), 0.0996980587561634, False, 'best']
['renasci', 202575267, 'impression', '14', 241464582L, datetime.datetime(2013, 5, 28, 18, 17, 14), 0.0416228792873676, False, 'best']
['renasci', 202575267, 'impression', '7', 241149688L, datetime.datetime(2013, 5, 28, 18, 17, 14), 0.0948511456143843, False, 'best']
['renasci', 202575267, 'impression', '8', 241418693L, datetime.datetime(2013, 5, 28, 18, 17, 14), 0.0947079891161369, False, 'best']
['renasci', 202575267, 'impression', '5', 241224120L, datetime.datetime(2013, 5, 28, 18, 17, 14), 0.110817502831458, False, 'best']
['renasci', 202575267, 'impression', '2', 241268663L, datetime.datetime(2013, 5, 28, 18, 17, 14), 0.138420823526552, False, 'best']
['renasci', 202575267, 'impression', '11', 241222691L, datetime.datetime(2013, 5, 28, 18, 17, 14), 0.0723708317365571, False, 'best']
['renasci', 202575267, 'impression', '17', 241191618L, datetime.datetime(2013, 5, 28, 18, 17, 14), 0.0382634095583939, False, 'best']
['renasci', 202575267, 'impression', '16', 241166250L, datetime.datetime(2013, 5, 28, 18, 17, 14), 0.0218077319044952, False, 'best']
['renasci', 202575267, 'shortlist', '8', 241418693L, datetime.datetime(2013, 5, 28, 18, 17, 19), 0.0947079891161369, False, 'best']
['renasci', 202575267, 'expand_tile', '9', 241346158L, datetime.datetime(2013, 5, 28, 18, 17, 24), 0.0853317742034832, False, 'best']
['renasci', 202575267, 'collapse_tile', '9', 241346158L, datetime.datetime(2013, 5, 28, 18, 18, 5), 0.0853317742034832, False, 'best']
['renasci', 202575267, 'shortlist', '9', 241346158L, datetime.datetime(2013, 5, 28, 18, 18, 7), 0.0853317742034832, False, 'best']
['renasci', 202575267, 'expand_tile', '10', 241164614L, datetime.datetime(2013, 5, 28, 18, 18, 39), 0.0746898074585702, False, 'best']
['renasci', 202575267, 'view_full_application', '10', 241164614L, datetime.datetime(2013, 5, 28, 18, 19, 2), 0.0746898074585702, False, 'best']
['renasci', 202575267, 'impression', '7', 241149688L, datetime.datetime(2013, 5, 28, 18, 22, 30), 0.0948511456143843, False, 'best']
['renasci', 202575267, 'impression', '6', 241168064L, datetime.datetime(2013, 5, 28, 18, 22, 30), 0.0996980587561634, False, 'best']
['renasci', 202575267, 'impression', '14', 241464582L, datetime.datetime(2013, 5, 28, 18, 22, 30), 0.0416228792873676, False, 'best']
['renasci', 202575267, 'impression', '8', 241418693L, datetime.datetime(2013, 5, 28, 18, 22, 30), 0.0947079891161369, False, 'best']
['renasci', 202575267, 'impression', '9', 241346158L, datetime.datetime(2013, 5, 28, 18, 22, 30), 0.0853317742034832, False, 'best']
['renasci', 202575267, 'impression', '4', 241167569L, datetime.datetime(2013, 5, 28, 18, 22, 30), 0.133879532111588, False, 'best']
['renasci', 202575267, 'impression', '13', 241199087L, datetime.datetime(2013, 5, 28, 18, 22, 30), 0.0417160624622017, False, 'best']
['renasci', 202575267, 'impression', '10', 241164614L, datetime.datetime(2013, 5, 28, 18, 22, 30), 0.0746898074585702, False, 'best']
['renasci', 202575267, 'impression', '3', 241153237L, datetime.datetime(2013, 5, 28, 18, 22, 30), 0.137103140174868, True, 'best']
['renasci', 202575267, 'impression', '1', 241293698L, datetime.datetime(2013, 5, 28, 18, 22, 30), 0.259918545376691, False, 'best']
['renasci', 202575267, 'impression', '15', 241156986L, datetime.datetime(2013, 5, 28, 18, 22, 30), 0.0399458112578698, False, 'best']
['renasci', 202575267, 'impression', '12', 241149385L, datetime.datetime(2013, 5, 28, 18, 22, 30), 0.0638334464832705, False, 'best']
