['igino', 202564813, 'view_full_application_via_name', '1', 240954528L, datetime.datetime(2013, 5, 21, 19, 12, 6), 0.0262273813173911, False, 'time']
['igino', 202564813, 'impression', '4', 240952293L, datetime.datetime(2013, 5, 21, 19, 12, 42), 0.0421021111496836, False, 'time']
['igino', 202564813, 'impression', '3', 240952437L, datetime.datetime(2013, 5, 21, 19, 12, 42), 0.0282492383647683, False, 'time']
['igino', 202564813, 'impression', '1', 240954528L, datetime.datetime(2013, 5, 21, 19, 12, 42), 0.0262273813173911, False, 'time']
['igino', 202564813, 'impression', '2', 240952734L, datetime.datetime(2013, 5, 21, 19, 12, 42), 0.0262501000682283, False, 'time']
['igino', 202564813, 'impression', '1', 240954528L, datetime.datetime(2013, 5, 21, 19, 12, 43), 0.0262273813173911, False, 'time']
['igino', 202564813, 'impression', '1', 240954528L, datetime.datetime(2013, 5, 21, 19, 12, 44), 0.0262273813173911, False, 'time']
['igino', 202564813, 'impression', '2', 240952734L, datetime.datetime(2013, 5, 21, 19, 12, 45), 0.0262501000682283, False, 'time']
['igino', 202564813, 'view_full_application_via_name', '2', 240952734L, datetime.datetime(2013, 5, 21, 19, 12, 48), 0.0262501000682283, False, 'time']
['igino', 202564813, 'impression', '2', 240952734L, datetime.datetime(2013, 5, 21, 19, 13, 45), 0.0262501000682283, False, 'time']
['igino', 202564813, 'impression', '4', 240952293L, datetime.datetime(2013, 5, 21, 19, 13, 45), 0.0421021111496836, False, 'time']
['igino', 202564813, 'impression', '1', 240954528L, datetime.datetime(2013, 5, 21, 19, 13, 45), 0.0262273813173911, False, 'time']
['igino', 202564813, 'impression', '3', 240952437L, datetime.datetime(2013, 5, 21, 19, 13, 45), 0.0282492383647683, False, 'time']
['igino', 202564813, 'impression', '1', 240954528L, datetime.datetime(2013, 5, 21, 19, 13, 53), 0.0262273813173911, False, 'time']
['igino', 202564813, 'view_full_application_via_name', '1', 240954528L, datetime.datetime(2013, 5, 21, 19, 13, 59), 0.0262273813173911, False, 'time']
['igino', 202564813, 'impression', '1', 240954528L, datetime.datetime(2013, 5, 21, 19, 14, 12), 0.0262273813173911, False, 'time']
['igino', 202564813, 'impression', '2', 240952734L, datetime.datetime(2013, 5, 21, 19, 14, 12), 0.0262501000682283, False, 'time']
['igino', 202564813, 'impression', '3', 240952437L, datetime.datetime(2013, 5, 21, 19, 14, 12), 0.0282492383647683, False, 'time']
['igino', 202564813, 'impression', '4', 240952293L, datetime.datetime(2013, 5, 21, 19, 14, 12), 0.0421021111496836, False, 'time']
['igino', 202564813, 'impression', '2', 240952734L, datetime.datetime(2013, 5, 21, 19, 14, 13), 0.0262501000682283, False, 'time']
['igino', 202564813, 'impression', '1', 240954528L, datetime.datetime(2013, 5, 21, 19, 14, 13), 0.0262273813173911, False, 'time']
['igino', 202564813, 'impression', '1', 240954528L, datetime.datetime(2013, 5, 21, 19, 14, 13), 0.0262273813173911, False, 'time']
['igino', 202564813, 'view_full_application_via_name', '2', 240952734L, datetime.datetime(2013, 5, 21, 19, 14, 15), 0.0262501000682283, False, 'time']
['igino', 202564813, 'impression', '1', 240952734L, datetime.datetime(2013, 5, 21, 19, 14, 30), 0.0262501000682283, False, 'time']
['igino', 202564813, 'impression', '3', 240952293L, datetime.datetime(2013, 5, 21, 19, 14, 30), 0.0421021111496836, False, 'time']
['igino', 202564813, 'impression', '2', 240952437L, datetime.datetime(2013, 5, 21, 19, 14, 30), 0.0282492383647683, False, 'time']
['igino', 202564813, 'impression', '1', 240952734L, datetime.datetime(2013, 5, 21, 19, 14, 32), 0.0262501000682283, False, 'time']
['igino', 202564813, 'impression', '1', 240952734L, datetime.datetime(2013, 5, 21, 19, 14, 33), 0.0262501000682283, False, 'time']
['igino', 202564813, 'impression', '3', 240952293L, datetime.datetime(2013, 5, 21, 19, 14, 33), 0.0421021111496836, False, 'time']
['igino', 202564813, 'view_full_application_via_name', '2', 240952437L, datetime.datetime(2013, 5, 21, 19, 14, 35), 0.0282492383647683, False, 'time']
['igino', 202564813, 'impression', '2', 240952293L, datetime.datetime(2013, 5, 21, 19, 16, 5), 0.0421021111496836, False, 'time']
['igino', 202564813, 'impression', '1', 240952437L, datetime.datetime(2013, 5, 21, 19, 16, 5), 0.0282492383647683, False, 'time']
['igino', 202564813, 'view_full_application_via_name', '1', 240952437L, datetime.datetime(2013, 5, 21, 19, 16, 21), 0.0282492383647683, False, 'time']
['igino', 202564813, 'impression', '2', 240952293L, datetime.datetime(2013, 5, 21, 19, 16, 57), 0.0421021111496836, False, 'time']
['igino', 202564813, 'impression', '1', 240952437L, datetime.datetime(2013, 5, 21, 19, 16, 57), 0.0282492383647683, False, 'time']
['igino', 202564813, 'impression', '2', 240952293L, datetime.datetime(2013, 5, 21, 19, 17, 1), 0.0421021111496836, False, 'time']
['igino', 202564813, 'impression', '1', 240952293L, datetime.datetime(2013, 5, 21, 19, 17, 22), 0.0421021111496836, False, 'time']
['igino', 202564813, 'view_full_application_via_name', '1', 240952293L, datetime.datetime(2013, 5, 21, 19, 17, 24), 0.0421021111496836, False, 'time']
['igino', 202564813, 'impression', '1', 240955256L, datetime.datetime(2013, 5, 21, 19, 22, 43), 0.00722742621495863, False, 'time']
['igino', 202564813, 'impression', '2', 240952293L, datetime.datetime(2013, 5, 21, 19, 22, 43), 0.0421021111496836, False, 'time']
['igino', 202564813, 'view_full_application_via_name', '1', 240955256L, datetime.datetime(2013, 5, 21, 19, 22, 46), 0.00722742621495863, False, 'time']
['igino', 202564813, 'impression', '3', 240952293L, datetime.datetime(2013, 5, 21, 19, 26, 45), 0.0421021111496836, False, 'time']
['igino', 202564813, 'impression', '2', 240955256L, datetime.datetime(2013, 5, 21, 19, 26, 45), 0.00722742621495863, False, 'time']
['igino', 202564813, 'impression', '1', 240955523L, datetime.datetime(2013, 5, 21, 19, 26, 45), 0.0159811384102325, False, 'time']
['igino', 202564813, 'impression', '2', 240955256L, datetime.datetime(2013, 5, 21, 19, 26, 50), 0.00722742621495863, False, 'time']
['igino', 202564813, 'view_full_application_via_name', '1', 240955523L, datetime.datetime(2013, 5, 21, 19, 26, 52), 0.0159811384102325, False, 'time']
['igino', 202564813, 'impression', '1', 240955523L, datetime.datetime(2013, 5, 21, 19, 40, 5), 0.0159811384102325, False, 'time']
['igino', 202564813, 'impression', '2', 240952293L, datetime.datetime(2013, 5, 21, 19, 40, 5), 0.0421021111496836, False, 'time']
['igino', 202564813, 'unshortlist', '2', 240952293L, datetime.datetime(2013, 5, 21, 19, 40, 14), 0.0421021111496836, False, 'time']
['igino', 202564813, 'impression', '2', 240952293L, datetime.datetime(2013, 5, 21, 19, 40, 15), 0.0421021111496836, False, 'time']
['igino', 202564813, 'impression', None, 240952293L, datetime.datetime(2013, 5, 21, 19, 40, 15), 0.0421021111496836, False, 'time']
['igino', 202564813, 'impression', '1', 240955523L, datetime.datetime(2013, 5, 21, 19, 40, 21), 0.0159811384102325, False, 'time']
['igino', 202564813, 'impression', '1', 240955523L, datetime.datetime(2013, 5, 21, 19, 40, 27), 0.0159811384102325, False, 'time']
['igino', 202564813, 'impression', '2', 240952293L, datetime.datetime(2013, 5, 21, 19, 40, 27), 0.0421021111496836, False, 'time']
