['stuayre', 202587496, 'impression', '2', 241433328L, datetime.datetime(2013, 5, 27, 21, 44, 49), 0.309960506966705, False, 'best']
['stuayre', 202587496, 'impression', '1', 241433226L, datetime.datetime(2013, 5, 27, 21, 44, 49), 0.327950282311959, False, 'best']
['stuayre', 202587496, 'impression', '3', 241433535L, datetime.datetime(2013, 5, 27, 21, 46, 48), 0.251093383837818, False, 'best']
['stuayre', 202587496, 'impression', '2', 241433328L, datetime.datetime(2013, 5, 27, 21, 46, 48), 0.309960506966705, False, 'best']
['stuayre', 202587496, 'impression', '1', 241433226L, datetime.datetime(2013, 5, 27, 21, 46, 48), 0.327950282311959, False, 'best']
['stuayre', 202587496, 'impression', '4', 241433962L, datetime.datetime(2013, 5, 27, 21, 46, 48), 0.240516909380478, False, 'best']
['stuayre', 202587496, 'impression', '2', 241433328L, datetime.datetime(2013, 5, 27, 21, 47, 32), 0.309960506966705, False, 'best']
['stuayre', 202587496, 'impression', '3', 241433535L, datetime.datetime(2013, 5, 27, 21, 47, 32), 0.251093383837818, False, 'best']
['stuayre', 202587496, 'impression', '1', 241433226L, datetime.datetime(2013, 5, 27, 21, 47, 32), 0.327950282311959, False, 'best']
['stuayre', 202587496, 'impression', '4', 241433962L, datetime.datetime(2013, 5, 27, 21, 47, 32), 0.240516909380478, False, 'best']
['stuayre', 202587496, 'impression', '1', 241433226L, datetime.datetime(2013, 5, 27, 21, 50, 17), 0.327950282311959, False, 'best']
['stuayre', 202587496, 'impression', '2', 241433328L, datetime.datetime(2013, 5, 27, 21, 50, 17), 0.309960506966705, False, 'best']
['stuayre', 202587496, 'impression', '5', 241433962L, datetime.datetime(2013, 5, 27, 21, 50, 17), 0.240516909380478, False, 'best']
['stuayre', 202587496, 'impression', '4', 241433535L, datetime.datetime(2013, 5, 27, 21, 50, 17), 0.251093383837818, False, 'best']
['stuayre', 202587496, 'impression', '3', 241434240L, datetime.datetime(2013, 5, 27, 21, 50, 17), 0.287243436121715, True, 'best']
['stuayre', 202587496, 'expand_tile', '3', 241434240L, datetime.datetime(2013, 5, 27, 21, 50, 27), 0.287243436121715, True, 'best']

['stuayre', 202587496, 'impression', '3', 241445834L, datetime.datetime(2013, 5, 28, 6, 27, 14), 0.304712804121579, False, 'best']
['stuayre', 202587496, 'impression', '6', 241433962L, datetime.datetime(2013, 5, 28, 6, 27, 14), 0.240516909380478, False, 'best']
['stuayre', 202587496, 'impression', '2', 241433328L, datetime.datetime(2013, 5, 28, 6, 27, 14), 0.309960506966705, False, 'best']
['stuayre', 202587496, 'impression', '1', 241433226L, datetime.datetime(2013, 5, 28, 6, 27, 14), 0.327950282311959, False, 'best']
['stuayre', 202587496, 'impression', '7', 241448249L, datetime.datetime(2013, 5, 28, 6, 27, 14), 0.192863111476489, False, 'best']
['stuayre', 202587496, 'impression', '4', 241434240L, datetime.datetime(2013, 5, 28, 6, 27, 14), 0.287243436121715, True, 'best']
['stuayre', 202587496, 'impression', '5', 241433535L, datetime.datetime(2013, 5, 28, 6, 27, 14), 0.251093383837818, False, 'best']

['stuayre', 202587496, 'impression', '1', 241433226L, datetime.datetime(2013, 5, 28, 9, 10, 28), 0.327950282311959, False, 'best']
['stuayre', 202587496, 'impression', '2', 241433328L, datetime.datetime(2013, 5, 28, 9, 10, 28), 0.309960506966705, False, 'best']
['stuayre', 202587496, 'impression', '5', 241433535L, datetime.datetime(2013, 5, 28, 9, 10, 28), 0.251093383837818, False, 'best']
['stuayre', 202587496, 'impression', '4', 241434240L, datetime.datetime(2013, 5, 28, 9, 10, 28), 0.287243436121715, True, 'best']
['stuayre', 202587496, 'impression', '6', 241433962L, datetime.datetime(2013, 5, 28, 9, 10, 28), 0.240516909380478, False, 'best']
['stuayre', 202587496, 'impression', '7', 241448249L, datetime.datetime(2013, 5, 28, 9, 10, 28), 0.192863111476489, False, 'best']
['stuayre', 202587496, 'impression', '3', 241445834L, datetime.datetime(2013, 5, 28, 9, 10, 28), 0.304712804121579, False, 'best']
['stuayre', 202587496, 'expand_tile', '5', 241433535L, datetime.datetime(2013, 5, 28, 9, 10, 34), 0.251093383837818, False, 'best']
['stuayre', 202587496, 'view_full_application', '5', 241433535L, datetime.datetime(2013, 5, 28, 9, 10, 37), 0.251093383837818, False, 'best']
['stuayre', 202587496, 'impression', '1', 241433226L, datetime.datetime(2013, 5, 28, 9, 10, 46), 0.327950282311959, False, 'best']
['stuayre', 202587496, 'impression', '7', 241448249L, datetime.datetime(2013, 5, 28, 9, 10, 46), 0.192863111476489, False, 'best']
['stuayre', 202587496, 'impression', '3', 241445834L, datetime.datetime(2013, 5, 28, 9, 10, 46), 0.304712804121579, False, 'best']
['stuayre', 202587496, 'impression', '4', 241434240L, datetime.datetime(2013, 5, 28, 9, 10, 46), 0.287243436121715, True, 'best']
['stuayre', 202587496, 'impression', '5', 241433535L, datetime.datetime(2013, 5, 28, 9, 10, 46), 0.251093383837818, False, 'best']
['stuayre', 202587496, 'impression', '6', 241433962L, datetime.datetime(2013, 5, 28, 9, 10, 46), 0.240516909380478, False, 'best']
['stuayre', 202587496, 'impression', '2', 241433328L, datetime.datetime(2013, 5, 28, 9, 10, 46), 0.309960506966705, False, 'best']
['stuayre', 202587496, 'impression', '5', 241433535L, datetime.datetime(2013, 5, 28, 9, 10, 47), 0.251093383837818, False, 'best']
['stuayre', 202587496, 'expand_tile', '4', 241434240L, datetime.datetime(2013, 5, 28, 9, 10, 48), 0.287243436121715, True, 'best']
