['delsnyc', 202576006, 'impression', '4', 241169685L, datetime.datetime(2013, 5, 24, 12, 51, 11), 0.028724207229166, False, 'time']
['delsnyc', 202576006, 'impression', '2', 241179174L, datetime.datetime(2013, 5, 24, 12, 51, 11), 0.0469989893261173, False, 'time']
['delsnyc', 202576006, 'impression', '3', 241169787L, datetime.datetime(2013, 5, 24, 12, 51, 11), 0.111108913518935, False, 'time']
['delsnyc', 202576006, 'view_full_application_via_name', '6', 241161928L, datetime.datetime(2013, 5, 24, 12, 51, 20), 0.0251863478122942, False, 'time']
['delsnyc', 202576006, 'impression', '5', 241161964L, datetime.datetime(2013, 5, 24, 12, 52, 15), 0.0543224086595552, False, 'time']
['delsnyc', 202576006, 'impression', '1', 241179300L, datetime.datetime(2013, 5, 24, 12, 52, 15), 0.131763716482967, False, 'time']
['delsnyc', 202576006, 'impression', '6', 241161928L, datetime.datetime(2013, 5, 24, 12, 52, 15), 0.0251863478122942, False, 'time']
['delsnyc', 202576006, 'impression', '4', 241169685L, datetime.datetime(2013, 5, 24, 12, 52, 15), 0.028724207229166, False, 'time']
['delsnyc', 202576006, 'impression', '2', 241179174L, datetime.datetime(2013, 5, 24, 12, 52, 15), 0.0469989893261173, False, 'time']
['delsnyc', 202576006, 'impression', '3', 241169787L, datetime.datetime(2013, 5, 24, 12, 52, 15), 0.111108913518935, False, 'time']
['delsnyc', 202576006, 'impression', '7', 241161173L, datetime.datetime(2013, 5, 24, 12, 52, 15), 0.102354482330415, False, 'time']
['delsnyc', 202576006, 'impression', '7', 241161173L, datetime.datetime(2013, 5, 24, 12, 52, 27), 0.102354482330415, False, 'time']
['delsnyc', 202576006, 'expand_tile', '7', 241161173L, datetime.datetime(2013, 5, 24, 12, 52, 39), 0.102354482330415, False, 'time']
['delsnyc', 202576006, 'send_message', '7', 241161173L, datetime.datetime(2013, 5, 24, 12, 52, 45), 0.102354482330415, False, 'time']
['delsnyc', 202576006, 'expand_tile', '7', 241161173L, datetime.datetime(2013, 5, 24, 12, 53, 17), 0.102354482330415, False, 'time']
['delsnyc', 202576006, 'collapse_tile', '7', 241161173L, datetime.datetime(2013, 5, 24, 12, 53, 22), 0.102354482330415, False, 'time']
['delsnyc', 202576006, 'impression', '5', 241161964L, datetime.datetime(2013, 5, 24, 12, 53, 25), 0.0543224086595552, False, 'time']
['delsnyc', 202576006, 'expand_tile', '5', 241161964L, datetime.datetime(2013, 5, 24, 12, 53, 30), 0.0543224086595552, False, 'time']
['delsnyc', 202576006, 'send_message', '5', 241161964L, datetime.datetime(2013, 5, 24, 12, 53, 41), 0.0543224086595552, False, 'time']
['delsnyc', 202576006, 'expand_tile', '5', 241161964L, datetime.datetime(2013, 5, 24, 12, 53, 59), 0.0543224086595552, False, 'time']
['delsnyc', 202576006, 'expand_tile', '6', 241161928L, datetime.datetime(2013, 5, 24, 12, 54, 6), 0.0251863478122942, False, 'time']
['delsnyc', 202576006, 'view_full_application_via_name', '6', 241161928L, datetime.datetime(2013, 5, 24, 12, 54, 18), 0.0251863478122942, False, 'time']
['delsnyc', 202576006, 'impression', '7', 241161173L, datetime.datetime(2013, 5, 24, 12, 54, 43), 0.102354482330415, False, 'time']
['delsnyc', 202576006, 'impression', '5', 241161964L, datetime.datetime(2013, 5, 24, 12, 54, 43), 0.0543224086595552, False, 'time']
['delsnyc', 202576006, 'impression', '2', 241179174L, datetime.datetime(2013, 5, 24, 12, 54, 43), 0.0469989893261173, False, 'time']
['delsnyc', 202576006, 'impression', '6', 241161928L, datetime.datetime(2013, 5, 24, 12, 54, 43), 0.0251863478122942, False, 'time']
['delsnyc', 202576006, 'impression', '4', 241169685L, datetime.datetime(2013, 5, 24, 12, 54, 43), 0.028724207229166, False, 'time']
['delsnyc', 202576006, 'impression', '3', 241169787L, datetime.datetime(2013, 5, 24, 12, 54, 43), 0.111108913518935, False, 'time']
['delsnyc', 202576006, 'impression', '1', 241179300L, datetime.datetime(2013, 5, 24, 12, 54, 43), 0.131763716482967, False, 'time']
['delsnyc', 202576006, 'view_full_application_via_name', '6', 241161928L, datetime.datetime(2013, 5, 24, 12, 54, 47), 0.0251863478122942, False, 'time']
['delsnyc', 202576006, 'impression', '1', 241179300L, datetime.datetime(2013, 5, 24, 12, 56, 22), 0.131763716482967, False, 'time']
['delsnyc', 202576006, 'impression', '7', 241161173L, datetime.datetime(2013, 5, 24, 12, 56, 22), 0.102354482330415, False, 'time']
['delsnyc', 202576006, 'impression', '2', 241179174L, datetime.datetime(2013, 5, 24, 12, 56, 22), 0.0469989893261173, False, 'time']
['delsnyc', 202576006, 'impression', '5', 241161964L, datetime.datetime(2013, 5, 24, 12, 56, 22), 0.0543224086595552, False, 'time']
['delsnyc', 202576006, 'impression', '3', 241169787L, datetime.datetime(2013, 5, 24, 12, 56, 22), 0.111108913518935, False, 'time']
['delsnyc', 202576006, 'impression', '4', 241169685L, datetime.datetime(2013, 5, 24, 12, 56, 22), 0.028724207229166, False, 'time']
['delsnyc', 202576006, 'impression', '6', 241161928L, datetime.datetime(2013, 5, 24, 12, 56, 22), 0.0251863478122942, False, 'time']
