['rrgaza', 202545970, 'impression', '6', 240558236L, datetime.datetime(2013, 5, 21, 17, 59, 13), 0.441566393865987, False, 'best']
['rrgaza', 202545970, 'impression', '3', 240554435L, datetime.datetime(2013, 5, 21, 17, 59, 13), 0.608369918747222, False, 'best']
['rrgaza', 202545970, 'impression', '9', 240561502L, datetime.datetime(2013, 5, 21, 17, 59, 13), 0.29128719626685, False, 'best']
['rrgaza', 202545970, 'impression', '1', 240560090L, datetime.datetime(2013, 5, 21, 17, 59, 13), 0.851402277003244, False, 'best']
['rrgaza', 202545970, 'impression', '8', 240616053L, datetime.datetime(2013, 5, 21, 17, 59, 13), 0.318258945910874, False, 'best']
['rrgaza', 202545970, 'impression', '12', 240557481L, datetime.datetime(2013, 5, 21, 17, 59, 13), 0.203396224015103, False, 'best']
['rrgaza', 202545970, 'expand_tile', '12', 240557481L, datetime.datetime(2013, 5, 21, 17, 59, 14), 0.203396224015103, False, 'best']
['rrgaza', 202545970, 'send_message', '12', 240557481L, datetime.datetime(2013, 5, 21, 17, 59, 17), 0.203396224015103, False, 'best']
['rrgaza', 202545970, 'expand_tile', '12', 240557481L, datetime.datetime(2013, 5, 21, 18, 0, 11), 0.203396224015103, False, 'best']
['rrgaza', 202545970, 'expand_tile', '7', 240552897L, datetime.datetime(2013, 5, 21, 18, 0, 39), 0.368502487430078, False, 'best']
['rrgaza', 202545970, 'send_message', '7', 240552897L, datetime.datetime(2013, 5, 21, 18, 0, 48), 0.368502487430078, False, 'best']
['rrgaza', 202545970, 'expand_tile', '7', 240552897L, datetime.datetime(2013, 5, 21, 18, 3, 7), 0.368502487430078, False, 'best']
['rrgaza', 202545970, 'expand_tile', '4', 240553162L, datetime.datetime(2013, 5, 21, 18, 3, 12), 0.534706178141482, False, 'best']
['rrgaza', 202545970, 'expand_tile', '10', 240651300L, datetime.datetime(2013, 5, 21, 18, 5, 38), 0.222757857353383, False, 'best']
['rrgaza', 202545970, 'send_message', '10', 240651300L, datetime.datetime(2013, 5, 21, 18, 5, 48), 0.222757857353383, False, 'best']
['rrgaza', 202545970, 'expand_tile', '10', 240651300L, datetime.datetime(2013, 5, 21, 18, 6, 42), 0.222757857353383, False, 'best']
['rrgaza', 202545970, 'view_full_application', '10', 240651300L, datetime.datetime(2013, 5, 21, 18, 6, 47), 0.222757857353383, False, 'best']
['rrgaza', 202545970, 'impression', '2', 240571183L, datetime.datetime(2013, 5, 21, 18, 27, 27), 0.774501478160646, False, 'best']
['rrgaza', 202545970, 'impression', '5', 240553947L, datetime.datetime(2013, 5, 21, 18, 27, 27), 0.533360142916301, False, 'best']
['rrgaza', 202545970, 'impression', '11', 240557023L, datetime.datetime(2013, 5, 21, 18, 27, 27), 0.207806369173412, False, 'best']
['rrgaza', 202545970, 'impression', '4', 240553162L, datetime.datetime(2013, 5, 21, 18, 27, 27), 0.534706178141482, False, 'best']
['rrgaza', 202545970, 'impression', '10', 240651300L, datetime.datetime(2013, 5, 21, 18, 27, 27), 0.222757857353383, False, 'best']
['rrgaza', 202545970, 'impression', '1', 240560090L, datetime.datetime(2013, 5, 21, 18, 27, 27), 0.851402277003244, False, 'best']
['rrgaza', 202545970, 'impression', '7', 240552897L, datetime.datetime(2013, 5, 21, 18, 27, 27), 0.368502487430078, False, 'best']
['rrgaza', 202545970, 'impression', '6', 240558236L, datetime.datetime(2013, 5, 21, 18, 27, 27), 0.441566393865987, False, 'best']
['rrgaza', 202545970, 'impression', '3', 240554435L, datetime.datetime(2013, 5, 21, 18, 27, 27), 0.608369918747222, False, 'best']
['rrgaza', 202545970, 'impression', '9', 240561502L, datetime.datetime(2013, 5, 21, 18, 27, 27), 0.29128719626685, False, 'best']
['rrgaza', 202545970, 'impression', '13', 240552192L, datetime.datetime(2013, 5, 21, 18, 27, 27), 0.0513369408168704, False, 'best']
['rrgaza', 202545970, 'impression', '12', 240557481L, datetime.datetime(2013, 5, 21, 18, 27, 27), 0.203396224015103, False, 'best']
['rrgaza', 202545970, 'impression', '8', 240616053L, datetime.datetime(2013, 5, 21, 18, 27, 27), 0.318258945910874, False, 'best']
['rrgaza', 202545970, 'view_full_application_via_name', '7', 240552897L, datetime.datetime(2013, 5, 21, 18, 27, 32), 0.368502487430078, False, 'best']

