['mahmuzalam', 202566308, 'impression', '1', 240986525L, datetime.datetime(2013, 5, 27, 20, 43, 18), 0.126241691273058, False, 'best']
['mahmuzalam', 202566308, 'impression', '2', 241005478L, datetime.datetime(2013, 5, 27, 20, 43, 19), 0.0850876708664544, False, 'best']
['mahmuzalam', 202566308, 'impression', '1', 241005478L, datetime.datetime(2013, 5, 27, 20, 45, 4), 0.0850876708664544, False, 'best']
['mahmuzalam', 202566308, 'impression', '5', 240992701L, datetime.datetime(2013, 5, 27, 20, 45, 4), 0.0258080063084865, False, 'best']
['mahmuzalam', 202566308, 'impression', '2', 241011716L, datetime.datetime(2013, 5, 27, 20, 45, 4), 0.0807431684937252, False, 'best']
['mahmuzalam', 202566308, 'impression', '7', 240989993L, datetime.datetime(2013, 5, 27, 20, 45, 4), 0.072163377938156, False, 'best']
['mahmuzalam', 202566308, 'impression', '8', 240994112L, datetime.datetime(2013, 5, 27, 20, 45, 4), 0.0663898976522676, False, 'best']
['mahmuzalam', 202566308, 'impression', '3', 241016432L, datetime.datetime(2013, 5, 27, 20, 45, 4), 0.036264076548739, False, 'best']
['mahmuzalam', 202566308, 'impression', '6', 240980967L, datetime.datetime(2013, 5, 27, 20, 45, 4), 0.0233542150155638, False, 'best']
['mahmuzalam', 202566308, 'impression', '4', 240988158L, datetime.datetime(2013, 5, 27, 20, 45, 4), 0.0322185679731462, False, 'best']
['mahmuzalam', 202566308, 'impression', '1', 241005478L, datetime.datetime(2013, 5, 27, 20, 45, 6), 0.0850876708664544, False, 'best']
['mahmuzalam', 202566308, 'impression', '8', 240994112L, datetime.datetime(2013, 5, 27, 20, 45, 21), 0.0663898976522676, False, 'best']
['mahmuzalam', 202566308, 'impression', '8', 240994112L, datetime.datetime(2013, 5, 27, 20, 45, 27), 0.0663898976522676, False, 'best']
['mahmuzalam', 202566308, 'impression', '7', 240989993L, datetime.datetime(2013, 5, 27, 20, 45, 31), 0.072163377938156, False, 'best']
['mahmuzalam', 202566308, 'impression', '7', 240989993L, datetime.datetime(2013, 5, 27, 20, 45, 35), 0.072163377938156, False, 'best']
['mahmuzalam', 202566308, 'impression', '7', 240989993L, datetime.datetime(2013, 5, 27, 20, 45, 35), 0.072163377938156, False, 'best']
['mahmuzalam', 202566308, 'impression', '7', 240989993L, datetime.datetime(2013, 5, 27, 20, 45, 37), 0.072163377938156, False, 'best']
['mahmuzalam', 202566308, 'impression', '7', 240989993L, datetime.datetime(2013, 5, 27, 20, 45, 42), 0.072163377938156, False, 'best']
['mahmuzalam', 202566308, 'impression', '6', 240980967L, datetime.datetime(2013, 5, 27, 20, 45, 44), 0.0233542150155638, False, 'best']
['mahmuzalam', 202566308, 'impression', '6', 240980967L, datetime.datetime(2013, 5, 27, 20, 45, 45), 0.0233542150155638, False, 'best']
['mahmuzalam', 202566308, 'impression', '5', 240992701L, datetime.datetime(2013, 5, 27, 20, 45, 45), 0.0258080063084865, False, 'best']
['mahmuzalam', 202566308, 'impression', '2', 241011716L, datetime.datetime(2013, 5, 27, 20, 45, 49), 0.0807431684937252, False, 'best']
['mahmuzalam', 202566308, 'impression', '1', 241005478L, datetime.datetime(2013, 5, 27, 20, 45, 50), 0.0850876708664544, False, 'best']

