['nandcgraphics', 202572705, 'expand_tile', '2', 241109256L, datetime.datetime(2013, 5, 23, 14, 22, 22), 0.196161696695035, False, 'time']
['nandcgraphics', 202572705, 'view_full_application', '2', 241109256L, datetime.datetime(2013, 5, 23, 14, 22, 46), 0.196161696695035, False, 'time']
['nandcgraphics', 202572705, 'view_full_application', '1', 241110549L, datetime.datetime(2013, 5, 23, 14, 24, 27), 0.180206735557423, True, 'time']
['nandcgraphics', 202572705, 'impression', '2', 241109256L, datetime.datetime(2013, 5, 23, 14, 29, 54), 0.196161696695035, False, 'time']
['nandcgraphics', 202572705, 'impression', '4', 241106780L, datetime.datetime(2013, 5, 23, 14, 29, 54), 0.0297714876156376, False, 'time']
['nandcgraphics', 202572705, 'impression', '5', 241104222L, datetime.datetime(2013, 5, 23, 14, 29, 54), 0.0884982126424957, False, 'time']
['nandcgraphics', 202572705, 'impression', '6', 241104069L, datetime.datetime(2013, 5, 23, 14, 29, 54), 0.152998351819428, False, 'time']
['nandcgraphics', 202572705, 'impression', '7', 241103147L, datetime.datetime(2013, 5, 23, 14, 29, 54), 0.113307149690273, False, 'time']
['nandcgraphics', 202572705, 'impression', '8', 241102867L, datetime.datetime(2013, 5, 23, 14, 29, 54), 0.218054042050634, False, 'time']
['nandcgraphics', 202572705, 'impression', '3', 241107261L, datetime.datetime(2013, 5, 23, 14, 29, 54), 0.121942495563399, False, 'time']
['nandcgraphics', 202572705, 'impression', '1', 241110549L, datetime.datetime(2013, 5, 23, 14, 29, 54), 0.180206735557423, True, 'time']

['nandcgraphics', 202572705, 'impression', '7', 241103147L, datetime.datetime(2013, 5, 23, 16, 1, 4), 0.113307149690273, False, 'time']
['nandcgraphics', 202572705, 'impression', '2', 241110549L, datetime.datetime(2013, 5, 23, 16, 1, 4), 0.180206735557423, True, 'time']
['nandcgraphics', 202572705, 'impression', '6', 241104069L, datetime.datetime(2013, 5, 23, 16, 1, 4), 0.152998351819428, False, 'time']
['nandcgraphics', 202572705, 'impression', '1', 241113411L, datetime.datetime(2013, 5, 23, 16, 1, 4), 0.228504288330072, False, 'time']
['nandcgraphics', 202572705, 'impression', '4', 241106780L, datetime.datetime(2013, 5, 23, 16, 1, 4), 0.0297714876156376, False, 'time']
['nandcgraphics', 202572705, 'impression', '5', 241104222L, datetime.datetime(2013, 5, 23, 16, 1, 4), 0.0884982126424957, False, 'time']
['nandcgraphics', 202572705, 'impression', '8', 241102867L, datetime.datetime(2013, 5, 23, 16, 1, 4), 0.218054042050634, False, 'time']
['nandcgraphics', 202572705, 'impression', '3', 241107261L, datetime.datetime(2013, 5, 23, 16, 1, 4), 0.121942495563399, False, 'time']
['nandcgraphics', 202572705, 'expand_tile', '1', 241113411L, datetime.datetime(2013, 5, 23, 16, 1, 13), 0.228504288330072, False, 'time']
['nandcgraphics', 202572705, 'view_full_application', '1', 241113411L, datetime.datetime(2013, 5, 23, 16, 1, 21), 0.228504288330072, False, 'time']
