['samlawhon', 202572401, 'impression', '18', 241109913L, datetime.datetime(2013, 5, 25, 13, 3, 51), 0.0219364496425324, False, 'best']
['samlawhon', 202572401, 'impression', '9', 241115077L, datetime.datetime(2013, 5, 25, 13, 3, 51), 0.0386971868237708, False, 'best']
['samlawhon', 202572401, 'impression', '1', 241214539L, datetime.datetime(2013, 5, 25, 13, 3, 51), 0.108331397087507, False, 'best']
['samlawhon', 202572401, 'impression', '14', 241106483L, datetime.datetime(2013, 5, 25, 13, 3, 51), 0.0248926968681311, False, 'best']
['samlawhon', 202572401, 'impression', '10', 241137947L, datetime.datetime(2013, 5, 25, 13, 3, 51), 0.038690815142712, False, 'best']
['samlawhon', 202572401, 'impression', '17', 241109040L, datetime.datetime(2013, 5, 25, 13, 3, 51), 0.0231597662881252, False, 'best']
['samlawhon', 202572401, 'impression', '15', 241103591L, datetime.datetime(2013, 5, 25, 13, 3, 51), 0.0246232863105634, False, 'best']
['samlawhon', 202572401, 'impression', '13', 241103002L, datetime.datetime(2013, 5, 25, 13, 3, 51), 0.0296279634292631, False, 'best']
['samlawhon', 202572401, 'impression', '4', 241102420L, datetime.datetime(2013, 5, 25, 13, 3, 51), 0.0461200687658401, False, 'best']
['samlawhon', 202572401, 'impression', '8', 241108039L, datetime.datetime(2013, 5, 25, 13, 3, 51), 0.0391385363319403, False, 'best']
['samlawhon', 202572401, 'impression', '11', 241096997L, datetime.datetime(2013, 5, 25, 13, 3, 51), 0.0367199501271618, False, 'best']
['samlawhon', 202572401, 'impression', '5', 241194837L, datetime.datetime(2013, 5, 25, 13, 3, 51), 0.0427948801254482, True, 'best']
['samlawhon', 202572401, 'impression', '12', 241127888L, datetime.datetime(2013, 5, 25, 13, 3, 51), 0.0331139433335364, False, 'best']
['samlawhon', 202572401, 'impression', '3', 241096051L, datetime.datetime(2013, 5, 25, 13, 6, 48), 0.046366274309147, False, 'best']
['samlawhon', 202572401, 'impression', '16', 241095816L, datetime.datetime(2013, 5, 25, 13, 6, 48), 0.0238598782666739, False, 'best']
['samlawhon', 202572401, 'impression', '20', 241110446L, datetime.datetime(2013, 5, 25, 13, 6, 48), 0.0212613417546074, False, 'best']
['samlawhon', 202572401, 'impression', '2', 241114601L, datetime.datetime(2013, 5, 25, 13, 6, 48), 0.0868907533305099, False, 'best']
['samlawhon', 202572401, 'impression', '6', 241121179L, datetime.datetime(2013, 5, 25, 13, 6, 48), 0.0405698160959389, False, 'best']
['samlawhon', 202572401, 'impression', '13', 241103002L, datetime.datetime(2013, 5, 25, 13, 6, 48), 0.0296279634292631, False, 'best']
['samlawhon', 202572401, 'impression', '5', 241194837L, datetime.datetime(2013, 5, 25, 13, 6, 48), 0.0427948801254482, True, 'best']
['samlawhon', 202572401, 'impression', '12', 241127888L, datetime.datetime(2013, 5, 25, 13, 6, 48), 0.0331139433335364, False, 'best']
['samlawhon', 202572401, 'impression', '4', 241102420L, datetime.datetime(2013, 5, 25, 13, 6, 48), 0.0461200687658401, False, 'best']
['samlawhon', 202572401, 'impression', '11', 241096997L, datetime.datetime(2013, 5, 25, 13, 6, 48), 0.0367199501271618, False, 'best']
['samlawhon', 202572401, 'impression', '8', 241108039L, datetime.datetime(2013, 5, 25, 13, 6, 48), 0.0391385363319403, False, 'best']
['samlawhon', 202572401, 'impression', '9', 241115077L, datetime.datetime(2013, 5, 25, 13, 6, 48), 0.0386971868237708, False, 'best']
['samlawhon', 202572401, 'impression', '18', 241109913L, datetime.datetime(2013, 5, 25, 13, 6, 48), 0.0219364496425324, False, 'best']
['samlawhon', 202572401, 'impression', '19', 241098134L, datetime.datetime(2013, 5, 25, 13, 6, 48), 0.0217930065908474, False, 'best']
['samlawhon', 202572401, 'impression', '17', 241109040L, datetime.datetime(2013, 5, 25, 13, 6, 48), 0.0231597662881252, False, 'best']
['samlawhon', 202572401, 'impression', '1', 241214539L, datetime.datetime(2013, 5, 25, 13, 6, 48), 0.108331397087507, False, 'best']
['samlawhon', 202572401, 'impression', '10', 241137947L, datetime.datetime(2013, 5, 25, 13, 6, 48), 0.038690815142712, False, 'best']
['samlawhon', 202572401, 'impression', '15', 241103591L, datetime.datetime(2013, 5, 25, 13, 6, 48), 0.0246232863105634, False, 'best']
['samlawhon', 202572401, 'impression', '14', 241106483L, datetime.datetime(2013, 5, 25, 13, 6, 48), 0.0248926968681311, False, 'best']
['samlawhon', 202572401, 'impression', '7', 241098254L, datetime.datetime(2013, 5, 25, 13, 6, 48), 0.0405351152212309, False, 'best']
['samlawhon', 202572401, 'expand_tile', '2', 241114601L, datetime.datetime(2013, 5, 25, 13, 7, 12), 0.0868907533305099, False, 'best']
['samlawhon', 202572401, 'expand_tile', '3', 241096051L, datetime.datetime(2013, 5, 25, 13, 7, 30), 0.046366274309147, False, 'best']
['samlawhon', 202572401, 'expand_tile', '4', 241102420L, datetime.datetime(2013, 5, 25, 13, 7, 34), 0.0461200687658401, False, 'best']
['samlawhon', 202572401, 'expand_tile', '5', 241194837L, datetime.datetime(2013, 5, 25, 13, 7, 47), 0.0427948801254482, True, 'best']
['samlawhon', 202572401, 'view_full_application_via_name', '5', 241194837L, datetime.datetime(2013, 5, 25, 13, 8, 11), 0.0427948801254482, True, 'best']

