['clubempire', 202583848, 'impression', '3', 241416030L, datetime.datetime(2013, 5, 28, 9, 21, 37), 0.299431846049834, False, 'time']
['clubempire', 202583848, 'impression', '7', 241373837L, datetime.datetime(2013, 5, 28, 9, 21, 37), 0.095938696285287, False, 'time']
['clubempire', 202583848, 'impression', '11', 241351176L, datetime.datetime(2013, 5, 28, 9, 21, 37), 0.179518418426457, False, 'time']
['clubempire', 202583848, 'impression', '12', 241351123L, datetime.datetime(2013, 5, 28, 9, 21, 37), 0.318695567682801, False, 'time']
['clubempire', 202583848, 'impression', '6', 241377167L, datetime.datetime(2013, 5, 28, 9, 21, 37), 0.217933817288652, False, 'time']
['clubempire', 202583848, 'impression', '13', 241350988L, datetime.datetime(2013, 5, 28, 9, 21, 37), 0.309696480270117, False, 'time']
['clubempire', 202583848, 'impression', '9', 241359718L, datetime.datetime(2013, 5, 28, 9, 21, 37), 0.0854836552925244, False, 'time']
['clubempire', 202583848, 'impression', '4', 241408062L, datetime.datetime(2013, 5, 28, 9, 21, 37), 0.225281005752259, False, 'time']
['clubempire', 202583848, 'impression', '5', 241385686L, datetime.datetime(2013, 5, 28, 9, 21, 37), 0.165902482896796, False, 'time']
['clubempire', 202583848, 'impression', '1', 241471704L, datetime.datetime(2013, 5, 28, 9, 21, 37), 0.0815067019500614, False, 'time']
['clubempire', 202583848, 'impression', '2', 241440895L, datetime.datetime(2013, 5, 28, 9, 21, 37), 0.211141254644321, False, 'time']
['clubempire', 202583848, 'impression', '8', 241363431L, datetime.datetime(2013, 5, 28, 9, 21, 37), 0.284902456375252, False, 'time']
['clubempire', 202583848, 'impression', '10', 241351489L, datetime.datetime(2013, 5, 28, 9, 21, 37), 0.356395652984984, False, 'time']
['clubempire', 202583848, 'impression', '10', 241351489L, datetime.datetime(2013, 5, 28, 9, 29, 49), 0.356395652984984, False, 'time']
['clubempire', 202583848, 'impression', '8', 241363431L, datetime.datetime(2013, 5, 28, 9, 29, 49), 0.284902456375252, False, 'time']
['clubempire', 202583848, 'impression', '1', 241471704L, datetime.datetime(2013, 5, 28, 9, 29, 49), 0.0815067019500614, False, 'time']
['clubempire', 202583848, 'impression', '12', 241351123L, datetime.datetime(2013, 5, 28, 9, 29, 49), 0.318695567682801, False, 'time']
['clubempire', 202583848, 'impression', '7', 241373837L, datetime.datetime(2013, 5, 28, 9, 29, 49), 0.095938696285287, False, 'time']
['clubempire', 202583848, 'impression', '3', 241416030L, datetime.datetime(2013, 5, 28, 9, 29, 49), 0.299431846049834, False, 'time']
['clubempire', 202583848, 'impression', '11', 241351176L, datetime.datetime(2013, 5, 28, 9, 29, 49), 0.179518418426457, False, 'time']
['clubempire', 202583848, 'impression', '14', 241350722L, datetime.datetime(2013, 5, 28, 9, 29, 49), 0.195646144500084, True, 'time']
['clubempire', 202583848, 'impression', '4', 241408062L, datetime.datetime(2013, 5, 28, 9, 29, 49), 0.225281005752259, False, 'time']
['clubempire', 202583848, 'impression', '13', 241350988L, datetime.datetime(2013, 5, 28, 9, 29, 49), 0.309696480270117, False, 'time']
['clubempire', 202583848, 'impression', '9', 241359718L, datetime.datetime(2013, 5, 28, 9, 29, 49), 0.0854836552925244, False, 'time']
['clubempire', 202583848, 'impression', '5', 241385686L, datetime.datetime(2013, 5, 28, 9, 29, 49), 0.165902482896796, False, 'time']
['clubempire', 202583848, 'impression', '6', 241377167L, datetime.datetime(2013, 5, 28, 9, 29, 49), 0.217933817288652, False, 'time']
['clubempire', 202583848, 'impression', '2', 241440895L, datetime.datetime(2013, 5, 28, 9, 29, 49), 0.211141254644321, False, 'time']
['clubempire', 202583848, 'expand_tile', '2', 241440895L, datetime.datetime(2013, 5, 28, 9, 29, 59), 0.211141254644321, False, 'time']
['clubempire', 202583848, 'expand_tile', '3', 241416030L, datetime.datetime(2013, 5, 28, 9, 30, 36), 0.299431846049834, False, 'time']
['clubempire', 202583848, 'expand_tile', '4', 241408062L, datetime.datetime(2013, 5, 28, 9, 30, 44), 0.225281005752259, False, 'time']
['clubempire', 202583848, 'expand_tile', '7', 241373837L, datetime.datetime(2013, 5, 28, 9, 30, 53), 0.095938696285287, False, 'time']
['clubempire', 202583848, 'send_message', '3', 241416030L, datetime.datetime(2013, 5, 28, 9, 33, 9), 0.299431846049834, False, 'time']
['clubempire', 202583848, 'expand_tile', '1', 241471704L, datetime.datetime(2013, 5, 28, 9, 33, 17), 0.0815067019500614, False, 'time']
['clubempire', 202583848, 'expand_tile', '9', 241359718L, datetime.datetime(2013, 5, 28, 9, 33, 33), 0.0854836552925244, False, 'time']
['clubempire', 202583848, 'expand_tile', '8', 241363431L, datetime.datetime(2013, 5, 28, 9, 33, 36), 0.284902456375252, False, 'time']

['clubempire', 202583848, 'impression', '12', 241351123L, datetime.datetime(2013, 5, 28, 10, 41, 34), 0.318695567682801, False, 'time']
['clubempire', 202583848, 'impression', '10', 241351489L, datetime.datetime(2013, 5, 28, 10, 41, 34), 0.356395652984984, False, 'time']
['clubempire', 202583848, 'impression', '8', 241363431L, datetime.datetime(2013, 5, 28, 10, 41, 34), 0.284902456375252, False, 'time']
['clubempire', 202583848, 'impression', '6', 241377167L, datetime.datetime(2013, 5, 28, 10, 41, 34), 0.217933817288652, False, 'time']
['clubempire', 202583848, 'impression', '7', 241373837L, datetime.datetime(2013, 5, 28, 10, 41, 34), 0.095938696285287, False, 'time']
['clubempire', 202583848, 'impression', '11', 241351176L, datetime.datetime(2013, 5, 28, 10, 41, 34), 0.179518418426457, False, 'time']
['clubempire', 202583848, 'impression', '14', 241350722L, datetime.datetime(2013, 5, 28, 10, 41, 34), 0.195646144500084, True, 'time']
['clubempire', 202583848, 'impression', '3', 241416030L, datetime.datetime(2013, 5, 28, 10, 41, 34), 0.299431846049834, False, 'time']
['clubempire', 202583848, 'impression', '5', 241385686L, datetime.datetime(2013, 5, 28, 10, 41, 34), 0.165902482896796, False, 'time']
['clubempire', 202583848, 'impression', '13', 241350988L, datetime.datetime(2013, 5, 28, 10, 41, 34), 0.309696480270117, False, 'time']
['clubempire', 202583848, 'impression', '4', 241408062L, datetime.datetime(2013, 5, 28, 10, 41, 34), 0.225281005752259, False, 'time']
['clubempire', 202583848, 'impression', '9', 241359718L, datetime.datetime(2013, 5, 28, 10, 41, 34), 0.0854836552925244, False, 'time']
['clubempire', 202583848, 'impression', '2', 241440895L, datetime.datetime(2013, 5, 28, 10, 41, 34), 0.211141254644321, False, 'time']
['clubempire', 202583848, 'impression', '1', 241471704L, datetime.datetime(2013, 5, 28, 10, 41, 34), 0.0815067019500614, False, 'time']
['clubempire', 202583848, 'expand_tile', '6', 241377167L, datetime.datetime(2013, 5, 28, 10, 44, 18), 0.217933817288652, False, 'time']
['clubempire', 202583848, 'expand_tile', '5', 241385686L, datetime.datetime(2013, 5, 28, 10, 44, 30), 0.165902482896796, False, 'time']
['clubempire', 202583848, 'impression', '12', 241351123L, datetime.datetime(2013, 5, 28, 10, 55, 31), 0.318695567682801, False, 'time']
['clubempire', 202583848, 'impression', '5', 241385686L, datetime.datetime(2013, 5, 28, 10, 55, 31), 0.165902482896796, False, 'time']
