['rn_baguhin', 202566578, 'impression', '3', 240981503L, datetime.datetime(2013, 5, 22, 20, 6, 14), 0.0214680200889508, False, 'time']
['rn_baguhin', 202566578, 'impression', '12', 240978797L, datetime.datetime(2013, 5, 22, 20, 6, 14), 0.0973567915228647, False, 'time']
['rn_baguhin', 202566578, 'impression', '11', 240978933L, datetime.datetime(2013, 5, 22, 20, 6, 14), 0.017643494479191, False, 'time']
['rn_baguhin', 202566578, 'impression', '5', 240980521L, datetime.datetime(2013, 5, 22, 20, 6, 14), 0.0616158734914767, False, 'time']
['rn_baguhin', 202566578, 'impression', '10', 240979019L, datetime.datetime(2013, 5, 22, 20, 6, 14), 0.0400043784232298, False, 'time']
['rn_baguhin', 202566578, 'impression', '16', 240977951L, datetime.datetime(2013, 5, 22, 20, 6, 14), 0.102488551683286, False, 'time']
['rn_baguhin', 202566578, 'impression', '15', 240977991L, datetime.datetime(2013, 5, 22, 20, 6, 14), 0.119635709537615, False, 'time']
['rn_baguhin', 202566578, 'impression', '17', 240977910L, datetime.datetime(2013, 5, 22, 20, 6, 14), 0.0675494154801681, False, 'time']
['rn_baguhin', 202566578, 'impression', '4', 240981089L, datetime.datetime(2013, 5, 22, 20, 6, 14), 0.0305899226091867, False, 'time']
['rn_baguhin', 202566578, 'impression', '14', 240978165L, datetime.datetime(2013, 5, 22, 20, 6, 14), 0.0155661384296057, False, 'time']
['rn_baguhin', 202566578, 'impression', '2', 240981719L, datetime.datetime(2013, 5, 22, 20, 6, 14), 0.0311778754320917, False, 'time']
['rn_baguhin', 202566578, 'impression', '8', 240979310L, datetime.datetime(2013, 5, 22, 20, 6, 14), 0.0407612970978656, False, 'time']
['rn_baguhin', 202566578, 'impression', '7', 240979382L, datetime.datetime(2013, 5, 22, 20, 6, 14), 0.0774494714789729, False, 'time']
['rn_baguhin', 202566578, 'view_full_application_via_name', '6', 240980229L, datetime.datetime(2013, 5, 22, 20, 7, 18), 0.129304344407687, True, 'time']
['rn_baguhin', 202566578, 'impression', '16', 240977910L, datetime.datetime(2013, 5, 22, 20, 20, 22), 0.0675494154801681, False, 'time']
['rn_baguhin', 202566578, 'impression', '3', 240981503L, datetime.datetime(2013, 5, 22, 20, 20, 22), 0.0214680200889508, False, 'time']
['rn_baguhin', 202566578, 'impression', '11', 240978797L, datetime.datetime(2013, 5, 22, 20, 20, 22), 0.0973567915228647, False, 'time']
['rn_baguhin', 202566578, 'impression', '10', 240978933L, datetime.datetime(2013, 5, 22, 20, 20, 22), 0.017643494479191, False, 'time']
['rn_baguhin', 202566578, 'impression', '8', 240979106L, datetime.datetime(2013, 5, 22, 20, 20, 22), 0.0206887569179833, False, 'time']
['rn_baguhin', 202566578, 'impression', '12', 240978265L, datetime.datetime(2013, 5, 22, 20, 20, 22), 0.0941869745035157, False, 'time']
['rn_baguhin', 202566578, 'impression', '1', 240981748L, datetime.datetime(2013, 5, 22, 20, 20, 22), 0.00692617934973935, False, 'time']
['rn_baguhin', 202566578, 'impression', '4', 240981089L, datetime.datetime(2013, 5, 22, 20, 20, 22), 0.0305899226091867, False, 'time']
['rn_baguhin', 202566578, 'impression', '2', 240981719L, datetime.datetime(2013, 5, 22, 20, 20, 22), 0.0311778754320917, False, 'time']
['rn_baguhin', 202566578, 'impression', '6', 240979382L, datetime.datetime(2013, 5, 22, 20, 20, 22), 0.0774494714789729, False, 'time']
['rn_baguhin', 202566578, 'impression', '7', 240979310L, datetime.datetime(2013, 5, 22, 20, 20, 22), 0.0407612970978656, False, 'time']
['rn_baguhin', 202566578, 'impression', '13', 240978165L, datetime.datetime(2013, 5, 22, 20, 20, 22), 0.0155661384296057, False, 'time']
['rn_baguhin', 202566578, 'impression', '5', 240980521L, datetime.datetime(2013, 5, 22, 20, 20, 22), 0.0616158734914767, False, 'time']
['rn_baguhin', 202566578, 'impression', '15', 240977951L, datetime.datetime(2013, 5, 22, 20, 20, 22), 0.102488551683286, False, 'time']
['rn_baguhin', 202566578, 'impression', '14', 240977991L, datetime.datetime(2013, 5, 22, 20, 20, 22), 0.119635709537615, False, 'time']
['rn_baguhin', 202566578, 'impression', '9', 240979019L, datetime.datetime(2013, 5, 22, 20, 20, 22), 0.0400043784232298, False, 'time']
['rn_baguhin', 202566578, 'impression', '2', 240981719L, datetime.datetime(2013, 5, 22, 20, 21, 46), 0.0311778754320917, False, 'time']
['rn_baguhin', 202566578, 'impression', '16', 240977910L, datetime.datetime(2013, 5, 22, 20, 21, 56), 0.0675494154801681, False, 'time']
['rn_baguhin', 202566578, 'impression', '13', 240978165L, datetime.datetime(2013, 5, 22, 20, 21, 57), 0.0155661384296057, False, 'time']

['rn_baguhin', 202566578, 'impression', '3', 241023538L, datetime.datetime(2013, 5, 23, 20, 49, 6), 0.164702816141642, False, 'time']
['rn_baguhin', 202566578, 'impression', '13', 240984467L, datetime.datetime(2013, 5, 23, 20, 49, 6), 0.0251297323210239, False, 'time']
['rn_baguhin', 202566578, 'impression', '18', 240981503L, datetime.datetime(2013, 5, 23, 20, 49, 6), 0.0214680200889508, False, 'time']
['rn_baguhin', 202566578, 'impression', '5', 241005431L, datetime.datetime(2013, 5, 23, 20, 49, 6), 0.0843726818354269, False, 'time']
['rn_baguhin', 202566578, 'impression', '12', 240985602L, datetime.datetime(2013, 5, 23, 20, 49, 6), 0.0407922491154632, False, 'time']
['rn_baguhin', 202566578, 'impression', '15', 240983323L, datetime.datetime(2013, 5, 23, 20, 49, 6), 0.0133987498842609, False, 'time']
['rn_baguhin', 202566578, 'impression', '10', 240993273L, datetime.datetime(2013, 5, 23, 20, 49, 6), 0.039136061011342, False, 'time']
['rn_baguhin', 202566578, 'impression', '11', 240987925L, datetime.datetime(2013, 5, 23, 20, 49, 6), 0.0500270255419962, False, 'time']
['rn_baguhin', 202566578, 'impression', '1', 241031541L, datetime.datetime(2013, 5, 23, 20, 49, 6), 0.105039312958016, False, 'time']
['rn_baguhin', 202566578, 'impression', '16', 240981748L, datetime.datetime(2013, 5, 23, 20, 49, 6), 0.00692617934973935, False, 'time']
['rn_baguhin', 202566578, 'impression', '2', 241026880L, datetime.datetime(2013, 5, 23, 20, 49, 6), 0.0783769079646905, False, 'time']
['rn_baguhin', 202566578, 'impression', '7', 240996710L, datetime.datetime(2013, 5, 23, 20, 49, 6), 0.0189807651121208, False, 'time']
['rn_baguhin', 202566578, 'impression', '19', 240981089L, datetime.datetime(2013, 5, 23, 20, 49, 6), 0.0305899226091867, False, 'time']
['rn_baguhin', 202566578, 'impression', '6', 240997577L, datetime.datetime(2013, 5, 23, 20, 49, 6), 0.038368122541514, False, 'time']
['rn_baguhin', 202566578, 'impression', '4', 241015881L, datetime.datetime(2013, 5, 23, 20, 49, 6), 0.0517497645624261, False, 'time']
['rn_baguhin', 202566578, 'impression', '9', 240995059L, datetime.datetime(2013, 5, 23, 20, 49, 6), 0.0776016333121337, False, 'time']
['rn_baguhin', 202566578, 'impression', '17', 240981719L, datetime.datetime(2013, 5, 23, 20, 49, 6), 0.0311778754320917, False, 'time']
['rn_baguhin', 202566578, 'impression', '20', 240980521L, datetime.datetime(2013, 5, 23, 20, 49, 6), 0.0616158734914767, False, 'time']
['rn_baguhin', 202566578, 'impression', '14', 240983336L, datetime.datetime(2013, 5, 23, 20, 49, 6), 0.0656473693468597, False, 'time']
['rn_baguhin', 202566578, 'impression', '8', 240996571L, datetime.datetime(2013, 5, 23, 20, 49, 6), 0.0208482611867472, False, 'time']

