['marclive', 202550077, 'impression', '6', 240640336L, datetime.datetime(2013, 5, 19, 23, 38, 54), 0.169074335275949, False, 'time']
['marclive', 202550077, 'impression', '8', 240639324L, datetime.datetime(2013, 5, 19, 23, 38, 54), 0.370310651948721, False, 'time']
['marclive', 202550077, 'impression', '4', 240643525L, datetime.datetime(2013, 5, 19, 23, 38, 54), 0.52997176295999, False, 'time']
['marclive', 202550077, 'impression', '5', 240640967L, datetime.datetime(2013, 5, 19, 23, 38, 54), 0.472099407030646, False, 'time']
['marclive', 202550077, 'impression', '9', 240638636L, datetime.datetime(2013, 5, 19, 23, 38, 54), 0.225628148375487, False, 'time']
['marclive', 202550077, 'impression', '3', 240646585L, datetime.datetime(2013, 5, 19, 23, 38, 54), 0.263033009437556, False, 'time']
['marclive', 202550077, 'impression', '1', 240704840L, datetime.datetime(2013, 5, 19, 23, 38, 54), 0.138901934262958, False, 'time']
['marclive', 202550077, 'impression', '7', 240639852L, datetime.datetime(2013, 5, 19, 23, 38, 54), 0.40486070243176, False, 'time']
['marclive', 202550077, 'impression', '9', 240638636L, datetime.datetime(2013, 5, 19, 23, 39, 7), 0.225628148375487, False, 'time']
['marclive', 202550077, 'impression', '3', 240646585L, datetime.datetime(2013, 5, 19, 23, 39, 7), 0.263033009437556, False, 'time']
['marclive', 202550077, 'impression', '5', 240640967L, datetime.datetime(2013, 5, 19, 23, 39, 7), 0.472099407030646, False, 'time']
['marclive', 202550077, 'impression', '4', 240643525L, datetime.datetime(2013, 5, 19, 23, 39, 7), 0.52997176295999, False, 'time']
['marclive', 202550077, 'impression', '1', 240704840L, datetime.datetime(2013, 5, 19, 23, 39, 7), 0.138901934262958, False, 'time']
['marclive', 202550077, 'impression', '2', 240660717L, datetime.datetime(2013, 5, 19, 23, 39, 7), 0.335390353722992, False, 'time']
['marclive', 202550077, 'impression', '7', 240639852L, datetime.datetime(2013, 5, 19, 23, 39, 7), 0.40486070243176, False, 'time']
['marclive', 202550077, 'impression', '8', 240639324L, datetime.datetime(2013, 5, 19, 23, 39, 7), 0.370310651948721, False, 'time']
['marclive', 202550077, 'impression', '10', 240638288L, datetime.datetime(2013, 5, 19, 23, 39, 7), 0.328412591313643, False, 'time']
['marclive', 202550077, 'impression', '11', 240637782L, datetime.datetime(2013, 5, 19, 23, 39, 7), 0.249086118113046, False, 'time']
['marclive', 202550077, 'impression', '6', 240640336L, datetime.datetime(2013, 5, 19, 23, 39, 7), 0.169074335275949, False, 'time']
['marclive', 202550077, 'impression', '3', 240646585L, datetime.datetime(2013, 5, 19, 23, 39, 20), 0.263033009437556, False, 'time']
['marclive', 202550077, 'impression', '9', 240638636L, datetime.datetime(2013, 5, 19, 23, 39, 20), 0.225628148375487, False, 'time']
['marclive', 202550077, 'impression', '4', 240643525L, datetime.datetime(2013, 5, 19, 23, 39, 20), 0.52997176295999, False, 'time']
['marclive', 202550077, 'impression', '5', 240640967L, datetime.datetime(2013, 5, 19, 23, 39, 20), 0.472099407030646, False, 'time']
['marclive', 202550077, 'impression', '7', 240639852L, datetime.datetime(2013, 5, 19, 23, 39, 20), 0.40486070243176, False, 'time']
['marclive', 202550077, 'impression', '6', 240640336L, datetime.datetime(2013, 5, 19, 23, 39, 20), 0.169074335275949, False, 'time']
['marclive', 202550077, 'impression', '10', 240638288L, datetime.datetime(2013, 5, 19, 23, 39, 20), 0.328412591313643, False, 'time']
['marclive', 202550077, 'impression', '8', 240639324L, datetime.datetime(2013, 5, 19, 23, 39, 20), 0.370310651948721, False, 'time']
['marclive', 202550077, 'impression', '11', 240637782L, datetime.datetime(2013, 5, 19, 23, 39, 20), 0.249086118113046, False, 'time']
['marclive', 202550077, 'impression', '1', 240704840L, datetime.datetime(2013, 5, 19, 23, 39, 20), 0.138901934262958, False, 'time']
['marclive', 202550077, 'impression', '2', 240660717L, datetime.datetime(2013, 5, 19, 23, 39, 20), 0.335390353722992, False, 'time']
['marclive', 202550077, 'expand_tile', '5', 240640967L, datetime.datetime(2013, 5, 19, 23, 40, 50), 0.472099407030646, False, 'time']
['marclive', 202550077, 'view_full_application', '5', 240640967L, datetime.datetime(2013, 5, 19, 23, 40, 54), 0.472099407030646, False, 'time']

['marclive', 202550077, 'impression', '7', 240639852L, datetime.datetime(2013, 5, 20, 21, 33, 19), 0.40486070243176, False, 'time']
['marclive', 202550077, 'impression', '10', 240637782L, datetime.datetime(2013, 5, 20, 21, 33, 19), 0.249086118113046, False, 'time']
['marclive', 202550077, 'impression', '6', 240640336L, datetime.datetime(2013, 5, 20, 21, 33, 19), 0.169074335275949, False, 'time']
['marclive', 202550077, 'impression', '8', 240639324L, datetime.datetime(2013, 5, 20, 21, 33, 19), 0.370310651948721, False, 'time']
['marclive', 202550077, 'impression', '9', 240638288L, datetime.datetime(2013, 5, 20, 21, 33, 19), 0.328412591313643, False, 'time']
['marclive', 202550077, 'impression', '1', 240704840L, datetime.datetime(2013, 5, 20, 21, 33, 19), 0.138901934262958, False, 'time']
['marclive', 202550077, 'impression', '2', 240660717L, datetime.datetime(2013, 5, 20, 21, 33, 19), 0.335390353722992, False, 'time']
['marclive', 202550077, 'impression', '4', 240643525L, datetime.datetime(2013, 5, 20, 21, 33, 19), 0.52997176295999, False, 'time']
['marclive', 202550077, 'impression', '5', 240640967L, datetime.datetime(2013, 5, 20, 21, 33, 19), 0.472099407030646, False, 'time']
['marclive', 202550077, 'impression', '3', 240646585L, datetime.datetime(2013, 5, 20, 21, 33, 19), 0.263033009437556, False, 'time']

