['marijowc', 202562449, 'expand_tile', '2', 240909053L, datetime.datetime(2013, 5, 22, 3, 12, 22), 0.268149236021181, False, 'best']
['marijowc', 202562449, 'expand_tile', '1', 240969489L, datetime.datetime(2013, 5, 22, 3, 12, 46), 0.306958881269832, False, 'best']
['marijowc', 202562449, 'shortlist', '1', 240969489L, datetime.datetime(2013, 5, 22, 3, 13, 23), 0.306958881269832, False, 'best']
['marijowc', 202562449, 'expand_tile', '1', 240969489L, datetime.datetime(2013, 5, 22, 3, 13, 23), 0.306958881269832, False, 'best']
['marijowc', 202562449, 'impression', '1', 240969489L, datetime.datetime(2013, 5, 22, 3, 13, 24), 0.306958881269832, False, 'best']
['marijowc', 202562449, 'impression', None, 240969489L, datetime.datetime(2013, 5, 22, 3, 13, 24), 0.306958881269832, False, 'best']
['marijowc', 202562449, 'shortlist', '3', 240911885L, datetime.datetime(2013, 5, 22, 3, 25, 41), 0.206153199059723, False, 'best']
['marijowc', 202562449, 'expand_tile', '3', 240911885L, datetime.datetime(2013, 5, 22, 3, 25, 41), 0.206153199059723, False, 'best']
['marijowc', 202562449, 'expand_tile', '9', 240922216L, datetime.datetime(2013, 5, 22, 3, 30, 2), 0.135175541360097, False, 'best']
['marijowc', 202562449, 'collapse_tile', '10', 240902868L, datetime.datetime(2013, 5, 22, 3, 31, 28), 0.134784996819375, False, 'best']
['marijowc', 202562449, 'expand_tile', '10', 240902868L, datetime.datetime(2013, 5, 22, 3, 31, 31), 0.134784996819375, False, 'best']
['marijowc', 202562449, 'view_full_application', '10', 240902868L, datetime.datetime(2013, 5, 22, 3, 31, 34), 0.134784996819375, False, 'best']
['marijowc', 202562449, 'impression', '10', 240914458L, datetime.datetime(2013, 5, 22, 3, 35, 48), 0.129706173072145, False, 'best']
['marijowc', 202562449, 'impression', '15', 240927587L, datetime.datetime(2013, 5, 22, 3, 35, 48), 0.0916061087642831, False, 'best']
['marijowc', 202562449, 'impression', '9', 240902868L, datetime.datetime(2013, 5, 22, 3, 35, 48), 0.134784996819375, False, 'best']
['marijowc', 202562449, 'impression', '5', 240904075L, datetime.datetime(2013, 5, 22, 3, 35, 48), 0.148865760125327, False, 'best']
['marijowc', 202562449, 'impression', '6', 240906007L, datetime.datetime(2013, 5, 22, 3, 35, 48), 0.145127322198507, False, 'best']
['marijowc', 202562449, 'impression', '7', 240910255L, datetime.datetime(2013, 5, 22, 3, 35, 48), 0.140687190250738, False, 'best']
['marijowc', 202562449, 'impression', '4', 240905561L, datetime.datetime(2013, 5, 22, 3, 35, 48), 0.153044564379832, False, 'best']
['marijowc', 202562449, 'impression', '11', 240903495L, datetime.datetime(2013, 5, 22, 3, 35, 48), 0.119035854974089, False, 'best']
['marijowc', 202562449, 'impression', '3', 240911885L, datetime.datetime(2013, 5, 22, 3, 35, 48), 0.206153199059723, False, 'best']
['marijowc', 202562449, 'impression', '8', 240922216L, datetime.datetime(2013, 5, 22, 3, 35, 48), 0.135175541360097, False, 'best']
['marijowc', 202562449, 'impression', '14', 240906646L, datetime.datetime(2013, 5, 22, 3, 35, 48), 0.0963644208777761, False, 'best']
['marijowc', 202562449, 'impression', '16', 240935361L, datetime.datetime(2013, 5, 22, 3, 35, 48), 0.0796156356599707, False, 'best']
['marijowc', 202562449, 'impression', '2', 240909053L, datetime.datetime(2013, 5, 22, 3, 35, 48), 0.268149236021181, False, 'best']
['marijowc', 202562449, 'impression', '13', 240915616L, datetime.datetime(2013, 5, 22, 3, 35, 48), 0.0997325101939265, False, 'best']
['marijowc', 202562449, 'impression', '12', 240901725L, datetime.datetime(2013, 5, 22, 3, 35, 48), 0.114726749060006, False, 'best']
['marijowc', 202562449, 'impression', '1', 240969489L, datetime.datetime(2013, 5, 22, 3, 35, 48), 0.306958881269832, False, 'best']
['marijowc', 202562449, 'expand_tile', '16', 240935361L, datetime.datetime(2013, 5, 22, 3, 35, 57), 0.0796156356599707, False, 'best']
['marijowc', 202562449, 'view_full_application', '16', 240935361L, datetime.datetime(2013, 5, 22, 3, 36, 1), 0.0796156356599707, False, 'best']
['marijowc', 202562449, 'impression', '3', 240911885L, datetime.datetime(2013, 5, 22, 3, 38, 35), 0.206153199059723, False, 'best']
['marijowc', 202562449, 'impression', '11', 240903495L, datetime.datetime(2013, 5, 22, 3, 38, 35), 0.119035854974089, False, 'best']
['marijowc', 202562449, 'impression', '9', 240902868L, datetime.datetime(2013, 5, 22, 3, 38, 35), 0.134784996819375, False, 'best']
['marijowc', 202562449, 'impression', '5', 240904075L, datetime.datetime(2013, 5, 22, 3, 38, 35), 0.148865760125327, False, 'best']
['marijowc', 202562449, 'impression', '14', 240906646L, datetime.datetime(2013, 5, 22, 3, 38, 35), 0.0963644208777761, False, 'best']
['marijowc', 202562449, 'impression', '16', 240935361L, datetime.datetime(2013, 5, 22, 3, 38, 35), 0.0796156356599707, False, 'best']
['marijowc', 202562449, 'impression', '8', 240922216L, datetime.datetime(2013, 5, 22, 3, 38, 35), 0.135175541360097, False, 'best']
['marijowc', 202562449, 'impression', '13', 240915616L, datetime.datetime(2013, 5, 22, 3, 38, 35), 0.0997325101939265, False, 'best']
['marijowc', 202562449, 'impression', '2', 240909053L, datetime.datetime(2013, 5, 22, 3, 38, 35), 0.268149236021181, False, 'best']
['marijowc', 202562449, 'impression', '15', 240927587L, datetime.datetime(2013, 5, 22, 3, 38, 35), 0.0916061087642831, False, 'best']
['marijowc', 202562449, 'impression', '10', 240914458L, datetime.datetime(2013, 5, 22, 3, 38, 35), 0.129706173072145, False, 'best']
['marijowc', 202562449, 'impression', '12', 240901725L, datetime.datetime(2013, 5, 22, 3, 38, 35), 0.114726749060006, False, 'best']
['marijowc', 202562449, 'impression', '1', 240969489L, datetime.datetime(2013, 5, 22, 3, 38, 35), 0.306958881269832, False, 'best']
['marijowc', 202562449, 'impression', '6', 240906007L, datetime.datetime(2013, 5, 22, 3, 38, 35), 0.145127322198507, False, 'best']
['marijowc', 202562449, 'impression', '4', 240905561L, datetime.datetime(2013, 5, 22, 3, 38, 35), 0.153044564379832, False, 'best']
['marijowc', 202562449, 'impression', '7', 240910255L, datetime.datetime(2013, 5, 22, 3, 38, 35), 0.140687190250738, False, 'best']
['marijowc', 202562449, 'impression', '16', 240935361L, datetime.datetime(2013, 5, 22, 3, 38, 38), 0.0796156356599707, False, 'best']
['marijowc', 202562449, 'expand_tile', '15', 240927587L, datetime.datetime(2013, 5, 22, 3, 38, 48), 0.0916061087642831, False, 'best']
['marijowc', 202562449, 'view_full_application', '15', 240927587L, datetime.datetime(2013, 5, 22, 3, 39, 3), 0.0916061087642831, False, 'best']
['marijowc', 202562449, 'impression', '15', 240927587L, datetime.datetime(2013, 5, 22, 3, 47, 18), 0.0916061087642831, False, 'best']
['marijowc', 202562449, 'impression', '10', 240914458L, datetime.datetime(2013, 5, 22, 3, 47, 18), 0.129706173072145, False, 'best']
['marijowc', 202562449, 'impression', '7', 240910255L, datetime.datetime(2013, 5, 22, 3, 47, 18), 0.140687190250738, False, 'best']
['marijowc', 202562449, 'impression', '4', 240905561L, datetime.datetime(2013, 5, 22, 3, 47, 18), 0.153044564379832, False, 'best']
