['bboym0de', 202580549, 'expand_tile', '1', 241301069L, datetime.datetime(2013, 5, 26, 1, 11, 4), 0.0102296470454164, False, 'time']

['bboym0de', 202580549, 'impression', '3', 241292512L, datetime.datetime(2013, 5, 26, 1, 58, 33), 0.00543807272099265, False, 'time']
['bboym0de', 202580549, 'impression', '7', 241272957L, datetime.datetime(2013, 5, 26, 1, 58, 33), 0.00320545410217484, False, 'time']
['bboym0de', 202580549, 'impression', '2', 241299685L, datetime.datetime(2013, 5, 26, 1, 58, 33), 0.019412609781514, False, 'time']
['bboym0de', 202580549, 'impression', '8', 241272318L, datetime.datetime(2013, 5, 26, 1, 58, 33), 0.0024639420425719, False, 'time']
['bboym0de', 202580549, 'impression', '5', 241274473L, datetime.datetime(2013, 5, 26, 1, 58, 33), 0.00663074691311267, False, 'time']
['bboym0de', 202580549, 'impression', '4', 241283825L, datetime.datetime(2013, 5, 26, 1, 58, 33), 0.0182026925769207, False, 'time']
['bboym0de', 202580549, 'impression', '1', 241301069L, datetime.datetime(2013, 5, 26, 1, 58, 33), 0.0102296470454164, False, 'time']
['bboym0de', 202580549, 'impression', '9', 241272249L, datetime.datetime(2013, 5, 26, 1, 58, 33), 0.0202889637239671, False, 'time']
['bboym0de', 202580549, 'impression', '6', 241274249L, datetime.datetime(2013, 5, 26, 1, 58, 33), 0.00951383139574307, False, 'time']

['bboym0de', 202580549, 'impression', '3', 241292512L, datetime.datetime(2013, 5, 26, 2, 46, 5), 0.00543807272099265, False, 'time']
['bboym0de', 202580549, 'impression', '4', 241283825L, datetime.datetime(2013, 5, 26, 2, 46, 5), 0.0182026925769207, False, 'time']
['bboym0de', 202580549, 'impression', '1', 241301069L, datetime.datetime(2013, 5, 26, 2, 46, 5), 0.0102296470454164, False, 'time']
['bboym0de', 202580549, 'impression', '9', 241272249L, datetime.datetime(2013, 5, 26, 2, 46, 5), 0.0202889637239671, False, 'time']
['bboym0de', 202580549, 'impression', '6', 241274249L, datetime.datetime(2013, 5, 26, 2, 46, 5), 0.00951383139574307, False, 'time']
['bboym0de', 202580549, 'impression', '5', 241274473L, datetime.datetime(2013, 5, 26, 2, 46, 5), 0.00663074691311267, False, 'time']
['bboym0de', 202580549, 'impression', '2', 241299685L, datetime.datetime(2013, 5, 26, 2, 46, 5), 0.019412609781514, False, 'time']
['bboym0de', 202580549, 'impression', '8', 241272318L, datetime.datetime(2013, 5, 26, 2, 46, 5), 0.0024639420425719, False, 'time']
['bboym0de', 202580549, 'impression', '7', 241272957L, datetime.datetime(2013, 5, 26, 2, 46, 5), 0.00320545410217484, False, 'time']
['bboym0de', 202580549, 'view_full_application_via_name', '6', 241274249L, datetime.datetime(2013, 5, 26, 3, 1, 36), 0.00951383139574307, False, 'time']
['bboym0de', 202580549, 'impression', '6', 241274249L, datetime.datetime(2013, 5, 26, 3, 1, 48), 0.00951383139574307, False, 'time']
['bboym0de', 202580549, 'impression', '9', 241272249L, datetime.datetime(2013, 5, 26, 3, 1, 48), 0.0202889637239671, False, 'time']
['bboym0de', 202580549, 'impression', '3', 241292512L, datetime.datetime(2013, 5, 26, 3, 1, 48), 0.00543807272099265, False, 'time']
['bboym0de', 202580549, 'impression', '7', 241272957L, datetime.datetime(2013, 5, 26, 3, 1, 48), 0.00320545410217484, False, 'time']
['bboym0de', 202580549, 'impression', '8', 241272318L, datetime.datetime(2013, 5, 26, 3, 1, 48), 0.0024639420425719, False, 'time']
['bboym0de', 202580549, 'impression', '2', 241299685L, datetime.datetime(2013, 5, 26, 3, 1, 48), 0.019412609781514, False, 'time']
['bboym0de', 202580549, 'impression', '1', 241301069L, datetime.datetime(2013, 5, 26, 3, 1, 48), 0.0102296470454164, False, 'time']
['bboym0de', 202580549, 'impression', '4', 241283825L, datetime.datetime(2013, 5, 26, 3, 1, 48), 0.0182026925769207, False, 'time']
['bboym0de', 202580549, 'impression', '5', 241274473L, datetime.datetime(2013, 5, 26, 3, 1, 48), 0.00663074691311267, False, 'time']

['bboym0de', 202580549, 'impression', '9', 241272318L, datetime.datetime(2013, 5, 26, 10, 29, 20), 0.0024639420425719, False, 'time']
['bboym0de', 202580549, 'impression', '8', 241272957L, datetime.datetime(2013, 5, 26, 10, 29, 20), 0.00320545410217484, False, 'time']
['bboym0de', 202580549, 'impression', '3', 241299685L, datetime.datetime(2013, 5, 26, 10, 29, 20), 0.019412609781514, False, 'time']
['bboym0de', 202580549, 'impression', '1', 241305513L, datetime.datetime(2013, 5, 26, 10, 29, 20), 0.0189743362313296, False, 'time']
['bboym0de', 202580549, 'impression', '6', 241274473L, datetime.datetime(2013, 5, 26, 10, 29, 20), 0.00663074691311267, False, 'time']
['bboym0de', 202580549, 'impression', '7', 241274249L, datetime.datetime(2013, 5, 26, 10, 29, 20), 0.00951383139574307, False, 'time']
['bboym0de', 202580549, 'impression', '10', 241272249L, datetime.datetime(2013, 5, 26, 10, 29, 20), 0.0202889637239671, False, 'time']
['bboym0de', 202580549, 'impression', '5', 241283825L, datetime.datetime(2013, 5, 26, 10, 29, 20), 0.0182026925769207, False, 'time']
['bboym0de', 202580549, 'impression', '2', 241301069L, datetime.datetime(2013, 5, 26, 10, 29, 20), 0.0102296470454164, False, 'time']
['bboym0de', 202580549, 'impression', '4', 241292512L, datetime.datetime(2013, 5, 26, 10, 29, 20), 0.00543807272099265, False, 'time']

['bboym0de', 202580549, 'impression', '8', 241274473L, datetime.datetime(2013, 5, 26, 16, 40, 9), 0.00663074691311267, False, 'time']
['bboym0de', 202580549, 'impression', '3', 241305513L, datetime.datetime(2013, 5, 26, 16, 40, 9), 0.0189743362313296, False, 'time']
['bboym0de', 202580549, 'impression', '1', 241334255L, datetime.datetime(2013, 5, 26, 16, 40, 9), 0.00537399453189881, False, 'time']
['bboym0de', 202580549, 'impression', '11', 241272318L, datetime.datetime(2013, 5, 26, 16, 40, 9), 0.0024639420425719, False, 'time']
['bboym0de', 202580549, 'impression', '5', 241299685L, datetime.datetime(2013, 5, 26, 16, 40, 9), 0.019412609781514, False, 'time']
['bboym0de', 202580549, 'impression', '2', 241325162L, datetime.datetime(2013, 5, 26, 16, 40, 9), 0.00455196914383971, False, 'time']
['bboym0de', 202580549, 'impression', '10', 241272957L, datetime.datetime(2013, 5, 26, 16, 40, 9), 0.00320545410217484, False, 'time']
['bboym0de', 202580549, 'impression', '7', 241283825L, datetime.datetime(2013, 5, 26, 16, 40, 9), 0.0182026925769207, False, 'time']
['bboym0de', 202580549, 'impression', '4', 241301069L, datetime.datetime(2013, 5, 26, 16, 40, 9), 0.0102296470454164, False, 'time']
['bboym0de', 202580549, 'impression', '12', 241272249L, datetime.datetime(2013, 5, 26, 16, 40, 9), 0.0202889637239671, False, 'time']
['bboym0de', 202580549, 'impression', '9', 241274249L, datetime.datetime(2013, 5, 26, 16, 40, 9), 0.00951383139574307, False, 'time']
['bboym0de', 202580549, 'impression', '6', 241292512L, datetime.datetime(2013, 5, 26, 16, 40, 9), 0.00543807272099265, False, 'time']
