['info_t', 202570682, 'impression', '3', 241061194L, datetime.datetime(2013, 5, 23, 2, 38, 20), 0.0498652141094466, False, 'time']
['info_t', 202570682, 'impression', '12', 241059106L, datetime.datetime(2013, 5, 23, 2, 38, 20), 0.316446556777974, False, 'time']
['info_t', 202570682, 'view_full_application_via_name', '6', 241060270L, datetime.datetime(2013, 5, 23, 2, 38, 43), 0.244799989836781, False, 'time']
['info_t', 202570682, 'shortlist', '6', 241060270L, datetime.datetime(2013, 5, 23, 2, 42, 55), 0.244799989836781, False, 'time']
['info_t', 202570682, 'impression', '6', 241060270L, datetime.datetime(2013, 5, 23, 2, 43, 10), 0.244799989836781, False, 'time']
['info_t', 202570682, 'impression', '3', 241061194L, datetime.datetime(2013, 5, 23, 2, 43, 10), 0.0498652141094466, False, 'time']
['info_t', 202570682, 'impression', '12', 241059106L, datetime.datetime(2013, 5, 23, 2, 43, 10), 0.316446556777974, False, 'time']
['info_t', 202570682, 'impression', '11', 241059169L, datetime.datetime(2013, 5, 23, 2, 43, 10), 0.0770929559599888, False, 'time']
['info_t', 202570682, 'impression', '1', 241062304L, datetime.datetime(2013, 5, 23, 2, 43, 10), 0.0736737898073957, False, 'time']
['info_t', 202570682, 'impression', '7', 241059947L, datetime.datetime(2013, 5, 23, 2, 43, 10), 0.200851741359041, False, 'time']
['info_t', 202570682, 'impression', '13', 241059047L, datetime.datetime(2013, 5, 23, 2, 43, 10), 0.0508823095708163, False, 'time']
['info_t', 202570682, 'impression', '9', 241059292L, datetime.datetime(2013, 5, 23, 2, 43, 10), 0.0214190870502702, False, 'time']
['info_t', 202570682, 'impression', '14', 241058962L, datetime.datetime(2013, 5, 23, 2, 43, 10), 0.0421486399082914, False, 'time']
['info_t', 202570682, 'impression', '8', 241059520L, datetime.datetime(2013, 5, 23, 2, 43, 10), 0.111662796115944, False, 'time']
['info_t', 202570682, 'impression', '10', 241059179L, datetime.datetime(2013, 5, 23, 2, 43, 10), 0.115320886934236, False, 'time']
['info_t', 202570682, 'impression', '4', 241060916L, datetime.datetime(2013, 5, 23, 2, 43, 10), 0.0512123839338646, False, 'time']
['info_t', 202570682, 'impression', '2', 241061713L, datetime.datetime(2013, 5, 23, 2, 43, 10), 0.134704663751004, False, 'time']
['info_t', 202570682, 'impression', '5', 241060789L, datetime.datetime(2013, 5, 23, 2, 43, 10), 0.183385013424635, False, 'time']

['info_t', 202570682, 'impression', '15', 241062304L, datetime.datetime(2013, 5, 24, 17, 52, 14), 0.0736737898073957, False, 'time']
['info_t', 202570682, 'impression', '20', 241060270L, datetime.datetime(2013, 5, 24, 17, 52, 14), 0.244799989836781, False, 'time']
['info_t', 202570682, 'impression', '8', 241088753L, datetime.datetime(2013, 5, 24, 17, 52, 14), 0.0813350685258604, False, 'time']
['info_t', 202570682, 'impression', '17', 241061194L, datetime.datetime(2013, 5, 24, 17, 52, 14), 0.0498652141094466, False, 'time']
['info_t', 202570682, 'impression', '2', 241195697L, datetime.datetime(2013, 5, 24, 17, 52, 14), 0.0557633367388933, False, 'time']
['info_t', 202570682, 'impression', '11', 241069262L, datetime.datetime(2013, 5, 24, 17, 52, 14), 0.109094138466403, False, 'time']
['info_t', 202570682, 'impression', '4', 241155303L, datetime.datetime(2013, 5, 24, 17, 52, 14), 0.0564773264382813, False, 'time']
['info_t', 202570682, 'impression', '9', 241079318L, datetime.datetime(2013, 5, 24, 17, 52, 14), 0.200119220950575, False, 'time']
['info_t', 202570682, 'impression', '3', 241182715L, datetime.datetime(2013, 5, 24, 17, 52, 14), 0.0265300336193877, False, 'time']
['info_t', 202570682, 'impression', '16', 241061713L, datetime.datetime(2013, 5, 24, 17, 52, 14), 0.134704663751004, False, 'time']
['info_t', 202570682, 'impression', '7', 241089011L, datetime.datetime(2013, 5, 24, 17, 52, 14), 0.0410047676439957, False, 'time']
['info_t', 202570682, 'impression', '19', 241060789L, datetime.datetime(2013, 5, 24, 17, 52, 14), 0.183385013424635, False, 'time']
['info_t', 202570682, 'impression', '14', 241067849L, datetime.datetime(2013, 5, 24, 17, 52, 14), 0.208008104936806, False, 'time']
['info_t', 202570682, 'impression', '18', 241060916L, datetime.datetime(2013, 5, 24, 17, 52, 14), 0.0512123839338646, False, 'time']
['info_t', 202570682, 'impression', '13', 241068088L, datetime.datetime(2013, 5, 24, 17, 52, 14), 0.210220211178057, False, 'time']
['info_t', 202570682, 'impression', '10', 241070482L, datetime.datetime(2013, 5, 24, 17, 52, 14), 0.110677807622953, False, 'time']
['info_t', 202570682, 'impression', '1', 241201592L, datetime.datetime(2013, 5, 24, 17, 52, 14), 0.145760045097749, False, 'time']
['info_t', 202570682, 'impression', '12', 241068547L, datetime.datetime(2013, 5, 24, 17, 52, 14), 0.147721799024492, False, 'time']
['info_t', 202570682, 'impression', '6', 241109460L, datetime.datetime(2013, 5, 24, 17, 52, 14), 0.280130341395897, False, 'time']
['info_t', 202570682, 'impression', '5', 241119146L, datetime.datetime(2013, 5, 24, 17, 52, 14), 0.0827398555826255, False, 'time']
['info_t', 202570682, 'view_full_application_via_name', '2', 241195697L, datetime.datetime(2013, 5, 24, 17, 54, 25), 0.0557633367388933, False, 'time']
['info_t', 202570682, 'view_full_application_via_name', '2', 241195697L, datetime.datetime(2013, 5, 24, 17, 54, 29), 0.0557633367388933, False, 'time']
['info_t', 202570682, 'view_full_application_via_name', '1', 241201592L, datetime.datetime(2013, 5, 24, 17, 56, 32), 0.145760045097749, False, 'time']

