['achieve', 202570063, 'impression', '1', 241050442L, datetime.datetime(2013, 5, 22, 20, 55, 48), 0.0671619779527045, False, 'time']
['achieve', 202570063, 'impression', '3', 241050100L, datetime.datetime(2013, 5, 22, 20, 55, 48), 0.0700428289036341, False, 'time']
['achieve', 202570063, 'impression', '2', 241050108L, datetime.datetime(2013, 5, 22, 20, 55, 48), 0.138478739323256, False, 'time']
['achieve', 202570063, 'impression', '4', 241049942L, datetime.datetime(2013, 5, 22, 20, 55, 48), 0.129082284266831, False, 'time']
['achieve', 202570063, 'impression', '6', 241049825L, datetime.datetime(2013, 5, 22, 20, 55, 48), 0.0293550686308826, False, 'time']
['achieve', 202570063, 'expand_tile', '1', 241050442L, datetime.datetime(2013, 5, 22, 20, 55, 54), 0.0671619779527045, False, 'time']
['achieve', 202570063, 'view_full_application', '1', 241050442L, datetime.datetime(2013, 5, 22, 20, 56, 3), 0.0671619779527045, False, 'time']
['achieve', 202570063, 'impression', '1', 241050442L, datetime.datetime(2013, 5, 22, 20, 57, 20), 0.0671619779527045, False, 'time']
['achieve', 202570063, 'impression', '4', 241049942L, datetime.datetime(2013, 5, 22, 20, 57, 20), 0.129082284266831, False, 'time']
['achieve', 202570063, 'impression', '6', 241049825L, datetime.datetime(2013, 5, 22, 20, 57, 20), 0.0293550686308826, False, 'time']
['achieve', 202570063, 'impression', '2', 241050108L, datetime.datetime(2013, 5, 22, 20, 57, 20), 0.138478739323256, False, 'time']
['achieve', 202570063, 'impression', '3', 241050100L, datetime.datetime(2013, 5, 22, 20, 57, 20), 0.0700428289036341, False, 'time']
['achieve', 202570063, 'impression', '5', 241049881L, datetime.datetime(2013, 5, 22, 20, 57, 20), 0.0997544309489621, False, 'time']
['achieve', 202570063, 'impression', '2', 241050879L, datetime.datetime(2013, 5, 22, 21, 9, 22), 0.146802973202625, False, 'time']
['achieve', 202570063, 'impression', '3', 241050442L, datetime.datetime(2013, 5, 22, 21, 9, 22), 0.0671619779527045, False, 'time']
['achieve', 202570063, 'impression', '5', 241050100L, datetime.datetime(2013, 5, 22, 21, 9, 22), 0.0700428289036341, False, 'time']
['achieve', 202570063, 'impression', '4', 241050108L, datetime.datetime(2013, 5, 22, 21, 9, 22), 0.138478739323256, False, 'time']
['achieve', 202570063, 'impression', '1', 241051070L, datetime.datetime(2013, 5, 22, 21, 9, 22), 0.0622271796283643, False, 'time']
['achieve', 202570063, 'impression', '8', 241049825L, datetime.datetime(2013, 5, 22, 21, 9, 22), 0.0293550686308826, False, 'time']
['achieve', 202570063, 'impression', '6', 241049942L, datetime.datetime(2013, 5, 22, 21, 9, 22), 0.129082284266831, False, 'time']
['achieve', 202570063, 'impression', '7', 241049881L, datetime.datetime(2013, 5, 22, 21, 9, 22), 0.0997544309489621, False, 'time']
['achieve', 202570063, 'impression', '2', 241051070L, datetime.datetime(2013, 5, 22, 21, 14, 11), 0.0622271796283643, False, 'time']
['achieve', 202570063, 'impression', '8', 241049881L, datetime.datetime(2013, 5, 22, 21, 14, 11), 0.0997544309489621, False, 'time']
['achieve', 202570063, 'impression', '3', 241050879L, datetime.datetime(2013, 5, 22, 21, 14, 11), 0.146802973202625, False, 'time']
['achieve', 202570063, 'impression', '4', 241050442L, datetime.datetime(2013, 5, 22, 21, 14, 11), 0.0671619779527045, False, 'time']
['achieve', 202570063, 'impression', '5', 241050108L, datetime.datetime(2013, 5, 22, 21, 14, 11), 0.138478739323256, False, 'time']
['achieve', 202570063, 'impression', '6', 241050100L, datetime.datetime(2013, 5, 22, 21, 14, 11), 0.0700428289036341, False, 'time']
['achieve', 202570063, 'impression', '1', 241051269L, datetime.datetime(2013, 5, 22, 21, 14, 11), 0.0618893719540033, False, 'time']
['achieve', 202570063, 'impression', '9', 241049825L, datetime.datetime(2013, 5, 22, 21, 14, 11), 0.0293550686308826, False, 'time']
['achieve', 202570063, 'impression', '7', 241049942L, datetime.datetime(2013, 5, 22, 21, 14, 11), 0.129082284266831, False, 'time']
['achieve', 202570063, 'impression', '8', 241049881L, datetime.datetime(2013, 5, 22, 21, 16, 26), 0.0997544309489621, False, 'time']
['achieve', 202570063, 'impression', '5', 241050108L, datetime.datetime(2013, 5, 22, 21, 16, 26), 0.138478739323256, False, 'time']
['achieve', 202570063, 'impression', '6', 241050100L, datetime.datetime(2013, 5, 22, 21, 16, 26), 0.0700428289036341, False, 'time']
['achieve', 202570063, 'impression', '1', 241051269L, datetime.datetime(2013, 5, 22, 21, 16, 26), 0.0618893719540033, False, 'time']
['achieve', 202570063, 'impression', '2', 241051070L, datetime.datetime(2013, 5, 22, 21, 16, 26), 0.0622271796283643, False, 'time']
['achieve', 202570063, 'impression', '7', 241049942L, datetime.datetime(2013, 5, 22, 21, 16, 26), 0.129082284266831, False, 'time']
['achieve', 202570063, 'impression', '9', 241049825L, datetime.datetime(2013, 5, 22, 21, 16, 26), 0.0293550686308826, False, 'time']
['achieve', 202570063, 'impression', '4', 241050442L, datetime.datetime(2013, 5, 22, 21, 16, 26), 0.0671619779527045, False, 'time']
['achieve', 202570063, 'impression', '3', 241050879L, datetime.datetime(2013, 5, 22, 21, 16, 26), 0.146802973202625, False, 'time']
['achieve', 202570063, 'expand_tile', '3', 241050879L, datetime.datetime(2013, 5, 22, 21, 16, 33), 0.146802973202625, False, 'time']
['achieve', 202570063, 'expand_tile', '2', 241051070L, datetime.datetime(2013, 5, 22, 21, 16, 48), 0.0622271796283643, False, 'time']
['achieve', 202570063, 'expand_tile', '1', 241051269L, datetime.datetime(2013, 5, 22, 21, 17, 33), 0.0618893719540033, False, 'time']
['achieve', 202570063, 'impression', '5', 241050108L, datetime.datetime(2013, 5, 22, 21, 18, 12), 0.138478739323256, False, 'time']
['achieve', 202570063, 'impression', '1', 241051269L, datetime.datetime(2013, 5, 22, 21, 18, 12), 0.0618893719540033, False, 'time']
['achieve', 202570063, 'impression', '6', 241050100L, datetime.datetime(2013, 5, 22, 21, 18, 12), 0.0700428289036341, False, 'time']
['achieve', 202570063, 'impression', '2', 241051070L, datetime.datetime(2013, 5, 22, 21, 18, 12), 0.0622271796283643, False, 'time']
['achieve', 202570063, 'impression', '8', 241049881L, datetime.datetime(2013, 5, 22, 21, 18, 12), 0.0997544309489621, False, 'time']
['achieve', 202570063, 'impression', '7', 241049942L, datetime.datetime(2013, 5, 22, 21, 18, 12), 0.129082284266831, False, 'time']
['achieve', 202570063, 'impression', '9', 241049825L, datetime.datetime(2013, 5, 22, 21, 18, 12), 0.0293550686308826, False, 'time']
['achieve', 202570063, 'impression', '4', 241050442L, datetime.datetime(2013, 5, 22, 21, 18, 12), 0.0671619779527045, False, 'time']
['achieve', 202570063, 'impression', '3', 241050879L, datetime.datetime(2013, 5, 22, 21, 18, 12), 0.146802973202625, False, 'time']
['achieve', 202570063, 'impression', '5', 241050442L, datetime.datetime(2013, 5, 22, 21, 25, 9), 0.0671619779527045, False, 'time']
['achieve', 202570063, 'impression', '4', 241050879L, datetime.datetime(2013, 5, 22, 21, 25, 9), 0.146802973202625, False, 'time']
['achieve', 202570063, 'impression', '2', 241051269L, datetime.datetime(2013, 5, 22, 21, 25, 9), 0.0618893719540033, False, 'time']
['achieve', 202570063, 'impression', '7', 241050100L, datetime.datetime(2013, 5, 22, 21, 25, 9), 0.0700428289036341, False, 'time']
['achieve', 202570063, 'impression', '6', 241050108L, datetime.datetime(2013, 5, 22, 21, 25, 9), 0.138478739323256, False, 'time']
['achieve', 202570063, 'impression', '9', 241049881L, datetime.datetime(2013, 5, 22, 21, 25, 9), 0.0997544309489621, False, 'time']
['achieve', 202570063, 'impression', '3', 241051070L, datetime.datetime(2013, 5, 22, 21, 25, 9), 0.0622271796283643, False, 'time']
['achieve', 202570063, 'impression', '10', 241049825L, datetime.datetime(2013, 5, 22, 21, 25, 9), 0.0293550686308826, False, 'time']
['achieve', 202570063, 'impression', '8', 241049942L, datetime.datetime(2013, 5, 22, 21, 25, 9), 0.129082284266831, False, 'time']
['achieve', 202570063, 'impression', '1', 241051943L, datetime.datetime(2013, 5, 22, 21, 25, 9), 0.056659420875768, True, 'time']
['achieve', 202570063, 'expand_tile', '1', 241051943L, datetime.datetime(2013, 5, 22, 21, 25, 15), 0.056659420875768, True, 'time']
['achieve', 202570063, 'view_full_application', '1', 241051943L, datetime.datetime(2013, 5, 22, 21, 25, 18), 0.056659420875768, True, 'time']
['achieve', 202570063, 'impression', '6', 241050108L, datetime.datetime(2013, 5, 22, 21, 26, 22), 0.138478739323256, False, 'time']
['achieve', 202570063, 'impression', '2', 241051269L, datetime.datetime(2013, 5, 22, 21, 26, 22), 0.0618893719540033, False, 'time']
['achieve', 202570063, 'impression', '7', 241050100L, datetime.datetime(2013, 5, 22, 21, 26, 22), 0.0700428289036341, False, 'time']
['achieve', 202570063, 'impression', '3', 241051070L, datetime.datetime(2013, 5, 22, 21, 26, 22), 0.0622271796283643, False, 'time']
