['amergen', 202571790, 'impression', '8', 241079268L, datetime.datetime(2013, 5, 23, 8, 18, 57), 0.0137633558919677, False, 'time']
['amergen', 202571790, 'impression', '6', 241079646L, datetime.datetime(2013, 5, 23, 8, 18, 57), 0.0172468676779343, False, 'time']
['amergen', 202571790, 'impression', '7', 241079345L, datetime.datetime(2013, 5, 23, 8, 18, 57), 0.011854348495338, False, 'time']
['amergen', 202571790, 'impression', '5', 241079735L, datetime.datetime(2013, 5, 23, 8, 18, 57), 0.0859642263553268, False, 'time']
['amergen', 202571790, 'expand_tile', '1', 241084454L, datetime.datetime(2013, 5, 23, 8, 19, 29), 0.0365729408277966, False, 'time']
['amergen', 202571790, 'expand_tile', '7', 241079345L, datetime.datetime(2013, 5, 23, 8, 20, 46), 0.011854348495338, False, 'time']
['amergen', 202571790, 'view_full_application', '1', 241084454L, datetime.datetime(2013, 5, 23, 8, 21, 50), 0.0365729408277966, False, 'time']
['amergen', 202571790, 'impression', '8', 241079268L, datetime.datetime(2013, 5, 23, 8, 25, 47), 0.0137633558919677, False, 'time']
['amergen', 202571790, 'impression', '4', 241082290L, datetime.datetime(2013, 5, 23, 8, 25, 47), 0.0150314386051935, False, 'time']
['amergen', 202571790, 'impression', '7', 241079345L, datetime.datetime(2013, 5, 23, 8, 25, 47), 0.011854348495338, False, 'time']
['amergen', 202571790, 'impression', '6', 241079646L, datetime.datetime(2013, 5, 23, 8, 25, 47), 0.0172468676779343, False, 'time']
['amergen', 202571790, 'impression', '1', 241084454L, datetime.datetime(2013, 5, 23, 8, 25, 47), 0.0365729408277966, False, 'time']
['amergen', 202571790, 'impression', '9', 241078956L, datetime.datetime(2013, 5, 23, 8, 25, 47), 0.008721969236001, False, 'time']
['amergen', 202571790, 'impression', '2', 241082824L, datetime.datetime(2013, 5, 23, 8, 25, 47), 0.0177473188962186, False, 'time']
['amergen', 202571790, 'impression', '3', 241082672L, datetime.datetime(2013, 5, 23, 8, 25, 47), 0.0284147530668033, False, 'time']
['amergen', 202571790, 'impression', '5', 241079735L, datetime.datetime(2013, 5, 23, 8, 25, 47), 0.0859642263553268, False, 'time']

['amergen', 202571790, 'impression', '12', 241082672L, datetime.datetime(2013, 5, 29, 14, 7, 5), 0.0284147530668033, False, 'time']
['amergen', 202571790, 'impression', '11', 241082824L, datetime.datetime(2013, 5, 29, 14, 7, 5), 0.0177473188962186, False, 'time']
['amergen', 202571790, 'impression', '1', 241244130L, datetime.datetime(2013, 5, 29, 14, 7, 5), 0.00845457443648724, False, 'time']
['amergen', 202571790, 'impression', '14', 241079735L, datetime.datetime(2013, 5, 29, 14, 7, 5), 0.0859642263553268, False, 'time']
['amergen', 202571790, 'impression', '4', 241103362L, datetime.datetime(2013, 5, 29, 14, 7, 5), 0.0629538793516658, False, 'time']
['amergen', 202571790, 'impression', '8', 241090023L, datetime.datetime(2013, 5, 29, 14, 7, 5), 0.0256493996475548, False, 'time']
['amergen', 202571790, 'impression', '10', 241084454L, datetime.datetime(2013, 5, 29, 14, 7, 5), 0.0365729408277966, False, 'time']
['amergen', 202571790, 'impression', '17', 241078956L, datetime.datetime(2013, 5, 29, 14, 7, 5), 0.008721969236001, False, 'time']
['amergen', 202571790, 'impression', '9', 241087690L, datetime.datetime(2013, 5, 29, 14, 7, 5), 0.010762211451111, False, 'time']
['amergen', 202571790, 'impression', '5', 241100248L, datetime.datetime(2013, 5, 29, 14, 7, 5), 0.00936763629996785, False, 'time']
['amergen', 202571790, 'impression', '13', 241082290L, datetime.datetime(2013, 5, 29, 14, 7, 5), 0.0150314386051935, False, 'time']
['amergen', 202571790, 'impression', '2', 241107676L, datetime.datetime(2013, 5, 29, 14, 7, 5), 0.047786550181584, False, 'time']
['amergen', 202571790, 'impression', '3', 241103993L, datetime.datetime(2013, 5, 29, 14, 7, 5), 0.00886924204075576, False, 'time']
['amergen', 202571790, 'impression', '15', 241079646L, datetime.datetime(2013, 5, 29, 14, 7, 5), 0.0172468676779343, False, 'time']
['amergen', 202571790, 'impression', '16', 241079345L, datetime.datetime(2013, 5, 29, 14, 7, 5), 0.011854348495338, False, 'time']
['amergen', 202571790, 'impression', '6', 241092162L, datetime.datetime(2013, 5, 29, 14, 7, 5), 0.0084862713961094, False, 'time']
['amergen', 202571790, 'impression', '7', 241091038L, datetime.datetime(2013, 5, 29, 14, 7, 5), 0.031585967630971, False, 'time']
['amergen', 202571790, 'impression', '10', 241084454L, datetime.datetime(2013, 5, 29, 14, 8, 14), 0.0365729408277966, False, 'time']

