['amarkismat', 202569518, 'impression', '5', 241040466L, datetime.datetime(2013, 5, 23, 3, 5, 51), 0.178601623543824, False, 'time']
['amarkismat', 202569518, 'impression', '3', 241040855L, datetime.datetime(2013, 5, 23, 3, 5, 51), 0.00507730941202369, False, 'time']
['amarkismat', 202569518, 'impression', '2', 241047209L, datetime.datetime(2013, 5, 23, 3, 5, 51), 0.0152970920356932, False, 'time']
['amarkismat', 202569518, 'impression', '1', 241048444L, datetime.datetime(2013, 5, 23, 3, 5, 51), 0.00492697123048981, False, 'time']
['amarkismat', 202569518, 'impression', '4', 241040784L, datetime.datetime(2013, 5, 23, 3, 5, 51), 0.00483663430156895, False, 'time']

['amarkismat', 202569518, 'impression', '9', 241040466L, datetime.datetime(2013, 5, 23, 16, 39, 15), 0.178601623543824, False, 'time']
['amarkismat', 202569518, 'impression', '7', 241040855L, datetime.datetime(2013, 5, 23, 16, 39, 15), 0.00507730941202369, False, 'time']
['amarkismat', 202569518, 'impression', '6', 241047209L, datetime.datetime(2013, 5, 23, 16, 39, 15), 0.0152970920356932, False, 'time']
['amarkismat', 202569518, 'impression', '2', 241089057L, datetime.datetime(2013, 5, 23, 16, 39, 15), 0.022673408709962, False, 'time']
['amarkismat', 202569518, 'impression', '1', 241111593L, datetime.datetime(2013, 5, 23, 16, 39, 15), 0.0414999967049992, False, 'time']
['amarkismat', 202569518, 'impression', '4', 241070126L, datetime.datetime(2013, 5, 23, 16, 39, 15), 0.0878975441520799, False, 'time']
['amarkismat', 202569518, 'impression', '3', 241082153L, datetime.datetime(2013, 5, 23, 16, 39, 15), 0.0905973954470974, False, 'time']
['amarkismat', 202569518, 'impression', '8', 241040784L, datetime.datetime(2013, 5, 23, 16, 39, 15), 0.00483663430156895, False, 'time']
['amarkismat', 202569518, 'impression', '5', 241048444L, datetime.datetime(2013, 5, 23, 16, 39, 15), 0.00492697123048981, False, 'time']
['amarkismat', 202569518, 'impression', '1', 241111593L, datetime.datetime(2013, 5, 23, 16, 44, 36), 0.0414999967049992, False, 'time']
['amarkismat', 202569518, 'impression', '4', 241070126L, datetime.datetime(2013, 5, 23, 16, 44, 36), 0.0878975441520799, False, 'time']
['amarkismat', 202569518, 'impression', '3', 241082153L, datetime.datetime(2013, 5, 23, 16, 44, 36), 0.0905973954470974, False, 'time']
['amarkismat', 202569518, 'impression', '9', 241040466L, datetime.datetime(2013, 5, 23, 16, 44, 36), 0.178601623543824, False, 'time']
['amarkismat', 202569518, 'impression', '5', 241048444L, datetime.datetime(2013, 5, 23, 16, 44, 36), 0.00492697123048981, False, 'time']
['amarkismat', 202569518, 'impression', '7', 241040855L, datetime.datetime(2013, 5, 23, 16, 44, 36), 0.00507730941202369, False, 'time']
['amarkismat', 202569518, 'impression', '6', 241047209L, datetime.datetime(2013, 5, 23, 16, 44, 36), 0.0152970920356932, False, 'time']
['amarkismat', 202569518, 'impression', '8', 241040784L, datetime.datetime(2013, 5, 23, 16, 44, 36), 0.00483663430156895, False, 'time']
['amarkismat', 202569518, 'impression', '2', 241089057L, datetime.datetime(2013, 5, 23, 16, 44, 36), 0.022673408709962, False, 'time']
['amarkismat', 202569518, 'impression', '8', 241040784L, datetime.datetime(2013, 5, 23, 16, 53, 11), 0.00483663430156895, False, 'time']
['amarkismat', 202569518, 'impression', '9', 241040466L, datetime.datetime(2013, 5, 23, 16, 53, 11), 0.178601623543824, False, 'time']
['amarkismat', 202569518, 'impression', '7', 241040855L, datetime.datetime(2013, 5, 23, 16, 53, 11), 0.00507730941202369, False, 'time']
['amarkismat', 202569518, 'impression', '6', 241047209L, datetime.datetime(2013, 5, 23, 16, 53, 11), 0.0152970920356932, False, 'time']
['amarkismat', 202569518, 'impression', '4', 241070126L, datetime.datetime(2013, 5, 23, 16, 53, 11), 0.0878975441520799, False, 'time']
['amarkismat', 202569518, 'impression', '1', 241111593L, datetime.datetime(2013, 5, 23, 16, 53, 11), 0.0414999967049992, False, 'time']
['amarkismat', 202569518, 'impression', '2', 241089057L, datetime.datetime(2013, 5, 23, 16, 53, 11), 0.022673408709962, False, 'time']
['amarkismat', 202569518, 'impression', '3', 241082153L, datetime.datetime(2013, 5, 23, 16, 53, 11), 0.0905973954470974, False, 'time']
