['ilyukhin-sergey', 202575286, 'impression', '2', 241149728L, datetime.datetime(2013, 5, 24, 8, 42, 3), 0.513175739156896, False, 'best']
['ilyukhin-sergey', 202575286, 'impression', '5', 241151906L, datetime.datetime(2013, 5, 24, 8, 42, 3), 0.107851249479721, False, 'best']
['ilyukhin-sergey', 202575286, 'impression', '4', 241150277L, datetime.datetime(2013, 5, 24, 8, 42, 3), 0.226140611982692, False, 'best']
['ilyukhin-sergey', 202575286, 'impression', '6', 241149175L, datetime.datetime(2013, 5, 24, 8, 42, 3), 0.093685347455536, False, 'best']
['ilyukhin-sergey', 202575286, 'expand_tile', '6', 241149175L, datetime.datetime(2013, 5, 24, 8, 42, 22), 0.093685347455536, False, 'best']
['ilyukhin-sergey', 202575286, 'view_full_application_via_name', '6', 241149175L, datetime.datetime(2013, 5, 24, 8, 42, 32), 0.093685347455536, False, 'best']
['ilyukhin-sergey', 202575286, 'impression', '3', 241150808L, datetime.datetime(2013, 5, 24, 8, 45, 8), 0.311160618627994, False, 'best']
['ilyukhin-sergey', 202575286, 'impression', '6', 241149175L, datetime.datetime(2013, 5, 24, 8, 45, 8), 0.093685347455536, False, 'best']
['ilyukhin-sergey', 202575286, 'impression', '4', 241150277L, datetime.datetime(2013, 5, 24, 8, 45, 8), 0.226140611982692, False, 'best']
['ilyukhin-sergey', 202575286, 'impression', '5', 241151906L, datetime.datetime(2013, 5, 24, 8, 45, 8), 0.107851249479721, False, 'best']
['ilyukhin-sergey', 202575286, 'impression', '1', 241159012L, datetime.datetime(2013, 5, 24, 8, 45, 8), 0.795450535203552, False, 'best']
['ilyukhin-sergey', 202575286, 'impression', '2', 241149728L, datetime.datetime(2013, 5, 24, 8, 45, 8), 0.513175739156896, False, 'best']
['ilyukhin-sergey', 202575286, 'expand_tile', '3', 241150808L, datetime.datetime(2013, 5, 24, 8, 45, 14), 0.311160618627994, False, 'best']
['ilyukhin-sergey', 202575286, 'view_full_application_via_name', '3', 241150808L, datetime.datetime(2013, 5, 24, 8, 45, 29), 0.311160618627994, False, 'best']

['ilyukhin-sergey', 202575286, 'impression', '1', 241159012L, datetime.datetime(2013, 5, 26, 20, 46, 49), 0.795450535203552, False, 'best']
['ilyukhin-sergey', 202575286, 'impression', '2', 241149728L, datetime.datetime(2013, 5, 26, 20, 46, 49), 0.513175739156896, False, 'best']
['ilyukhin-sergey', 202575286, 'impression', '4', 241150808L, datetime.datetime(2013, 5, 26, 20, 46, 49), 0.311160618627994, False, 'best']
['ilyukhin-sergey', 202575286, 'impression', '6', 241151906L, datetime.datetime(2013, 5, 26, 20, 46, 49), 0.107851249479721, False, 'best']
['ilyukhin-sergey', 202575286, 'impression', '3', 241234175L, datetime.datetime(2013, 5, 26, 20, 46, 49), 0.344547482812408, False, 'best']
['ilyukhin-sergey', 202575286, 'impression', '5', 241245770L, datetime.datetime(2013, 5, 26, 20, 46, 49), 0.119825530081501, False, 'best']
['ilyukhin-sergey', 202575286, 'impression', '7', 241149175L, datetime.datetime(2013, 5, 26, 20, 46, 49), 0.093685347455536, False, 'best']
['ilyukhin-sergey', 202575286, 'view_full_application_via_name', '6', 241151906L, datetime.datetime(2013, 5, 26, 20, 49, 8), 0.107851249479721, False, 'best']
['ilyukhin-sergey', 202575286, 'impression', '2', 241149728L, datetime.datetime(2013, 5, 26, 20, 49, 21), 0.513175739156896, False, 'best']
['ilyukhin-sergey', 202575286, 'impression', '1', 241159012L, datetime.datetime(2013, 5, 26, 20, 49, 21), 0.795450535203552, False, 'best']
['ilyukhin-sergey', 202575286, 'impression', '6', 241151906L, datetime.datetime(2013, 5, 26, 20, 49, 21), 0.107851249479721, False, 'best']
['ilyukhin-sergey', 202575286, 'impression', '5', 241245770L, datetime.datetime(2013, 5, 26, 20, 49, 21), 0.119825530081501, False, 'best']
['ilyukhin-sergey', 202575286, 'impression', '7', 241149175L, datetime.datetime(2013, 5, 26, 20, 49, 21), 0.093685347455536, False, 'best']
['ilyukhin-sergey', 202575286, 'impression', '3', 241234175L, datetime.datetime(2013, 5, 26, 20, 49, 21), 0.344547482812408, False, 'best']
['ilyukhin-sergey', 202575286, 'impression', '4', 241150808L, datetime.datetime(2013, 5, 26, 20, 49, 21), 0.311160618627994, False, 'best']
['ilyukhin-sergey', 202575286, 'expand_tile', '4', 241150808L, datetime.datetime(2013, 5, 26, 20, 49, 24), 0.311160618627994, False, 'best']
['ilyukhin-sergey', 202575286, 'view_full_application_via_name', '4', 241150808L, datetime.datetime(2013, 5, 26, 20, 49, 28), 0.311160618627994, False, 'best']

['ilyukhin-sergey', 202575286, 'impression', '3', 241234175L, datetime.datetime(2013, 5, 26, 21, 19, 41), 0.344547482812408, False, 'best']
['ilyukhin-sergey', 202575286, 'impression', '7', 241149175L, datetime.datetime(2013, 5, 26, 21, 19, 41), 0.093685347455536, False, 'best']
['ilyukhin-sergey', 202575286, 'impression', '6', 241151906L, datetime.datetime(2013, 5, 26, 21, 19, 41), 0.107851249479721, False, 'best']
['ilyukhin-sergey', 202575286, 'impression', '4', 241150808L, datetime.datetime(2013, 5, 26, 21, 19, 41), 0.311160618627994, False, 'best']
['ilyukhin-sergey', 202575286, 'impression', '5', 241245770L, datetime.datetime(2013, 5, 26, 21, 19, 41), 0.119825530081501, False, 'best']
['ilyukhin-sergey', 202575286, 'impression', '1', 241159012L, datetime.datetime(2013, 5, 26, 21, 19, 41), 0.795450535203552, False, 'best']
['ilyukhin-sergey', 202575286, 'impression', '2', 241149728L, datetime.datetime(2013, 5, 26, 21, 19, 41), 0.513175739156896, False, 'best']
['ilyukhin-sergey', 202575286, 'impression', '3', 241234175L, datetime.datetime(2013, 5, 26, 21, 19, 44), 0.344547482812408, False, 'best']
['ilyukhin-sergey', 202575286, 'expand_tile', '3', 241234175L, datetime.datetime(2013, 5, 26, 21, 19, 46), 0.344547482812408, False, 'best']
['ilyukhin-sergey', 202575286, 'send_message', '3', 241234175L, datetime.datetime(2013, 5, 26, 21, 19, 53), 0.344547482812408, False, 'best']
['ilyukhin-sergey', 202575286, 'expand_tile', '3', 241234175L, datetime.datetime(2013, 5, 26, 21, 19, 57), 0.344547482812408, False, 'best']
['ilyukhin-sergey', 202575286, 'expand_tile', '4', 241150808L, datetime.datetime(2013, 5, 26, 21, 20, 1), 0.311160618627994, False, 'best']
['ilyukhin-sergey', 202575286, 'send_message', '4', 241150808L, datetime.datetime(2013, 5, 26, 21, 20, 6), 0.311160618627994, False, 'best']
['ilyukhin-sergey', 202575286, 'expand_tile', '4', 241150808L, datetime.datetime(2013, 5, 26, 21, 20, 8), 0.311160618627994, False, 'best']
['ilyukhin-sergey', 202575286, 'expand_tile', '5', 241245770L, datetime.datetime(2013, 5, 26, 21, 20, 12), 0.119825530081501, False, 'best']
['ilyukhin-sergey', 202575286, 'send_message', '5', 241245770L, datetime.datetime(2013, 5, 26, 21, 20, 18), 0.119825530081501, False, 'best']
['ilyukhin-sergey', 202575286, 'expand_tile', '5', 241245770L, datetime.datetime(2013, 5, 26, 21, 20, 24), 0.119825530081501, False, 'best']
['ilyukhin-sergey', 202575286, 'expand_tile', '6', 241151906L, datetime.datetime(2013, 5, 26, 21, 20, 34), 0.107851249479721, False, 'best']
['ilyukhin-sergey', 202575286, 'send_message', '6', 241151906L, datetime.datetime(2013, 5, 26, 21, 20, 36), 0.107851249479721, False, 'best']
['ilyukhin-sergey', 202575286, 'expand_tile', '6', 241151906L, datetime.datetime(2013, 5, 26, 21, 20, 38), 0.107851249479721, False, 'best']
['ilyukhin-sergey', 202575286, 'collapse_tile', '6', 241151906L, datetime.datetime(2013, 5, 26, 21, 20, 43), 0.107851249479721, False, 'best']
['ilyukhin-sergey', 202575286, 'expand_tile', '6', 241151906L, datetime.datetime(2013, 5, 26, 21, 20, 44), 0.107851249479721, False, 'best']

