['alexpauwels', 202583255, 'impression', '9', 241335989L, datetime.datetime(2013, 5, 26, 16, 23, 27), 0.0654196596790271, False, 'best']
['alexpauwels', 202583255, 'impression', '6', 241336845L, datetime.datetime(2013, 5, 26, 16, 23, 27), 0.0845094507824716, False, 'best']
['alexpauwels', 202583255, 'impression', '1', 241336033L, datetime.datetime(2013, 5, 26, 16, 23, 27), 0.226933093461993, False, 'best']
['alexpauwels', 202583255, 'impression', '8', 241336010L, datetime.datetime(2013, 5, 26, 16, 23, 27), 0.0670081807394402, False, 'best']
['alexpauwels', 202583255, 'impression', '4', 241336026L, datetime.datetime(2013, 5, 26, 16, 23, 27), 0.0902189965885998, False, 'best']
['alexpauwels', 202583255, 'impression', '7', 241335408L, datetime.datetime(2013, 5, 26, 16, 23, 27), 0.0822307233997435, False, 'best']
['alexpauwels', 202583255, 'shortlist', '8', 241336010L, datetime.datetime(2013, 5, 26, 16, 23, 32), 0.0670081807394402, False, 'best']
['alexpauwels', 202583255, 'view_full_application_via_name', '9', 241335989L, datetime.datetime(2013, 5, 26, 16, 23, 42), 0.0654196596790271, False, 'best']
['alexpauwels', 202583255, 'impression', '10', 241335369L, datetime.datetime(2013, 5, 26, 16, 24, 26), 0.029575763705718, False, 'best']
['alexpauwels', 202583255, 'impression', '2', 241335925L, datetime.datetime(2013, 5, 26, 16, 24, 26), 0.159565792609972, False, 'best']
['alexpauwels', 202583255, 'impression', '9', 241335989L, datetime.datetime(2013, 5, 26, 16, 24, 26), 0.0654196596790271, False, 'best']
['alexpauwels', 202583255, 'impression', '5', 241336243L, datetime.datetime(2013, 5, 26, 16, 24, 26), 0.0880970762712343, False, 'best']
['alexpauwels', 202583255, 'impression', '3', 241336874L, datetime.datetime(2013, 5, 26, 16, 24, 26), 0.100095250531142, False, 'best']
['alexpauwels', 202583255, 'impression', '6', 241336845L, datetime.datetime(2013, 5, 26, 16, 24, 26), 0.0845094507824716, False, 'best']
['alexpauwels', 202583255, 'impression', '1', 241336033L, datetime.datetime(2013, 5, 26, 16, 24, 26), 0.226933093461993, False, 'best']
['alexpauwels', 202583255, 'impression', '7', 241335408L, datetime.datetime(2013, 5, 26, 16, 24, 26), 0.0822307233997435, False, 'best']
['alexpauwels', 202583255, 'impression', '4', 241336026L, datetime.datetime(2013, 5, 26, 16, 24, 26), 0.0902189965885998, False, 'best']
['alexpauwels', 202583255, 'impression', '8', 241336010L, datetime.datetime(2013, 5, 26, 16, 24, 26), 0.0670081807394402, False, 'best']
['alexpauwels', 202583255, 'impression', '10', 241335989L, datetime.datetime(2013, 5, 26, 16, 30, 25), 0.0654196596790271, False, 'best']
['alexpauwels', 202583255, 'impression', '3', 241335925L, datetime.datetime(2013, 5, 26, 16, 30, 25), 0.159565792609972, False, 'best']
['alexpauwels', 202583255, 'impression', '7', 241336845L, datetime.datetime(2013, 5, 26, 16, 30, 25), 0.0845094507824716, False, 'best']
['alexpauwels', 202583255, 'impression', '1', 241336033L, datetime.datetime(2013, 5, 26, 16, 30, 25), 0.226933093461993, False, 'best']
['alexpauwels', 202583255, 'impression', '5', 241336026L, datetime.datetime(2013, 5, 26, 16, 30, 25), 0.0902189965885998, False, 'best']
['alexpauwels', 202583255, 'impression', '11', 241336958L, datetime.datetime(2013, 5, 26, 16, 30, 25), 0.0625831664622414, False, 'best']
['alexpauwels', 202583255, 'impression', '8', 241335408L, datetime.datetime(2013, 5, 26, 16, 30, 25), 0.0822307233997435, False, 'best']
['alexpauwels', 202583255, 'impression', '9', 241336010L, datetime.datetime(2013, 5, 26, 16, 30, 25), 0.0670081807394402, False, 'best']
['alexpauwels', 202583255, 'impression', '4', 241336874L, datetime.datetime(2013, 5, 26, 16, 30, 25), 0.100095250531142, False, 'best']
['alexpauwels', 202583255, 'impression', '2', 241337117L, datetime.datetime(2013, 5, 26, 16, 30, 25), 0.193199312894122, False, 'best']
['alexpauwels', 202583255, 'impression', '6', 241336243L, datetime.datetime(2013, 5, 26, 16, 30, 25), 0.0880970762712343, False, 'best']
['alexpauwels', 202583255, 'impression', '12', 241335369L, datetime.datetime(2013, 5, 26, 16, 30, 25), 0.029575763705718, False, 'best']
['alexpauwels', 202583255, 'impression', '5', 241336874L, datetime.datetime(2013, 5, 26, 16, 51, 32), 0.100095250531142, False, 'best']
['alexpauwels', 202583255, 'impression', '2', 241337117L, datetime.datetime(2013, 5, 26, 16, 51, 32), 0.193199312894122, False, 'best']
['alexpauwels', 202583255, 'impression', '3', 241335925L, datetime.datetime(2013, 5, 26, 16, 51, 32), 0.159565792609972, False, 'best']
['alexpauwels', 202583255, 'impression', '13', 241338423L, datetime.datetime(2013, 5, 26, 16, 51, 32), 0.0600568661819677, False, 'best']
['alexpauwels', 202583255, 'impression', '11', 241335989L, datetime.datetime(2013, 5, 26, 16, 51, 32), 0.0654196596790271, False, 'best']
['alexpauwels', 202583255, 'impression', '7', 241336243L, datetime.datetime(2013, 5, 26, 16, 51, 32), 0.0880970762712343, False, 'best']
['alexpauwels', 202583255, 'impression', '15', 241335369L, datetime.datetime(2013, 5, 26, 16, 51, 32), 0.029575763705718, False, 'best']
['alexpauwels', 202583255, 'impression', '14', 241338172L, datetime.datetime(2013, 5, 26, 16, 51, 32), 0.0480021464367033, False, 'best']
['alexpauwels', 202583255, 'impression', '6', 241336026L, datetime.datetime(2013, 5, 26, 16, 51, 32), 0.0902189965885998, False, 'best']
['alexpauwels', 202583255, 'impression', '12', 241336958L, datetime.datetime(2013, 5, 26, 16, 51, 32), 0.0625831664622414, False, 'best']
['alexpauwels', 202583255, 'impression', '9', 241335408L, datetime.datetime(2013, 5, 26, 16, 51, 32), 0.0822307233997435, False, 'best']
['alexpauwels', 202583255, 'impression', '10', 241336010L, datetime.datetime(2013, 5, 26, 16, 51, 32), 0.0670081807394402, False, 'best']
['alexpauwels', 202583255, 'impression', '4', 241337740L, datetime.datetime(2013, 5, 26, 16, 51, 32), 0.125741362903244, False, 'best']
['alexpauwels', 202583255, 'impression', '8', 241336845L, datetime.datetime(2013, 5, 26, 16, 51, 32), 0.0845094507824716, False, 'best']
['alexpauwels', 202583255, 'impression', '1', 241336033L, datetime.datetime(2013, 5, 26, 16, 51, 32), 0.226933093461993, False, 'best']
['alexpauwels', 202583255, 'shortlist', '12', 241336958L, datetime.datetime(2013, 5, 26, 16, 51, 56), 0.0625831664622414, False, 'best']
['alexpauwels', 202583255, 'impression', None, 241336958L, datetime.datetime(2013, 5, 26, 16, 51, 57), 0.0625831664622414, False, 'best']
['alexpauwels', 202583255, 'impression', '12', 241336958L, datetime.datetime(2013, 5, 26, 16, 51, 57), 0.0625831664622414, False, 'best']
['alexpauwels', 202583255, 'view_full_application_via_name', '3', 241335925L, datetime.datetime(2013, 5, 26, 16, 52, 7), 0.159565792609972, False, 'best']
['alexpauwels', 202583255, 'impression', '6', 241336026L, datetime.datetime(2013, 5, 26, 17, 0, 45), 0.0902189965885998, False, 'best']
['alexpauwels', 202583255, 'impression', '9', 241335408L, datetime.datetime(2013, 5, 26, 17, 0, 45), 0.0822307233997435, False, 'best']
['alexpauwels', 202583255, 'impression', '10', 241336010L, datetime.datetime(2013, 5, 26, 17, 0, 45), 0.0670081807394402, False, 'best']
['alexpauwels', 202583255, 'impression', '12', 241336958L, datetime.datetime(2013, 5, 26, 17, 0, 45), 0.0625831664622414, False, 'best']
['alexpauwels', 202583255, 'impression', '7', 241336243L, datetime.datetime(2013, 5, 26, 17, 0, 45), 0.0880970762712343, False, 'best']
['alexpauwels', 202583255, 'impression', '4', 241337740L, datetime.datetime(2013, 5, 26, 17, 0, 45), 0.125741362903244, False, 'best']
['alexpauwels', 202583255, 'impression', '8', 241336845L, datetime.datetime(2013, 5, 26, 17, 0, 45), 0.0845094507824716, False, 'best']
['alexpauwels', 202583255, 'impression', '1', 241336033L, datetime.datetime(2013, 5, 26, 17, 0, 45), 0.226933093461993, False, 'best']
['alexpauwels', 202583255, 'impression', '15', 241335369L, datetime.datetime(2013, 5, 26, 17, 0, 45), 0.029575763705718, False, 'best']
['alexpauwels', 202583255, 'impression', '14', 241338172L, datetime.datetime(2013, 5, 26, 17, 0, 45), 0.0480021464367033, False, 'best']
['alexpauwels', 202583255, 'impression', '2', 241337117L, datetime.datetime(2013, 5, 26, 17, 0, 45), 0.193199312894122, False, 'best']
['alexpauwels', 202583255, 'impression', '5', 241336874L, datetime.datetime(2013, 5, 26, 17, 0, 45), 0.100095250531142, False, 'best']
['alexpauwels', 202583255, 'impression', '13', 241338423L, datetime.datetime(2013, 5, 26, 17, 0, 45), 0.0600568661819677, False, 'best']
['alexpauwels', 202583255, 'impression', '3', 241335925L, datetime.datetime(2013, 5, 26, 17, 0, 45), 0.159565792609972, False, 'best']
['alexpauwels', 202583255, 'impression', '11', 241335989L, datetime.datetime(2013, 5, 26, 17, 0, 45), 0.0654196596790271, False, 'best']
['alexpauwels', 202583255, 'impression', '5', 241336874L, datetime.datetime(2013, 5, 26, 17, 1, 13), 0.100095250531142, False, 'best']
['alexpauwels', 202583255, 'impression', '3', 241335925L, datetime.datetime(2013, 5, 26, 17, 1, 14), 0.159565792609972, False, 'best']
['alexpauwels', 202583255, 'impression', None, 241335925L, datetime.datetime(2013, 5, 26, 17, 1, 14), 0.159565792609972, False, 'best']
['alexpauwels', 202583255, 'shortlist', '3', 241335925L, datetime.datetime(2013, 5, 26, 17, 1, 14), 0.159565792609972, False, 'best']

['alexpauwels', 202583255, 'impression', '8', 241337740L, datetime.datetime(2013, 5, 26, 19, 17, 7), 0.125741362903244, False, 'best']
['alexpauwels', 202583255, 'impression', '1', 241336033L, datetime.datetime(2013, 5, 26, 19, 17, 7), 0.226933093461993, False, 'best']
['alexpauwels', 202583255, 'impression', '14', 241336845L, datetime.datetime(2013, 5, 26, 19, 17, 7), 0.0845094507824716, False, 'best']
['alexpauwels', 202583255, 'impression', '15', 241335408L, datetime.datetime(2013, 5, 26, 19, 17, 7), 0.0822307233997435, False, 'best']
['alexpauwels', 202583255, 'impression', '6', 241341859L, datetime.datetime(2013, 5, 26, 19, 17, 7), 0.149658235175683, False, 'best']
