['itaax', 202583127, 'expand_tile', '3', 241334290L, datetime.datetime(2013, 5, 26, 17, 54, 13), 0.0960608480044653, False, 'time']
['itaax', 202583127, 'send_message', '3', 241334290L, datetime.datetime(2013, 5, 26, 17, 54, 16), 0.0960608480044653, False, 'time']
['itaax', 202583127, 'expand_tile', '3', 241334290L, datetime.datetime(2013, 5, 26, 17, 54, 17), 0.0960608480044653, False, 'time']
['itaax', 202583127, 'expand_tile', '4', 241332688L, datetime.datetime(2013, 5, 26, 17, 54, 18), 0.0577388340009055, False, 'time']
['itaax', 202583127, 'send_message', '4', 241332688L, datetime.datetime(2013, 5, 26, 17, 54, 20), 0.0577388340009055, False, 'time']
['itaax', 202583127, 'expand_tile', '4', 241332688L, datetime.datetime(2013, 5, 26, 17, 54, 21), 0.0577388340009055, False, 'time']
['itaax', 202583127, 'expand_tile', '5', 241332514L, datetime.datetime(2013, 5, 26, 17, 54, 22), 0.110240582808839, False, 'time']
['itaax', 202583127, 'send_message', '5', 241332514L, datetime.datetime(2013, 5, 26, 17, 54, 24), 0.110240582808839, False, 'time']
['itaax', 202583127, 'expand_tile', '5', 241332514L, datetime.datetime(2013, 5, 26, 17, 54, 25), 0.110240582808839, False, 'time']
['itaax', 202583127, 'impression', '4', 241332688L, datetime.datetime(2013, 5, 26, 17, 56, 35), 0.0577388340009055, False, 'time']
['itaax', 202583127, 'impression', '3', 241334290L, datetime.datetime(2013, 5, 26, 17, 56, 35), 0.0960608480044653, False, 'time']
['itaax', 202583127, 'impression', '2', 241335078L, datetime.datetime(2013, 5, 26, 17, 56, 35), 0.139343947996017, False, 'time']
['itaax', 202583127, 'impression', '5', 241332514L, datetime.datetime(2013, 5, 26, 17, 56, 35), 0.110240582808839, False, 'time']
['itaax', 202583127, 'impression', '1', 241335100L, datetime.datetime(2013, 5, 26, 17, 56, 35), 0.146584224738413, False, 'time']
['itaax', 202583127, 'impression', '3', 241334290L, datetime.datetime(2013, 5, 26, 17, 58, 33), 0.0960608480044653, False, 'time']
['itaax', 202583127, 'impression', '4', 241332688L, datetime.datetime(2013, 5, 26, 17, 58, 33), 0.0577388340009055, False, 'time']
['itaax', 202583127, 'impression', '1', 241335100L, datetime.datetime(2013, 5, 26, 17, 58, 33), 0.146584224738413, False, 'time']
['itaax', 202583127, 'impression', '5', 241332514L, datetime.datetime(2013, 5, 26, 17, 58, 33), 0.110240582808839, False, 'time']
['itaax', 202583127, 'impression', '2', 241335078L, datetime.datetime(2013, 5, 26, 17, 58, 33), 0.139343947996017, False, 'time']
['itaax', 202583127, 'expand_tile', '1', 241335100L, datetime.datetime(2013, 5, 26, 17, 58, 36), 0.146584224738413, False, 'time']
['itaax', 202583127, 'collapse_tile', '1', 241335100L, datetime.datetime(2013, 5, 26, 17, 58, 40), 0.146584224738413, False, 'time']
['itaax', 202583127, 'view_full_application_via_message', '1', 241335100L, datetime.datetime(2013, 5, 26, 17, 58, 41), 0.146584224738413, False, 'time']
['itaax', 202583127, 'impression', '1', 241335100L, datetime.datetime(2013, 5, 26, 18, 6, 16), 0.146584224738413, False, 'time']
['itaax', 202583127, 'impression', '5', 241332514L, datetime.datetime(2013, 5, 26, 18, 6, 16), 0.110240582808839, False, 'time']
['itaax', 202583127, 'impression', '2', 241335078L, datetime.datetime(2013, 5, 26, 18, 6, 16), 0.139343947996017, False, 'time']
['itaax', 202583127, 'impression', '4', 241332688L, datetime.datetime(2013, 5, 26, 18, 6, 16), 0.0577388340009055, False, 'time']
['itaax', 202583127, 'impression', '3', 241334290L, datetime.datetime(2013, 5, 26, 18, 6, 16), 0.0960608480044653, False, 'time']
['itaax', 202583127, 'view_full_application_via_message', '2', 241335078L, datetime.datetime(2013, 5, 26, 18, 6, 29), 0.139343947996017, False, 'time']
['itaax', 202583127, 'impression', '2', 241335078L, datetime.datetime(2013, 5, 26, 18, 29, 4), 0.139343947996017, False, 'time']
['itaax', 202583127, 'impression', '4', 241332688L, datetime.datetime(2013, 5, 26, 18, 29, 4), 0.0577388340009055, False, 'time']
['itaax', 202583127, 'impression', '3', 241334290L, datetime.datetime(2013, 5, 26, 18, 29, 4), 0.0960608480044653, False, 'time']
['itaax', 202583127, 'impression', '5', 241332514L, datetime.datetime(2013, 5, 26, 18, 29, 4), 0.110240582808839, False, 'time']
['itaax', 202583127, 'impression', '1', 241335100L, datetime.datetime(2013, 5, 26, 18, 29, 4), 0.146584224738413, False, 'time']

['itaax', 202583127, 'impression', '2', 241335100L, datetime.datetime(2013, 5, 26, 19, 47, 43), 0.146584224738413, False, 'time']
['itaax', 202583127, 'impression', '4', 241334290L, datetime.datetime(2013, 5, 26, 19, 47, 43), 0.0960608480044653, False, 'time']
['itaax', 202583127, 'impression', '1', 241344234L, datetime.datetime(2013, 5, 26, 19, 47, 43), 0.0777503995514902, False, 'time']
['itaax', 202583127, 'impression', '3', 241335078L, datetime.datetime(2013, 5, 26, 19, 47, 43), 0.139343947996017, False, 'time']
['itaax', 202583127, 'impression', '5', 241332688L, datetime.datetime(2013, 5, 26, 19, 47, 43), 0.0577388340009055, False, 'time']
['itaax', 202583127, 'impression', '6', 241332514L, datetime.datetime(2013, 5, 26, 19, 47, 43), 0.110240582808839, False, 'time']
['itaax', 202583127, 'expand_tile', '1', 241344234L, datetime.datetime(2013, 5, 26, 19, 47, 50), 0.0777503995514902, False, 'time']
['itaax', 202583127, 'send_message', '1', 241344234L, datetime.datetime(2013, 5, 26, 19, 47, 58), 0.0777503995514902, False, 'time']
['itaax', 202583127, 'expand_tile', '1', 241344234L, datetime.datetime(2013, 5, 26, 19, 48, 7), 0.0777503995514902, False, 'time']
['itaax', 202583127, 'collapse_tile', '1', 241344234L, datetime.datetime(2013, 5, 26, 19, 48, 12), 0.0777503995514902, False, 'time']
['itaax', 202583127, 'expand_tile', '1', 241344234L, datetime.datetime(2013, 5, 26, 19, 48, 13), 0.0777503995514902, False, 'time']
['itaax', 202583127, 'collapse_tile', '1', 241344234L, datetime.datetime(2013, 5, 26, 19, 48, 14), 0.0777503995514902, False, 'time']
['itaax', 202583127, 'expand_tile', '1', 241344234L, datetime.datetime(2013, 5, 26, 19, 48, 17), 0.0777503995514902, False, 'time']
['itaax', 202583127, 'collapse_tile', '1', 241344234L, datetime.datetime(2013, 5, 26, 19, 48, 18), 0.0777503995514902, False, 'time']
['itaax', 202583127, 'expand_tile', '1', 241344234L, datetime.datetime(2013, 5, 26, 19, 48, 19), 0.0777503995514902, False, 'time']
['itaax', 202583127, 'view_full_application', '1', 241344234L, datetime.datetime(2013, 5, 26, 19, 48, 21), 0.0777503995514902, False, 'time']

['itaax', 202583127, 'impression', '6', 241332514L, datetime.datetime(2013, 5, 26, 22, 26, 44), 0.110240582808839, False, 'time']
['itaax', 202583127, 'impression', '2', 241335100L, datetime.datetime(2013, 5, 26, 22, 26, 44), 0.146584224738413, False, 'time']
