['christinebarry12', 202556008, 'collapse_tile', '3', 240771494L, datetime.datetime(2013, 5, 20, 15, 41, 54), 0.236192206701723, False, 'best']
['christinebarry12', 202556008, 'impression', '3', 240771494L, datetime.datetime(2013, 5, 20, 15, 41, 54), 0.236192206701723, False, 'best']
['christinebarry12', 202556008, 'expand_tile', '4', 240792735L, datetime.datetime(2013, 5, 20, 15, 42, 2), 0.223478160571495, False, 'best']
['christinebarry12', 202556008, 'impression', '4', 240792735L, datetime.datetime(2013, 5, 20, 15, 42, 17), 0.223478160571495, False, 'best']
['christinebarry12', 202556008, 'impression', '4', 240792735L, datetime.datetime(2013, 5, 20, 15, 42, 32), 0.223478160571495, False, 'best']
['christinebarry12', 202556008, 'expand_tile', '4', 240792735L, datetime.datetime(2013, 5, 20, 15, 42, 43), 0.223478160571495, False, 'best']
['christinebarry12', 202556008, 'expand_tile', '5', 240771277L, datetime.datetime(2013, 5, 20, 15, 42, 45), 0.222207831238961, False, 'best']
['christinebarry12', 202556008, 'view_full_application', '5', 240771277L, datetime.datetime(2013, 5, 20, 15, 42, 53), 0.222207831238961, False, 'best']
['christinebarry12', 202556008, 'impression', '1', 240770148L, datetime.datetime(2013, 5, 20, 15, 43, 14), 0.269696670578528, False, 'best']
['christinebarry12', 202556008, 'impression', '2', 240771422L, datetime.datetime(2013, 5, 20, 15, 43, 14), 0.264538024657658, True, 'best']
['christinebarry12', 202556008, 'impression', '16', 240772349L, datetime.datetime(2013, 5, 20, 15, 43, 14), 0.0825559596436039, False, 'best']
['christinebarry12', 202556008, 'impression', '19', 240776107L, datetime.datetime(2013, 5, 20, 15, 43, 14), 0.0784848801593575, False, 'best']
['christinebarry12', 202556008, 'impression', '13', 240792811L, datetime.datetime(2013, 5, 20, 15, 43, 14), 0.100848838690442, False, 'best']
['christinebarry12', 202556008, 'impression', '8', 240772706L, datetime.datetime(2013, 5, 20, 15, 43, 14), 0.175540009994835, False, 'best']
['christinebarry12', 202556008, 'impression', '20', 240771140L, datetime.datetime(2013, 5, 20, 15, 43, 14), 0.0762978306932914, False, 'best']
['christinebarry12', 202556008, 'impression', '14', 240797773L, datetime.datetime(2013, 5, 20, 15, 43, 14), 0.094203761328358, False, 'best']
['christinebarry12', 202556008, 'impression', '5', 240781084L, datetime.datetime(2013, 5, 20, 15, 43, 14), 0.217183037278961, False, 'best']
['christinebarry12', 202556008, 'impression', '10', 240802355L, datetime.datetime(2013, 5, 20, 15, 43, 14), 0.147344283446576, False, 'best']
['christinebarry12', 202556008, 'impression', '11', 240776142L, datetime.datetime(2013, 5, 20, 15, 43, 14), 0.147022005815859, False, 'best']
['christinebarry12', 202556008, 'impression', '6', 240772408L, datetime.datetime(2013, 5, 20, 15, 43, 14), 0.213249651150121, False, 'best']
['christinebarry12', 202556008, 'impression', '7', 240773883L, datetime.datetime(2013, 5, 20, 15, 43, 14), 0.178414323377212, False, 'best']
['christinebarry12', 202556008, 'impression', '15', 240772964L, datetime.datetime(2013, 5, 20, 15, 43, 14), 0.0917907329198236, False, 'best']
['christinebarry12', 202556008, 'impression', '3', 240771277L, datetime.datetime(2013, 5, 20, 15, 43, 14), 0.222207831238961, False, 'best']
['christinebarry12', 202556008, 'impression', '9', 240789971L, datetime.datetime(2013, 5, 20, 15, 43, 14), 0.148649590716351, False, 'best']
['christinebarry12', 202556008, 'impression', '4', 240770910L, datetime.datetime(2013, 5, 20, 15, 43, 14), 0.219569512985825, False, 'best']
['christinebarry12', 202556008, 'impression', '17', 240775496L, datetime.datetime(2013, 5, 20, 15, 43, 14), 0.0820699391991483, False, 'best']
['christinebarry12', 202556008, 'impression', '18', 240771504L, datetime.datetime(2013, 5, 20, 15, 43, 14), 0.0792536827237231, False, 'best']
['christinebarry12', 202556008, 'impression', '12', 240772484L, datetime.datetime(2013, 5, 20, 15, 43, 14), 0.120484401383762, False, 'best']
['christinebarry12', 202556008, 'shortlist', '3', 240771277L, datetime.datetime(2013, 5, 20, 15, 43, 24), 0.222207831238961, False, 'best']
['christinebarry12', 202556008, 'impression', '3', 240771277L, datetime.datetime(2013, 5, 20, 15, 43, 28), 0.222207831238961, False, 'best']
['christinebarry12', 202556008, 'impression', None, 240771277L, datetime.datetime(2013, 5, 20, 15, 43, 28), 0.222207831238961, False, 'best']
['christinebarry12', 202556008, 'expand_tile', '2', 240771422L, datetime.datetime(2013, 5, 20, 15, 43, 29), 0.264538024657658, True, 'best']
['christinebarry12', 202556008, 'view_full_application', '2', 240771422L, datetime.datetime(2013, 5, 20, 15, 43, 31), 0.264538024657658, True, 'best']
['christinebarry12', 202556008, 'impression', '13', 240792811L, datetime.datetime(2013, 5, 20, 15, 45, 10), 0.100848838690442, False, 'best']
['christinebarry12', 202556008, 'impression', '8', 240772706L, datetime.datetime(2013, 5, 20, 15, 45, 10), 0.175540009994835, False, 'best']
['christinebarry12', 202556008, 'impression', '20', 240771140L, datetime.datetime(2013, 5, 20, 15, 45, 10), 0.0762978306932914, False, 'best']
['christinebarry12', 202556008, 'impression', '5', 240781084L, datetime.datetime(2013, 5, 20, 15, 45, 10), 0.217183037278961, False, 'best']
['christinebarry12', 202556008, 'impression', '14', 240797773L, datetime.datetime(2013, 5, 20, 15, 45, 10), 0.094203761328358, False, 'best']
['christinebarry12', 202556008, 'impression', '10', 240802355L, datetime.datetime(2013, 5, 20, 15, 45, 10), 0.147344283446576, False, 'best']
