['henrikbag', 202587830, 'impression', '18', 241437745L, datetime.datetime(2013, 5, 28, 13, 51, 22), 0.20419178562729, False, 'time']
['henrikbag', 202587830, 'impression', '6', 241454121L, datetime.datetime(2013, 5, 28, 13, 51, 22), 0.368331065037901, False, 'time']
['henrikbag', 202587830, 'impression', '12', 241441395L, datetime.datetime(2013, 5, 28, 13, 51, 22), 0.167257528058457, False, 'time']
['henrikbag', 202587830, 'impression', '20', 241437518L, datetime.datetime(2013, 5, 28, 13, 51, 22), 0.0976274652798146, False, 'time']
['henrikbag', 202587830, 'impression', '19', 241437526L, datetime.datetime(2013, 5, 28, 13, 51, 22), 0.199802512675195, False, 'time']
['henrikbag', 202587830, 'impression', '2', 241470483L, datetime.datetime(2013, 5, 28, 13, 51, 22), 0.262691904614829, True, 'time']
['henrikbag', 202587830, 'impression', '13', 241440959L, datetime.datetime(2013, 5, 28, 13, 51, 22), 0.091722971399582, False, 'time']
['henrikbag', 202587830, 'impression', '3', 241468355L, datetime.datetime(2013, 5, 28, 13, 51, 22), 0.10676697527407, False, 'time']
['henrikbag', 202587830, 'impression', '16', 241440745L, datetime.datetime(2013, 5, 28, 13, 51, 22), 0.194334612588763, False, 'time']
['henrikbag', 202587830, 'impression', '14', 241440940L, datetime.datetime(2013, 5, 28, 13, 51, 22), 0.0717998850821366, False, 'time']
['henrikbag', 202587830, 'impression', '4', 241464811L, datetime.datetime(2013, 5, 28, 13, 51, 22), 0.170409056751523, False, 'time']
['henrikbag', 202587830, 'impression', '17', 241440450L, datetime.datetime(2013, 5, 28, 13, 51, 22), 0.189826036483694, False, 'time']
['henrikbag', 202587830, 'impression', '9', 241446530L, datetime.datetime(2013, 5, 28, 13, 51, 22), 0.145096204923404, False, 'time']

['henrikbag', 202587830, 'impression', '8', 241447818L, datetime.datetime(2013, 5, 29, 3, 53, 17), 0.221148290661919, False, 'time']
['henrikbag', 202587830, 'impression', '5', 241459048L, datetime.datetime(2013, 5, 29, 3, 53, 17), 0.109485562371571, False, 'time']
['henrikbag', 202587830, 'impression', '11', 241442400L, datetime.datetime(2013, 5, 29, 3, 53, 17), 0.0616682632632381, False, 'time']
