['danguy', 202542497, 'impression', '8', 240483910L, datetime.datetime(2013, 5, 17, 1, 57, 11), 0.0634029536887006, False, 'best']
['danguy', 202542497, 'impression', '12', 240498885L, datetime.datetime(2013, 5, 17, 1, 57, 11), 0.0502046611925883, False, 'best']
['danguy', 202542497, 'impression', '11', 240483670L, datetime.datetime(2013, 5, 17, 1, 57, 11), 0.0505503838866263, False, 'best']
['danguy', 202542497, 'impression', '1', 240483750L, datetime.datetime(2013, 5, 17, 1, 57, 11), 0.128458921411283, False, 'best']
['danguy', 202542497, 'impression', '4', 240485216L, datetime.datetime(2013, 5, 17, 1, 57, 11), 0.0845194853701004, False, 'best']
['danguy', 202542497, 'impression', '16', 240493487L, datetime.datetime(2013, 5, 17, 1, 57, 11), 0.041405888254709, False, 'best']
['danguy', 202542497, 'impression', '3', 240484892L, datetime.datetime(2013, 5, 17, 1, 57, 11), 0.086926496756981, False, 'best']
['danguy', 202542497, 'impression', '5', 240483805L, datetime.datetime(2013, 5, 17, 1, 57, 11), 0.0730912100707915, False, 'best']
['danguy', 202542497, 'impression', '9', 240488120L, datetime.datetime(2013, 5, 17, 1, 57, 11), 0.0566049419841384, False, 'best']
['danguy', 202542497, 'impression', '13', 240489292L, datetime.datetime(2013, 5, 17, 1, 57, 11), 0.0499351467424182, False, 'best']
['danguy', 202542497, 'impression', '18', 240485810L, datetime.datetime(2013, 5, 17, 1, 57, 11), 0.0336590452199622, False, 'best']
['danguy', 202542497, 'impression', '14', 240490187L, datetime.datetime(2013, 5, 17, 1, 57, 11), 0.0498300626585553, False, 'best']
['danguy', 202542497, 'impression', '19', 240483731L, datetime.datetime(2013, 5, 17, 1, 57, 11), 0.0336308408721608, False, 'best']
['danguy', 202542497, 'impression', '15', 240485056L, datetime.datetime(2013, 5, 17, 1, 57, 11), 0.045428877385333, False, 'best']
['danguy', 202542497, 'impression', '17', 240483574L, datetime.datetime(2013, 5, 17, 1, 57, 11), 0.038978385499682, False, 'best']
['danguy', 202542497, 'impression', '2', 240484845L, datetime.datetime(2013, 5, 17, 1, 57, 11), 0.0969087075610724, False, 'best']
['danguy', 202542497, 'impression', '10', 240483640L, datetime.datetime(2013, 5, 17, 1, 57, 11), 0.051489835638338, False, 'best']
['danguy', 202542497, 'impression', '6', 240485816L, datetime.datetime(2013, 5, 17, 1, 57, 11), 0.0652645710319714, False, 'best']
['danguy', 202542497, 'impression', '20', 240483933L, datetime.datetime(2013, 5, 17, 1, 57, 11), 0.0319393507587173, False, 'best']
['danguy', 202542497, 'shortlist', '16', 240493487L, datetime.datetime(2013, 5, 17, 1, 57, 15), 0.041405888254709, False, 'best']

['danguy', 202542497, 'impression', '15', 240489292L, datetime.datetime(2013, 5, 17, 19, 14, 9), 0.0499351467424182, False, 'best']
['danguy', 202542497, 'impression', '10', 240554066L, datetime.datetime(2013, 5, 17, 19, 14, 9), 0.0617693724630493, False, 'best']
['danguy', 202542497, 'impression', '16', 240490187L, datetime.datetime(2013, 5, 17, 19, 14, 9), 0.0498300626585553, False, 'best']
['danguy', 202542497, 'impression', '3', 240484892L, datetime.datetime(2013, 5, 17, 19, 14, 9), 0.086926496756981, False, 'best']
['danguy', 202542497, 'impression', '7', 240483805L, datetime.datetime(2013, 5, 17, 19, 14, 9), 0.0730912100707915, False, 'best']
['danguy', 202542497, 'impression', '20', 240493487L, datetime.datetime(2013, 5, 17, 19, 14, 9), 0.041405888254709, False, 'best']
['danguy', 202542497, 'impression', '11', 240488120L, datetime.datetime(2013, 5, 17, 19, 14, 9), 0.0566049419841384, False, 'best']
['danguy', 202542497, 'impression', '6', 240538812L, datetime.datetime(2013, 5, 17, 19, 14, 9), 0.0839622600326611, False, 'best']
['danguy', 202542497, 'impression', '4', 240515336L, datetime.datetime(2013, 5, 17, 19, 14, 9), 0.0857043079874663, False, 'best']
['danguy', 202542497, 'impression', '5', 240485216L, datetime.datetime(2013, 5, 17, 19, 14, 9), 0.0845194853701004, False, 'best']
['danguy', 202542497, 'impression', '1', 240483750L, datetime.datetime(2013, 5, 17, 19, 14, 9), 0.128458921411283, False, 'best']
['danguy', 202542497, 'impression', '14', 240498885L, datetime.datetime(2013, 5, 17, 19, 14, 9), 0.0502046611925883, False, 'best']
['danguy', 202542497, 'impression', '13', 240483670L, datetime.datetime(2013, 5, 17, 19, 14, 9), 0.0505503838866263, False, 'best']
['danguy', 202542497, 'impression', '9', 240483910L, datetime.datetime(2013, 5, 17, 19, 14, 9), 0.0634029536887006, False, 'best']
['danguy', 202542497, 'impression', '2', 240484845L, datetime.datetime(2013, 5, 17, 19, 14, 9), 0.0969087075610724, False, 'best']
['danguy', 202542497, 'impression', '18', 240485056L, datetime.datetime(2013, 5, 17, 19, 14, 9), 0.045428877385333, False, 'best']
['danguy', 202542497, 'impression', '19', 240602589L, datetime.datetime(2013, 5, 17, 19, 14, 9), 0.0448596239881729, False, 'best']
['danguy', 202542497, 'impression', '17', 240538779L, datetime.datetime(2013, 5, 17, 19, 14, 9), 0.0475334744630015, False, 'best']
['danguy', 202542497, 'impression', '12', 240483640L, datetime.datetime(2013, 5, 17, 19, 14, 9), 0.051489835638338, False, 'best']
['danguy', 202542497, 'impression', '8', 240485816L, datetime.datetime(2013, 5, 17, 19, 14, 9), 0.0652645710319714, False, 'best']

