['orangerockmedia', 202590449, 'impression', '10', 241500029L, datetime.datetime(2013, 5, 28, 16, 40, 33), 0.0723626028559213, False, 'best']
['orangerockmedia', 202590449, 'impression', '7', 241502012L, datetime.datetime(2013, 5, 28, 16, 40, 33), 0.1266574207709, False, 'best']
['orangerockmedia', 202590449, 'impression', '6', 241500100L, datetime.datetime(2013, 5, 28, 16, 40, 33), 0.128888902194646, False, 'best']
['orangerockmedia', 202590449, 'impression', '8', 241504878L, datetime.datetime(2013, 5, 28, 16, 40, 33), 0.100784473707608, False, 'best']
['orangerockmedia', 202590449, 'impression', '12', 241503405L, datetime.datetime(2013, 5, 28, 16, 40, 33), 0.0574555053758761, False, 'best']
['orangerockmedia', 202590449, 'impression', '12', 241503405L, datetime.datetime(2013, 5, 28, 16, 40, 39), 0.0574555053758761, False, 'best']
['orangerockmedia', 202590449, 'impression', '5', 241500264L, datetime.datetime(2013, 5, 28, 16, 40, 39), 0.141627548387823, False, 'best']
['orangerockmedia', 202590449, 'impression', '2', 241500793L, datetime.datetime(2013, 5, 28, 16, 40, 39), 0.182380919042319, False, 'best']
['orangerockmedia', 202590449, 'impression', '3', 241500327L, datetime.datetime(2013, 5, 28, 16, 40, 39), 0.159864075681193, False, 'best']
['orangerockmedia', 202590449, 'impression', '4', 241500023L, datetime.datetime(2013, 5, 28, 16, 40, 39), 0.148441705193093, False, 'best']
['orangerockmedia', 202590449, 'impression', '1', 241500354L, datetime.datetime(2013, 5, 28, 16, 40, 39), 0.264351665585244, False, 'best']
['orangerockmedia', 202590449, 'impression', '9', 241500904L, datetime.datetime(2013, 5, 28, 16, 40, 39), 0.0879029580319974, False, 'best']
['orangerockmedia', 202590449, 'impression', '13', 241503609L, datetime.datetime(2013, 5, 28, 16, 40, 39), 0.0368906776038627, False, 'best']
['orangerockmedia', 202590449, 'impression', '11', 241502039L, datetime.datetime(2013, 5, 28, 16, 40, 39), 0.0677033805745711, False, 'best']
