['gabriel79a', 202541137, 'impression', '3', 240457164L, datetime.datetime(2013, 5, 15, 14, 44, 21), 0.0993227462438755, False, 'time']
['gabriel79a', 202541137, 'view_full_application_via_name', '1', 240460100L, datetime.datetime(2013, 5, 15, 14, 44, 31), 0.0941876106825039, False, 'time']
['gabriel79a', 202541137, 'impression', '2', 240460580L, datetime.datetime(2013, 5, 15, 14, 50, 26), 0.141791731208531, False, 'time']
['gabriel79a', 202541137, 'impression', '6', 240455419L, datetime.datetime(2013, 5, 15, 14, 50, 26), 0.195356996276039, False, 'time']
['gabriel79a', 202541137, 'impression', '1', 240460949L, datetime.datetime(2013, 5, 15, 14, 50, 26), 0.102254649343164, False, 'time']
['gabriel79a', 202541137, 'impression', '4', 240458115L, datetime.datetime(2013, 5, 15, 14, 50, 26), 0.152840194808424, False, 'time']
['gabriel79a', 202541137, 'impression', '5', 240457164L, datetime.datetime(2013, 5, 15, 14, 50, 26), 0.0993227462438755, False, 'time']
['gabriel79a', 202541137, 'impression', '3', 240460100L, datetime.datetime(2013, 5, 15, 14, 50, 26), 0.0941876106825039, False, 'time']
['gabriel79a', 202541137, 'view_full_application_via_name', '2', 240460580L, datetime.datetime(2013, 5, 15, 14, 50, 38), 0.141791731208531, False, 'time']
['gabriel79a', 202541137, 'impression', '3', 240460100L, datetime.datetime(2013, 5, 15, 14, 51, 37), 0.0941876106825039, False, 'time']
['gabriel79a', 202541137, 'impression', '1', 240460949L, datetime.datetime(2013, 5, 15, 14, 51, 37), 0.102254649343164, False, 'time']
['gabriel79a', 202541137, 'impression', '2', 240460580L, datetime.datetime(2013, 5, 15, 14, 51, 37), 0.141791731208531, False, 'time']
['gabriel79a', 202541137, 'impression', '6', 240455419L, datetime.datetime(2013, 5, 15, 14, 51, 37), 0.195356996276039, False, 'time']
['gabriel79a', 202541137, 'impression', '5', 240457164L, datetime.datetime(2013, 5, 15, 14, 51, 37), 0.0993227462438755, False, 'time']
['gabriel79a', 202541137, 'impression', '4', 240458115L, datetime.datetime(2013, 5, 15, 14, 51, 37), 0.152840194808424, False, 'time']
['gabriel79a', 202541137, 'view_full_application_via_name', '1', 240460949L, datetime.datetime(2013, 5, 15, 14, 51, 42), 0.102254649343164, False, 'time']
['gabriel79a', 202541137, 'impression', '3', 240460100L, datetime.datetime(2013, 5, 15, 15, 2, 17), 0.0941876106825039, False, 'time']
['gabriel79a', 202541137, 'impression', '6', 240455419L, datetime.datetime(2013, 5, 15, 15, 2, 17), 0.195356996276039, False, 'time']
['gabriel79a', 202541137, 'impression', '1', 240460949L, datetime.datetime(2013, 5, 15, 15, 2, 17), 0.102254649343164, False, 'time']
['gabriel79a', 202541137, 'impression', '2', 240460580L, datetime.datetime(2013, 5, 15, 15, 2, 17), 0.141791731208531, False, 'time']
['gabriel79a', 202541137, 'impression', '4', 240458115L, datetime.datetime(2013, 5, 15, 15, 2, 17), 0.152840194808424, False, 'time']
['gabriel79a', 202541137, 'impression', '5', 240457164L, datetime.datetime(2013, 5, 15, 15, 2, 17), 0.0993227462438755, False, 'time']
['gabriel79a', 202541137, 'impression', '3', 240460100L, datetime.datetime(2013, 5, 15, 15, 16, 15), 0.0941876106825039, False, 'time']
['gabriel79a', 202541137, 'impression', '4', 240458115L, datetime.datetime(2013, 5, 15, 15, 16, 15), 0.152840194808424, False, 'time']
['gabriel79a', 202541137, 'impression', '5', 240457164L, datetime.datetime(2013, 5, 15, 15, 16, 15), 0.0993227462438755, False, 'time']
['gabriel79a', 202541137, 'impression', '1', 240460949L, datetime.datetime(2013, 5, 15, 15, 16, 15), 0.102254649343164, False, 'time']
['gabriel79a', 202541137, 'impression', '2', 240460580L, datetime.datetime(2013, 5, 15, 15, 16, 15), 0.141791731208531, False, 'time']
['gabriel79a', 202541137, 'impression', '6', 240455419L, datetime.datetime(2013, 5, 15, 15, 16, 15), 0.195356996276039, False, 'time']
['gabriel79a', 202541137, 'impression', '6', 240455419L, datetime.datetime(2013, 5, 15, 15, 31, 7), 0.195356996276039, False, 'time']
['gabriel79a', 202541137, 'impression', '2', 240460580L, datetime.datetime(2013, 5, 15, 15, 31, 7), 0.141791731208531, False, 'time']
['gabriel79a', 202541137, 'impression', '1', 240460949L, datetime.datetime(2013, 5, 15, 15, 31, 7), 0.102254649343164, False, 'time']
['gabriel79a', 202541137, 'impression', '3', 240460100L, datetime.datetime(2013, 5, 15, 15, 31, 7), 0.0941876106825039, False, 'time']
['gabriel79a', 202541137, 'impression', '4', 240458115L, datetime.datetime(2013, 5, 15, 15, 31, 7), 0.152840194808424, False, 'time']
['gabriel79a', 202541137, 'impression', '5', 240457164L, datetime.datetime(2013, 5, 15, 15, 31, 7), 0.0993227462438755, False, 'time']
['gabriel79a', 202541137, 'impression', '3', 240460100L, datetime.datetime(2013, 5, 15, 15, 59, 37), 0.0941876106825039, False, 'time']
['gabriel79a', 202541137, 'impression', '5', 240457164L, datetime.datetime(2013, 5, 15, 15, 59, 37), 0.0993227462438755, False, 'time']
['gabriel79a', 202541137, 'impression', '4', 240458115L, datetime.datetime(2013, 5, 15, 15, 59, 37), 0.152840194808424, False, 'time']
['gabriel79a', 202541137, 'impression', '6', 240455419L, datetime.datetime(2013, 5, 15, 15, 59, 37), 0.195356996276039, False, 'time']
['gabriel79a', 202541137, 'impression', '1', 240460949L, datetime.datetime(2013, 5, 15, 15, 59, 37), 0.102254649343164, False, 'time']
['gabriel79a', 202541137, 'impression', '2', 240460580L, datetime.datetime(2013, 5, 15, 15, 59, 37), 0.141791731208531, False, 'time']
['gabriel79a', 202541137, 'impression', '2', 240460580L, datetime.datetime(2013, 5, 15, 16, 24, 3), 0.141791731208531, False, 'time']
['gabriel79a', 202541137, 'impression', '6', 240455419L, datetime.datetime(2013, 5, 15, 16, 24, 3), 0.195356996276039, False, 'time']
['gabriel79a', 202541137, 'impression', '1', 240460949L, datetime.datetime(2013, 5, 15, 16, 24, 3), 0.102254649343164, False, 'time']
['gabriel79a', 202541137, 'impression', '5', 240457164L, datetime.datetime(2013, 5, 15, 16, 24, 3), 0.0993227462438755, False, 'time']
['gabriel79a', 202541137, 'impression', '3', 240460100L, datetime.datetime(2013, 5, 15, 16, 24, 3), 0.0941876106825039, False, 'time']
['gabriel79a', 202541137, 'impression', '4', 240458115L, datetime.datetime(2013, 5, 15, 16, 24, 3), 0.152840194808424, False, 'time']
