['lebettega', 202558033, 'impression', '17', 240816037L, datetime.datetime(2013, 5, 21, 0, 7, 41), 0.133933490840881, False, 'time']
['lebettega', 202558033, 'impression', '18', 240815785L, datetime.datetime(2013, 5, 21, 0, 7, 41), 0.130193752627279, False, 'time']
['lebettega', 202558033, 'impression', '12', 240819593L, datetime.datetime(2013, 5, 21, 0, 7, 41), 0.060719667024468, False, 'time']
['lebettega', 202558033, 'impression', '3', 240833491L, datetime.datetime(2013, 5, 21, 0, 7, 41), 0.112720527913963, False, 'time']
['lebettega', 202558033, 'impression', '8', 240821505L, datetime.datetime(2013, 5, 21, 0, 7, 41), 0.139706427765689, False, 'time']
['lebettega', 202558033, 'impression', '15', 240817585L, datetime.datetime(2013, 5, 21, 0, 7, 41), 0.0511821663702282, False, 'time']
['lebettega', 202558033, 'impression', '11', 240820226L, datetime.datetime(2013, 5, 21, 0, 7, 41), 0.123254965190686, False, 'time']
['lebettega', 202558033, 'impression', '14', 240817616L, datetime.datetime(2013, 5, 21, 0, 7, 41), 0.02743233390935, False, 'time']
['lebettega', 202558033, 'impression', '13', 240817741L, datetime.datetime(2013, 5, 21, 0, 7, 41), 0.0799427266437891, False, 'time']
['lebettega', 202558033, 'impression', '10', 240820481L, datetime.datetime(2013, 5, 21, 0, 7, 41), 0.126969276781885, False, 'time']
['lebettega', 202558033, 'impression', '6', 240831279L, datetime.datetime(2013, 5, 21, 0, 7, 41), 0.176451744996889, False, 'time']
['lebettega', 202558033, 'expand_tile', '19', 240815367L, datetime.datetime(2013, 5, 21, 0, 8, 10), 0.152695473605036, False, 'time']
['lebettega', 202558033, 'collapse_tile', '19', 240815367L, datetime.datetime(2013, 5, 21, 0, 8, 14), 0.152695473605036, False, 'time']
['lebettega', 202558033, 'expand_tile', '19', 240815367L, datetime.datetime(2013, 5, 21, 0, 8, 16), 0.152695473605036, False, 'time']
['lebettega', 202558033, 'expand_tile', '19', 240815367L, datetime.datetime(2013, 5, 21, 0, 13, 13), 0.152695473605036, False, 'time']
['lebettega', 202558033, 'expand_tile', '1', 240835653L, datetime.datetime(2013, 5, 21, 0, 13, 18), 0.16707673747493, False, 'time']
['lebettega', 202558033, 'collapse_tile', '1', 240835653L, datetime.datetime(2013, 5, 21, 0, 13, 30), 0.16707673747493, False, 'time']
['lebettega', 202558033, 'impression', '1', 240835653L, datetime.datetime(2013, 5, 21, 0, 13, 30), 0.16707673747493, False, 'time']
['lebettega', 202558033, 'impression', '2', 240834793L, datetime.datetime(2013, 5, 21, 0, 13, 38), 0.139157013188456, False, 'time']
['lebettega', 202558033, 'expand_tile', '2', 240834793L, datetime.datetime(2013, 5, 21, 0, 13, 39), 0.139157013188456, False, 'time']
['lebettega', 202558033, 'collapse_tile', '2', 240834793L, datetime.datetime(2013, 5, 21, 0, 13, 49), 0.139157013188456, False, 'time']
['lebettega', 202558033, 'expand_tile', '2', 240834793L, datetime.datetime(2013, 5, 21, 0, 13, 50), 0.139157013188456, False, 'time']
['lebettega', 202558033, 'view_full_application', '2', 240834793L, datetime.datetime(2013, 5, 21, 0, 13, 52), 0.139157013188456, False, 'time']
['lebettega', 202558033, 'impression', '17', 240815785L, datetime.datetime(2013, 5, 21, 0, 14, 34), 0.130193752627279, False, 'time']
['lebettega', 202558033, 'impression', '14', 240817585L, datetime.datetime(2013, 5, 21, 0, 14, 34), 0.0511821663702282, False, 'time']
['lebettega', 202558033, 'impression', '2', 240833491L, datetime.datetime(2013, 5, 21, 0, 14, 34), 0.112720527913963, False, 'time']
