['ijcarvell', 202541803, 'impression', '6', 240475610L, datetime.datetime(2013, 5, 16, 7, 31, 6), 0.042191582891724, False, 'best']
['ijcarvell', 202541803, 'impression', '2', 240470344L, datetime.datetime(2013, 5, 16, 7, 31, 6), 0.129870743946405, False, 'best']
['ijcarvell', 202541803, 'impression', '10', 240490445L, datetime.datetime(2013, 5, 16, 7, 31, 6), 0.148054725699452, False, 'best']
['ijcarvell', 202541803, 'impression', '8', 240480715L, datetime.datetime(2013, 5, 16, 7, 31, 6), 0.0939173538194091, False, 'best']
['ijcarvell', 202541803, 'impression', '9', 240488520L, datetime.datetime(2013, 5, 16, 7, 31, 6), 0.155738592405732, False, 'best']

['ijcarvell', 202541803, 'impression', '6', 240476310L, datetime.datetime(2013, 5, 16, 15, 2, 33), 0.115057010385445, False, 'best']
['ijcarvell', 202541803, 'impression', '3', 240472409L, datetime.datetime(2013, 5, 16, 15, 2, 33), 0.169248839592609, False, 'best']
['ijcarvell', 202541803, 'impression', '2', 240470344L, datetime.datetime(2013, 5, 16, 15, 2, 33), 0.129870743946405, False, 'best']
['ijcarvell', 202541803, 'impression', '9', 240490445L, datetime.datetime(2013, 5, 16, 15, 2, 33), 0.148054725699452, False, 'best']
['ijcarvell', 202541803, 'impression', '8', 240488520L, datetime.datetime(2013, 5, 16, 15, 2, 33), 0.155738592405732, False, 'best']
['ijcarvell', 202541803, 'impression', '7', 240480715L, datetime.datetime(2013, 5, 16, 15, 2, 33), 0.0939173538194091, False, 'best']
['ijcarvell', 202541803, 'impression', '1', 240469868L, datetime.datetime(2013, 5, 16, 15, 2, 33), 0.157524171977235, False, 'best']
['ijcarvell', 202541803, 'impression', '4', 240473992L, datetime.datetime(2013, 5, 16, 15, 2, 33), 0.0784789328027307, False, 'best']
['ijcarvell', 202541803, 'impression', '5', 240475610L, datetime.datetime(2013, 5, 16, 15, 2, 33), 0.042191582891724, False, 'best']

['ijcarvell', 202541803, 'impression', '4', 240476310L, datetime.datetime(2013, 5, 16, 20, 36, 11), 0.115057010385445, False, 'best']
['ijcarvell', 202541803, 'impression', '1', 240472409L, datetime.datetime(2013, 5, 16, 20, 36, 11), 0.169248839592609, False, 'best']
['ijcarvell', 202541803, 'impression', '3', 240470344L, datetime.datetime(2013, 5, 16, 20, 36, 11), 0.129870743946405, False, 'best']
['ijcarvell', 202541803, 'impression', '6', 240475610L, datetime.datetime(2013, 5, 16, 20, 36, 11), 0.042191582891724, False, 'best']
['ijcarvell', 202541803, 'impression', '5', 240473992L, datetime.datetime(2013, 5, 16, 20, 36, 11), 0.0784789328027307, False, 'best']
['ijcarvell', 202541803, 'impression', '2', 240469868L, datetime.datetime(2013, 5, 16, 20, 36, 11), 0.157524171977235, False, 'best']
['ijcarvell', 202541803, 'impression', '8', 240488520L, datetime.datetime(2013, 5, 16, 20, 36, 11), 0.155738592405732, False, 'best']
['ijcarvell', 202541803, 'impression', '7', 240480715L, datetime.datetime(2013, 5, 16, 20, 36, 11), 0.0939173538194091, False, 'best']
['ijcarvell', 202541803, 'impression', '9', 240490445L, datetime.datetime(2013, 5, 16, 20, 36, 11), 0.148054725699452, False, 'best']

['ijcarvell', 202541803, 'impression', '3', 240476310L, datetime.datetime(2013, 5, 21, 6, 48, 54), 0.115057010385445, False, 'best']
['ijcarvell', 202541803, 'impression', '1', 240472409L, datetime.datetime(2013, 5, 21, 6, 48, 54), 0.169248839592609, False, 'best']
['ijcarvell', 202541803, 'impression', '4', 240475610L, datetime.datetime(2013, 5, 21, 6, 48, 54), 0.042191582891724, False, 'best']
['ijcarvell', 202541803, 'impression', '2', 240488520L, datetime.datetime(2013, 5, 21, 6, 48, 54), 0.155738592405732, False, 'best']

