['topsport', 202573052, 'impression', '7', 241150456L, datetime.datetime(2013, 5, 24, 6, 21, 12), 0.165566966903052, False, 'best']
['topsport', 202573052, 'expand_tile', '7', 241150456L, datetime.datetime(2013, 5, 24, 6, 21, 16), 0.165566966903052, False, 'best']
['topsport', 202573052, 'expand_tile', '7', 241150456L, datetime.datetime(2013, 5, 24, 6, 21, 37), 0.165566966903052, False, 'best']
['topsport', 202573052, 'shortlist', '7', 241150456L, datetime.datetime(2013, 5, 24, 6, 21, 37), 0.165566966903052, False, 'best']
['topsport', 202573052, 'impression', '8', 241114142L, datetime.datetime(2013, 5, 24, 6, 21, 41), 0.146132881999989, False, 'best']
['topsport', 202573052, 'expand_tile', '8', 241114142L, datetime.datetime(2013, 5, 24, 6, 21, 47), 0.146132881999989, False, 'best']
['topsport', 202573052, 'impression', '8', 241114142L, datetime.datetime(2013, 5, 24, 6, 21, 55), 0.146132881999989, False, 'best']
['topsport', 202573052, 'impression', '8', 241114142L, datetime.datetime(2013, 5, 24, 6, 21, 55), 0.146132881999989, False, 'best']
['topsport', 202573052, 'expand_tile', '8', 241114142L, datetime.datetime(2013, 5, 24, 6, 21, 56), 0.146132881999989, False, 'best']
['topsport', 202573052, 'impression', '9', 241137384L, datetime.datetime(2013, 5, 24, 6, 21, 56), 0.0996150891946835, False, 'best']
['topsport', 202573052, 'expand_tile', '9', 241137384L, datetime.datetime(2013, 5, 24, 6, 21, 58), 0.0996150891946835, False, 'best']
['topsport', 202573052, 'expand_tile', '9', 241137384L, datetime.datetime(2013, 5, 24, 6, 22, 17), 0.0996150891946835, False, 'best']
['topsport', 202573052, 'collapse_tile', '9', 241137384L, datetime.datetime(2013, 5, 24, 6, 22, 17), 0.0996150891946835, False, 'best']
['topsport', 202573052, 'impression', '7', 241150456L, datetime.datetime(2013, 5, 24, 6, 22, 20), 0.165566966903052, False, 'best']
['topsport', 202573052, 'impression', None, 241150456L, datetime.datetime(2013, 5, 24, 6, 22, 20), 0.165566966903052, False, 'best']
['topsport', 202573052, 'impression', '9', 241137384L, datetime.datetime(2013, 5, 24, 6, 23, 16), 0.0996150891946835, False, 'best']
['topsport', 202573052, 'shortlist', '9', 241137384L, datetime.datetime(2013, 5, 24, 6, 23, 17), 0.0996150891946835, False, 'best']
['topsport', 202573052, 'expand_tile', '9', 241137384L, datetime.datetime(2013, 5, 24, 6, 23, 17), 0.0996150891946835, False, 'best']
['topsport', 202573052, 'impression', None, 241123069L, datetime.datetime(2013, 5, 24, 6, 29, 54), 0.307733497253037, False, 'best']
['topsport', 202573052, 'impression', '1', 241123069L, datetime.datetime(2013, 5, 24, 6, 29, 54), 0.307733497253037, False, 'best']
['topsport', 202573052, 'impression', '10', 241115455L, datetime.datetime(2013, 5, 24, 6, 29, 59), 0.0271659589906317, False, 'best']
['topsport', 202573052, 'impression', '2', 241111311L, datetime.datetime(2013, 5, 24, 6, 34, 12), 0.252662857148147, False, 'best']
['topsport', 202573052, 'impression', '6', 241115455L, datetime.datetime(2013, 5, 24, 6, 34, 12), 0.0271659589906317, False, 'best']
['topsport', 202573052, 'impression', '4', 241150456L, datetime.datetime(2013, 5, 24, 6, 34, 12), 0.165566966903052, False, 'best']
['topsport', 202573052, 'impression', '5', 241137384L, datetime.datetime(2013, 5, 24, 6, 34, 12), 0.0996150891946835, False, 'best']
['topsport', 202573052, 'impression', '1', 241123069L, datetime.datetime(2013, 5, 24, 6, 34, 12), 0.307733497253037, False, 'best']
['topsport', 202573052, 'impression', '3', 241132911L, datetime.datetime(2013, 5, 24, 6, 34, 12), 0.198505874931873, False, 'best']
['topsport', 202573052, 'view_full_application_via_name', '2', 241111311L, datetime.datetime(2013, 5, 24, 6, 34, 38), 0.252662857148147, False, 'best']

['topsport', 202573052, 'impression', '3', 241132911L, datetime.datetime(2013, 5, 24, 10, 35, 38), 0.198505874931873, False, 'best']
['topsport', 202573052, 'impression', '4', 241150456L, datetime.datetime(2013, 5, 24, 10, 35, 38), 0.165566966903052, False, 'best']
['topsport', 202573052, 'impression', '5', 241137384L, datetime.datetime(2013, 5, 24, 10, 35, 38), 0.0996150891946835, False, 'best']
['topsport', 202573052, 'impression', '1', 241123069L, datetime.datetime(2013, 5, 24, 10, 35, 38), 0.307733497253037, False, 'best']
['topsport', 202573052, 'impression', '2', 241111311L, datetime.datetime(2013, 5, 24, 10, 35, 38), 0.252662857148147, False, 'best']
['topsport', 202573052, 'impression', '6', 241115455L, datetime.datetime(2013, 5, 24, 10, 35, 38), 0.0271659589906317, False, 'best']
['topsport', 202573052, 'impression', '2', 241111311L, datetime.datetime(2013, 5, 24, 10, 35, 39), 0.252662857148147, False, 'best']

['topsport', 202573052, 'impression', '1', 241123069L, datetime.datetime(2013, 5, 24, 12, 8, 10), 0.307733497253037, False, 'best']
['topsport', 202573052, 'impression', '4', 241150456L, datetime.datetime(2013, 5, 24, 12, 8, 10), 0.165566966903052, False, 'best']
['topsport', 202573052, 'impression', '3', 241132911L, datetime.datetime(2013, 5, 24, 12, 8, 10), 0.198505874931873, False, 'best']
['topsport', 202573052, 'impression', '2', 241111311L, datetime.datetime(2013, 5, 24, 12, 8, 10), 0.252662857148147, False, 'best']
['topsport', 202573052, 'impression', '6', 241115455L, datetime.datetime(2013, 5, 24, 12, 8, 10), 0.0271659589906317, False, 'best']
['topsport', 202573052, 'impression', '5', 241137384L, datetime.datetime(2013, 5, 24, 12, 8, 10), 0.0996150891946835, False, 'best']

['topsport', 202573052, 'impression', '3', 241132911L, datetime.datetime(2013, 5, 24, 14, 3, 36), 0.198505874931873, False, 'best']
['topsport', 202573052, 'impression', '5', 241137384L, datetime.datetime(2013, 5, 24, 14, 3, 36), 0.0996150891946835, False, 'best']
['topsport', 202573052, 'impression', '1', 241123069L, datetime.datetime(2013, 5, 24, 14, 3, 36), 0.307733497253037, False, 'best']
['topsport', 202573052, 'impression', '4', 241150456L, datetime.datetime(2013, 5, 24, 14, 3, 36), 0.165566966903052, False, 'best']
['topsport', 202573052, 'impression', '2', 241111311L, datetime.datetime(2013, 5, 24, 14, 3, 36), 0.252662857148147, False, 'best']
['topsport', 202573052, 'impression', '6', 241115455L, datetime.datetime(2013, 5, 24, 14, 3, 36), 0.0271659589906317, False, 'best']
['topsport', 202573052, 'impression', '4', 241150456L, datetime.datetime(2013, 5, 24, 14, 3, 43), 0.165566966903052, False, 'best']

['topsport', 202573052, 'impression', '1', 241123069L, datetime.datetime(2013, 5, 27, 8, 33, 52), 0.307733497253037, False, 'best']
['topsport', 202573052, 'impression', '5', 241282229L, datetime.datetime(2013, 5, 27, 8, 33, 52), 0.19311048010285, False, 'best']
['topsport', 202573052, 'impression', '6', 241150456L, datetime.datetime(2013, 5, 27, 8, 33, 52), 0.165566966903052, False, 'best']
['topsport', 202573052, 'impression', '4', 241132911L, datetime.datetime(2013, 5, 27, 8, 33, 52), 0.198505874931873, False, 'best']
['topsport', 202573052, 'impression', '7', 241137384L, datetime.datetime(2013, 5, 27, 8, 33, 52), 0.0996150891946835, False, 'best']
['topsport', 202573052, 'impression', '8', 241115455L, datetime.datetime(2013, 5, 27, 8, 33, 52), 0.0271659589906317, False, 'best']
['topsport', 202573052, 'impression', '3', 241208985L, datetime.datetime(2013, 5, 27, 8, 33, 52), 0.239366831884978, False, 'best']
['topsport', 202573052, 'impression', '2', 241111311L, datetime.datetime(2013, 5, 27, 8, 33, 52), 0.252662857148147, False, 'best']
['topsport', 202573052, 'expand_tile', '3', 241208985L, datetime.datetime(2013, 5, 27, 8, 34, 12), 0.239366831884978, False, 'best']
['topsport', 202573052, 'view_full_application', '3', 241208985L, datetime.datetime(2013, 5, 27, 8, 34, 37), 0.239366831884978, False, 'best']
['topsport', 202573052, 'impression', '2', 241111311L, datetime.datetime(2013, 5, 27, 8, 35, 14), 0.252662857148147, False, 'best']
['topsport', 202573052, 'impression', '7', 241115455L, datetime.datetime(2013, 5, 27, 8, 35, 14), 0.0271659589906317, False, 'best']
['topsport', 202573052, 'impression', '1', 241123069L, datetime.datetime(2013, 5, 27, 8, 35, 14), 0.307733497253037, False, 'best']
['topsport', 202573052, 'impression', '4', 241282229L, datetime.datetime(2013, 5, 27, 8, 35, 14), 0.19311048010285, False, 'best']
['topsport', 202573052, 'impression', '5', 241150456L, datetime.datetime(2013, 5, 27, 8, 35, 14), 0.165566966903052, False, 'best']
['topsport', 202573052, 'impression', '3', 241132911L, datetime.datetime(2013, 5, 27, 8, 35, 14), 0.198505874931873, False, 'best']
['topsport', 202573052, 'impression', '6', 241137384L, datetime.datetime(2013, 5, 27, 8, 35, 14), 0.0996150891946835, False, 'best']
['topsport', 202573052, 'view_full_application_via_name', '4', 241282229L, datetime.datetime(2013, 5, 27, 8, 35, 21), 0.19311048010285, False, 'best']
['topsport', 202573052, 'impression', '5', 241137384L, datetime.datetime(2013, 5, 27, 8, 36, 28), 0.0996150891946835, False, 'best']
['topsport', 202573052, 'impression', '6', 241115455L, datetime.datetime(2013, 5, 27, 8, 36, 28), 0.0271659589906317, False, 'best']
['topsport', 202573052, 'impression', '2', 241111311L, datetime.datetime(2013, 5, 27, 8, 36, 28), 0.252662857148147, False, 'best']
['topsport', 202573052, 'impression', '4', 241150456L, datetime.datetime(2013, 5, 27, 8, 36, 28), 0.165566966903052, False, 'best']
['topsport', 202573052, 'impression', '1', 241123069L, datetime.datetime(2013, 5, 27, 8, 36, 28), 0.307733497253037, False, 'best']
['topsport', 202573052, 'impression', '3', 241132911L, datetime.datetime(2013, 5, 27, 8, 36, 28), 0.198505874931873, False, 'best']

