['akcan_marco', 202576497, 'impression', '18', 241185069L, datetime.datetime(2013, 5, 24, 11, 26, 58), 0.00785198953198183, False, 'time']
['akcan_marco', 202576497, 'impression', '20', 241183770L, datetime.datetime(2013, 5, 24, 11, 26, 58), 0.0568835779056755, False, 'time']
['akcan_marco', 202576497, 'impression', '17', 241185470L, datetime.datetime(2013, 5, 24, 11, 26, 58), 0.10426397577631, False, 'time']
['akcan_marco', 202576497, 'impression', '16', 241185867L, datetime.datetime(2013, 5, 24, 11, 26, 58), 0.0321981882159923, False, 'time']
['akcan_marco', 202576497, 'impression', '4', 241188096L, datetime.datetime(2013, 5, 24, 11, 26, 58), 0.103219131626331, False, 'time']
['akcan_marco', 202576497, 'impression', '12', 241186847L, datetime.datetime(2013, 5, 24, 11, 26, 58), 0.0940247701823261, False, 'time']
['akcan_marco', 202576497, 'impression', '13', 241186730L, datetime.datetime(2013, 5, 24, 11, 26, 58), 0.0343668008366018, False, 'time']
['akcan_marco', 202576497, 'impression', '11', 241187031L, datetime.datetime(2013, 5, 24, 11, 26, 58), 0.0840140085852754, False, 'time']
['akcan_marco', 202576497, 'impression', '6', 241187458L, datetime.datetime(2013, 5, 24, 11, 26, 58), 0.112582789493311, False, 'time']
['akcan_marco', 202576497, 'impression', '15', 241186609L, datetime.datetime(2013, 5, 24, 11, 26, 58), 0.0029902508448502, False, 'time']
['akcan_marco', 202576497, 'impression', '3', 241188518L, datetime.datetime(2013, 5, 24, 11, 26, 58), 0.0496459821557153, False, 'time']
['akcan_marco', 202576497, 'impression', '19', 241184014L, datetime.datetime(2013, 5, 24, 11, 26, 58), 0.0457262308621299, False, 'time']
['akcan_marco', 202576497, 'impression', '7', 241187387L, datetime.datetime(2013, 5, 24, 11, 26, 58), 0.0579615230116316, False, 'time']
['akcan_marco', 202576497, 'impression', '14', 241186636L, datetime.datetime(2013, 5, 24, 11, 26, 58), 0.14559223122504, False, 'time']
['akcan_marco', 202576497, 'impression', '5', 241187692L, datetime.datetime(2013, 5, 24, 11, 26, 58), 0.0602793783887074, False, 'time']
['akcan_marco', 202576497, 'expand_tile', '1', 241188994L, datetime.datetime(2013, 5, 24, 11, 27), 0.0118743949383499, False, 'time']
['akcan_marco', 202576497, 'impression', '1', 241188994L, datetime.datetime(2013, 5, 24, 11, 27, 7), 0.0118743949383499, False, 'time']
['akcan_marco', 202576497, 'expand_tile', '1', 241188994L, datetime.datetime(2013, 5, 24, 11, 27, 10), 0.0118743949383499, False, 'time']
['akcan_marco', 202576497, 'expand_tile', '3', 241188518L, datetime.datetime(2013, 5, 24, 11, 27, 12), 0.0496459821557153, False, 'time']
['akcan_marco', 202576497, 'view_full_application', '3', 241188518L, datetime.datetime(2013, 5, 24, 11, 27, 43), 0.0496459821557153, False, 'time']
['akcan_marco', 202576497, 'impression', '4', 241187692L, datetime.datetime(2013, 5, 24, 11, 32, 20), 0.0602793783887074, False, 'time']
['akcan_marco', 202576497, 'impression', '19', 241183770L, datetime.datetime(2013, 5, 24, 11, 32, 20), 0.0568835779056755, False, 'time']
['akcan_marco', 202576497, 'impression', '7', 241187160L, datetime.datetime(2013, 5, 24, 11, 32, 20), 0.0576310265381525, False, 'time']
['akcan_marco', 202576497, 'impression', '8', 241187104L, datetime.datetime(2013, 5, 24, 11, 32, 20), 0.0644498774443375, False, 'time']
['akcan_marco', 202576497, 'impression', '9', 241187072L, datetime.datetime(2013, 5, 24, 11, 32, 20), 0.0549396385313369, False, 'time']
['akcan_marco', 202576497, 'impression', '1', 241188694L, datetime.datetime(2013, 5, 24, 11, 32, 20), 0.051404576767918, False, 'time']
['akcan_marco', 202576497, 'impression', '16', 241185470L, datetime.datetime(2013, 5, 24, 11, 32, 20), 0.10426397577631, False, 'time']
['akcan_marco', 202576497, 'impression', '2', 241188518L, datetime.datetime(2013, 5, 24, 11, 32, 20), 0.0496459821557153, False, 'time']
['akcan_marco', 202576497, 'impression', '5', 241187458L, datetime.datetime(2013, 5, 24, 11, 32, 20), 0.112582789493311, False, 'time']
['akcan_marco', 202576497, 'impression', '20', 241183362L, datetime.datetime(2013, 5, 24, 11, 32, 20), 0.0246150447415061, False, 'time']
['akcan_marco', 202576497, 'impression', '14', 241186609L, datetime.datetime(2013, 5, 24, 11, 32, 20), 0.0029902508448502, False, 'time']
['akcan_marco', 202576497, 'impression', '17', 241185069L, datetime.datetime(2013, 5, 24, 11, 32, 20), 0.00785198953198183, False, 'time']
['akcan_marco', 202576497, 'impression', '6', 241187387L, datetime.datetime(2013, 5, 24, 11, 32, 20), 0.0579615230116316, False, 'time']
['akcan_marco', 202576497, 'impression', '18', 241184014L, datetime.datetime(2013, 5, 24, 11, 32, 20), 0.0457262308621299, False, 'time']
['akcan_marco', 202576497, 'impression', '13', 241186636L, datetime.datetime(2013, 5, 24, 11, 32, 20), 0.14559223122504, False, 'time']
['akcan_marco', 202576497, 'impression', '3', 241188096L, datetime.datetime(2013, 5, 24, 11, 32, 20), 0.103219131626331, False, 'time']
['akcan_marco', 202576497, 'impression', '10', 241187031L, datetime.datetime(2013, 5, 24, 11, 32, 20), 0.0840140085852754, False, 'time']
['akcan_marco', 202576497, 'impression', '11', 241186847L, datetime.datetime(2013, 5, 24, 11, 32, 20), 0.0940247701823261, False, 'time']
['akcan_marco', 202576497, 'impression', '12', 241186730L, datetime.datetime(2013, 5, 24, 11, 32, 20), 0.0343668008366018, False, 'time']
['akcan_marco', 202576497, 'impression', '15', 241185867L, datetime.datetime(2013, 5, 24, 11, 32, 20), 0.0321981882159923, False, 'time']
['akcan_marco', 202576497, 'expand_tile', '3', 241188096L, datetime.datetime(2013, 5, 24, 11, 32, 24), 0.103219131626331, False, 'time']
['akcan_marco', 202576497, 'view_full_application', '3', 241188096L, datetime.datetime(2013, 5, 24, 11, 32, 40), 0.103219131626331, False, 'time']
['akcan_marco', 202576497, 'impression', '13', 241186636L, datetime.datetime(2013, 5, 24, 11, 33, 21), 0.14559223122504, False, 'time']
['akcan_marco', 202576497, 'impression', '18', 241184014L, datetime.datetime(2013, 5, 24, 11, 33, 21), 0.0457262308621299, False, 'time']
['akcan_marco', 202576497, 'impression', '6', 241187387L, datetime.datetime(2013, 5, 24, 11, 33, 21), 0.0579615230116316, False, 'time']
['akcan_marco', 202576497, 'impression', '16', 241185470L, datetime.datetime(2013, 5, 24, 11, 33, 21), 0.10426397577631, False, 'time']
['akcan_marco', 202576497, 'impression', '4', 241187692L, datetime.datetime(2013, 5, 24, 11, 33, 21), 0.0602793783887074, False, 'time']
['akcan_marco', 202576497, 'impression', '19', 241183770L, datetime.datetime(2013, 5, 24, 11, 33, 21), 0.0568835779056755, False, 'time']
['akcan_marco', 202576497, 'impression', '17', 241185069L, datetime.datetime(2013, 5, 24, 11, 33, 21), 0.00785198953198183, False, 'time']
['akcan_marco', 202576497, 'impression', '9', 241187072L, datetime.datetime(2013, 5, 24, 11, 33, 21), 0.0549396385313369, False, 'time']
['akcan_marco', 202576497, 'impression', '7', 241187160L, datetime.datetime(2013, 5, 24, 11, 33, 21), 0.0576310265381525, False, 'time']
['akcan_marco', 202576497, 'impression', '1', 241188694L, datetime.datetime(2013, 5, 24, 11, 33, 21), 0.051404576767918, False, 'time']
['akcan_marco', 202576497, 'impression', '8', 241187104L, datetime.datetime(2013, 5, 24, 11, 33, 21), 0.0644498774443375, False, 'time']
['akcan_marco', 202576497, 'impression', '12', 241186730L, datetime.datetime(2013, 5, 24, 11, 33, 21), 0.0343668008366018, False, 'time']
['akcan_marco', 202576497, 'impression', '10', 241187031L, datetime.datetime(2013, 5, 24, 11, 33, 21), 0.0840140085852754, False, 'time']
['akcan_marco', 202576497, 'impression', '11', 241186847L, datetime.datetime(2013, 5, 24, 11, 33, 21), 0.0940247701823261, False, 'time']
['akcan_marco', 202576497, 'impression', '3', 241188096L, datetime.datetime(2013, 5, 24, 11, 33, 21), 0.103219131626331, False, 'time']
['akcan_marco', 202576497, 'impression', '15', 241185867L, datetime.datetime(2013, 5, 24, 11, 33, 21), 0.0321981882159923, False, 'time']
['akcan_marco', 202576497, 'impression', '2', 241188518L, datetime.datetime(2013, 5, 24, 11, 33, 21), 0.0496459821557153, False, 'time']
['akcan_marco', 202576497, 'impression', '14', 241186609L, datetime.datetime(2013, 5, 24, 11, 33, 21), 0.0029902508448502, False, 'time']
['akcan_marco', 202576497, 'impression', '20', 241183362L, datetime.datetime(2013, 5, 24, 11, 33, 21), 0.0246150447415061, False, 'time']
['akcan_marco', 202576497, 'impression', '5', 241187458L, datetime.datetime(2013, 5, 24, 11, 33, 21), 0.112582789493311, False, 'time']
['akcan_marco', 202576497, 'expand_tile', '4', 241187692L, datetime.datetime(2013, 5, 24, 11, 33, 23), 0.0602793783887074, False, 'time']
['akcan_marco', 202576497, 'expand_tile', '5', 241187458L, datetime.datetime(2013, 5, 24, 11, 33, 37), 0.112582789493311, False, 'time']
['akcan_marco', 202576497, 'impression', '5', 241187458L, datetime.datetime(2013, 5, 24, 11, 33, 44), 0.112582789493311, False, 'time']
['akcan_marco', 202576497, 'expand_tile', '5', 241187458L, datetime.datetime(2013, 5, 24, 11, 33, 46), 0.112582789493311, False, 'time']
['akcan_marco', 202576497, 'expand_tile', '6', 241187387L, datetime.datetime(2013, 5, 24, 11, 33, 48), 0.0579615230116316, False, 'time']
['akcan_marco', 202576497, 'impression', '6', 241187387L, datetime.datetime(2013, 5, 24, 11, 34, 5), 0.0579615230116316, False, 'time']
['akcan_marco', 202576497, 'expand_tile', '6', 241187387L, datetime.datetime(2013, 5, 24, 11, 34, 7), 0.0579615230116316, False, 'time']
['akcan_marco', 202576497, 'expand_tile', '8', 241187104L, datetime.datetime(2013, 5, 24, 11, 34, 9), 0.0644498774443375, False, 'time']
['akcan_marco', 202576497, 'impression', '8', 241187104L, datetime.datetime(2013, 5, 24, 11, 34, 21), 0.0644498774443375, False, 'time']
['akcan_marco', 202576497, 'collapse_tile', '8', 241187104L, datetime.datetime(2013, 5, 24, 11, 34, 23), 0.0644498774443375, False, 'time']
['akcan_marco', 202576497, 'expand_tile', '8', 241187104L, datetime.datetime(2013, 5, 24, 11, 34, 25), 0.0644498774443375, False, 'time']
['akcan_marco', 202576497, 'collapse_tile', '8', 241187104L, datetime.datetime(2013, 5, 24, 11, 34, 32), 0.0644498774443375, False, 'time']
['akcan_marco', 202576497, 'expand_tile', '8', 241187104L, datetime.datetime(2013, 5, 24, 11, 34, 35), 0.0644498774443375, False, 'time']
['akcan_marco', 202576497, 'send_message', '8', 241187104L, datetime.datetime(2013, 5, 24, 11, 34, 38), 0.0644498774443375, False, 'time']
['akcan_marco', 202576497, 'expand_tile', '8', 241187104L, datetime.datetime(2013, 5, 24, 11, 34, 42), 0.0644498774443375, False, 'time']
['akcan_marco', 202576497, 'impression', '8', 241187104L, datetime.datetime(2013, 5, 24, 11, 34, 46), 0.0644498774443375, False, 'time']
['akcan_marco', 202576497, 'impression', None, 241187104L, datetime.datetime(2013, 5, 24, 11, 34, 46), 0.0644498774443375, False, 'time']
['akcan_marco', 202576497, 'expand_tile', '11', 241186847L, datetime.datetime(2013, 5, 24, 11, 34, 52), 0.0940247701823261, False, 'time']
['akcan_marco', 202576497, 'view_full_application', '11', 241186847L, datetime.datetime(2013, 5, 24, 11, 36, 25), 0.0940247701823261, False, 'time']
['akcan_marco', 202576497, 'view_full_application', '11', 241186847L, datetime.datetime(2013, 5, 24, 11, 36, 31), 0.0940247701823261, False, 'time']
['akcan_marco', 202576497, 'impression', '4', 241187692L, datetime.datetime(2013, 5, 24, 11, 37, 5), 0.0602793783887074, False, 'time']
['akcan_marco', 202576497, 'impression', '19', 241183125L, datetime.datetime(2013, 5, 24, 11, 37, 5), 0.0454672435382245, False, 'time']
['akcan_marco', 202576497, 'impression', '14', 241185069L, datetime.datetime(2013, 5, 24, 11, 37, 5), 0.00785198953198183, False, 'time']
['akcan_marco', 202576497, 'impression', '17', 241183362L, datetime.datetime(2013, 5, 24, 11, 37, 5), 0.0246150447415061, False, 'time']
['akcan_marco', 202576497, 'impression', '18', 241183346L, datetime.datetime(2013, 5, 24, 11, 37, 5), 0.0451012195197539, False, 'time']
['akcan_marco', 202576497, 'impression', '11', 241186609L, datetime.datetime(2013, 5, 24, 11, 37, 5), 0.0029902508448502, False, 'time']
['akcan_marco', 202576497, 'impression', '2', 241188518L, datetime.datetime(2013, 5, 24, 11, 37, 5), 0.0496459821557153, False, 'time']
['akcan_marco', 202576497, 'impression', '13', 241185470L, datetime.datetime(2013, 5, 24, 11, 37, 5), 0.10426397577631, False, 'time']
['akcan_marco', 202576497, 'impression', '15', 241184014L, datetime.datetime(2013, 5, 24, 11, 37, 5), 0.0457262308621299, False, 'time']
['akcan_marco', 202576497, 'impression', '10', 241186636L, datetime.datetime(2013, 5, 24, 11, 37, 5), 0.14559223122504, False, 'time']
['akcan_marco', 202576497, 'impression', '20', 241182978L, datetime.datetime(2013, 5, 24, 11, 37, 5), 0.0760224184317806, False, 'time']
['akcan_marco', 202576497, 'impression', '12', 241185867L, datetime.datetime(2013, 5, 24, 11, 37, 5), 0.0321981882159923, False, 'time']
['akcan_marco', 202576497, 'impression', '7', 241187031L, datetime.datetime(2013, 5, 24, 11, 37, 5), 0.0840140085852754, False, 'time']
['akcan_marco', 202576497, 'impression', '8', 241186847L, datetime.datetime(2013, 5, 24, 11, 37, 5), 0.0940247701823261, False, 'time']
['akcan_marco', 202576497, 'impression', '9', 241186730L, datetime.datetime(2013, 5, 24, 11, 37, 5), 0.0343668008366018, False, 'time']
