['andy-tripathi', 202589385, 'expand_tile', '2', 241477695L, datetime.datetime(2013, 5, 28, 11, 35, 59), 0.136671709556063, False, 'time']
['andy-tripathi', 202589385, 'view_full_application', '2', 241477695L, datetime.datetime(2013, 5, 28, 11, 36), 0.136671709556063, False, 'time']
['andy-tripathi', 202589385, 'impression', '6', 241476389L, datetime.datetime(2013, 5, 28, 11, 36, 18), 0.0981106907375495, False, 'time']
['andy-tripathi', 202589385, 'impression', '5', 241477079L, datetime.datetime(2013, 5, 28, 11, 36, 18), 0.178291398211395, True, 'time']
['andy-tripathi', 202589385, 'impression', '1', 241479600L, datetime.datetime(2013, 5, 28, 11, 36, 18), 0.0682765639614502, False, 'time']
['andy-tripathi', 202589385, 'impression', '2', 241477695L, datetime.datetime(2013, 5, 28, 11, 36, 18), 0.136671709556063, False, 'time']
['andy-tripathi', 202589385, 'impression', '3', 241477522L, datetime.datetime(2013, 5, 28, 11, 36, 18), 0.0895832997351467, False, 'time']
['andy-tripathi', 202589385, 'impression', '4', 241477258L, datetime.datetime(2013, 5, 28, 11, 36, 18), 0.128825766389601, False, 'time']
['andy-tripathi', 202589385, 'expand_tile', '3', 241477522L, datetime.datetime(2013, 5, 28, 11, 36, 31), 0.0895832997351467, False, 'time']
['andy-tripathi', 202589385, 'view_full_application', '3', 241477522L, datetime.datetime(2013, 5, 28, 11, 36, 35), 0.0895832997351467, False, 'time']
['andy-tripathi', 202589385, 'impression', '2', 241477695L, datetime.datetime(2013, 5, 28, 11, 36, 46), 0.136671709556063, False, 'time']
['andy-tripathi', 202589385, 'impression', '3', 241477522L, datetime.datetime(2013, 5, 28, 11, 36, 46), 0.0895832997351467, False, 'time']
['andy-tripathi', 202589385, 'impression', '6', 241476389L, datetime.datetime(2013, 5, 28, 11, 36, 46), 0.0981106907375495, False, 'time']
['andy-tripathi', 202589385, 'impression', '5', 241477079L, datetime.datetime(2013, 5, 28, 11, 36, 46), 0.178291398211395, True, 'time']
['andy-tripathi', 202589385, 'impression', '1', 241479600L, datetime.datetime(2013, 5, 28, 11, 36, 46), 0.0682765639614502, False, 'time']
['andy-tripathi', 202589385, 'impression', '4', 241477258L, datetime.datetime(2013, 5, 28, 11, 36, 46), 0.128825766389601, False, 'time']
['andy-tripathi', 202589385, 'view_full_application_via_message', '5', 241477079L, datetime.datetime(2013, 5, 28, 11, 36, 52), 0.178291398211395, True, 'time']
['andy-tripathi', 202589385, 'impression', '1', 241479600L, datetime.datetime(2013, 5, 28, 11, 39, 27), 0.0682765639614502, False, 'time']
['andy-tripathi', 202589385, 'impression', '6', 241476389L, datetime.datetime(2013, 5, 28, 11, 39, 27), 0.0981106907375495, False, 'time']
['andy-tripathi', 202589385, 'impression', '5', 241477079L, datetime.datetime(2013, 5, 28, 11, 39, 27), 0.178291398211395, True, 'time']
['andy-tripathi', 202589385, 'impression', '2', 241477695L, datetime.datetime(2013, 5, 28, 11, 39, 27), 0.136671709556063, False, 'time']
['andy-tripathi', 202589385, 'impression', '3', 241477522L, datetime.datetime(2013, 5, 28, 11, 39, 27), 0.0895832997351467, False, 'time']
['andy-tripathi', 202589385, 'impression', '4', 241477258L, datetime.datetime(2013, 5, 28, 11, 39, 27), 0.128825766389601, False, 'time']
['andy-tripathi', 202589385, 'view_full_application_via_message', '5', 241477079L, datetime.datetime(2013, 5, 28, 11, 39, 42), 0.178291398211395, True, 'time']
['andy-tripathi', 202589385, 'impression', '4', 241479600L, datetime.datetime(2013, 5, 28, 12, 7, 26), 0.0682765639614502, False, 'time']
['andy-tripathi', 202589385, 'impression', '8', 241476389L, datetime.datetime(2013, 5, 28, 12, 7, 26), 0.0981106907375495, False, 'time']
['andy-tripathi', 202589385, 'impression', '5', 241477695L, datetime.datetime(2013, 5, 28, 12, 7, 26), 0.136671709556063, False, 'time']
['andy-tripathi', 202589385, 'impression', '6', 241477522L, datetime.datetime(2013, 5, 28, 12, 7, 26), 0.0895832997351467, False, 'time']
['andy-tripathi', 202589385, 'impression', '3', 241482052L, datetime.datetime(2013, 5, 28, 12, 7, 26), 0.0568939114686199, False, 'time']
['andy-tripathi', 202589385, 'impression', '1', 241482122L, datetime.datetime(2013, 5, 28, 12, 7, 26), 0.147773139510035, False, 'time']
['andy-tripathi', 202589385, 'impression', '2', 241482064L, datetime.datetime(2013, 5, 28, 12, 7, 26), 0.119860423124677, False, 'time']
['andy-tripathi', 202589385, 'impression', '7', 241477258L, datetime.datetime(2013, 5, 28, 12, 7, 26), 0.128825766389601, False, 'time']
['andy-tripathi', 202589385, 'impression', '8', 241476389L, datetime.datetime(2013, 5, 28, 12, 7, 53), 0.0981106907375495, False, 'time']
['andy-tripathi', 202589385, 'impression', '4', 241479600L, datetime.datetime(2013, 5, 28, 12, 7, 53), 0.0682765639614502, False, 'time']
['andy-tripathi', 202589385, 'impression', '7', 241477258L, datetime.datetime(2013, 5, 28, 12, 7, 53), 0.128825766389601, False, 'time']
['andy-tripathi', 202589385, 'impression', '2', 241482064L, datetime.datetime(2013, 5, 28, 12, 7, 53), 0.119860423124677, False, 'time']
['andy-tripathi', 202589385, 'impression', '1', 241482122L, datetime.datetime(2013, 5, 28, 12, 7, 53), 0.147773139510035, False, 'time']
['andy-tripathi', 202589385, 'impression', '5', 241477695L, datetime.datetime(2013, 5, 28, 12, 7, 53), 0.136671709556063, False, 'time']
['andy-tripathi', 202589385, 'impression', '6', 241477522L, datetime.datetime(2013, 5, 28, 12, 7, 53), 0.0895832997351467, False, 'time']
['andy-tripathi', 202589385, 'impression', '3', 241482052L, datetime.datetime(2013, 5, 28, 12, 7, 53), 0.0568939114686199, False, 'time']
['andy-tripathi', 202589385, 'expand_tile', '3', 241482052L, datetime.datetime(2013, 5, 28, 12, 8, 19), 0.0568939114686199, False, 'time']
['andy-tripathi', 202589385, 'expand_tile', '2', 241482064L, datetime.datetime(2013, 5, 28, 12, 8, 20), 0.119860423124677, False, 'time']
['andy-tripathi', 202589385, 'expand_tile', '1', 241482122L, datetime.datetime(2013, 5, 28, 12, 8, 21), 0.147773139510035, False, 'time']
['andy-tripathi', 202589385, 'impression', '4', 241479600L, datetime.datetime(2013, 5, 28, 12, 9, 2), 0.0682765639614502, False, 'time']
['andy-tripathi', 202589385, 'impression', '7', 241477258L, datetime.datetime(2013, 5, 28, 12, 9, 2), 0.128825766389601, False, 'time']
['andy-tripathi', 202589385, 'impression', '8', 241476389L, datetime.datetime(2013, 5, 28, 12, 9, 2), 0.0981106907375495, False, 'time']
['andy-tripathi', 202589385, 'impression', '5', 241477695L, datetime.datetime(2013, 5, 28, 12, 9, 2), 0.136671709556063, False, 'time']
['andy-tripathi', 202589385, 'impression', '3', 241482052L, datetime.datetime(2013, 5, 28, 12, 9, 2), 0.0568939114686199, False, 'time']
['andy-tripathi', 202589385, 'impression', '6', 241477522L, datetime.datetime(2013, 5, 28, 12, 9, 2), 0.0895832997351467, False, 'time']
['andy-tripathi', 202589385, 'impression', '1', 241482122L, datetime.datetime(2013, 5, 28, 12, 9, 2), 0.147773139510035, False, 'time']
['andy-tripathi', 202589385, 'impression', '2', 241482064L, datetime.datetime(2013, 5, 28, 12, 9, 2), 0.119860423124677, False, 'time']
['andy-tripathi', 202589385, 'impression', '1', 241482122L, datetime.datetime(2013, 5, 28, 12, 10, 56), 0.147773139510035, False, 'time']
['andy-tripathi', 202589385, 'impression', '4', 241479600L, datetime.datetime(2013, 5, 28, 12, 10, 56), 0.0682765639614502, False, 'time']
['andy-tripathi', 202589385, 'impression', '2', 241482064L, datetime.datetime(2013, 5, 28, 12, 10, 56), 0.119860423124677, False, 'time']
['andy-tripathi', 202589385, 'impression', '7', 241477258L, datetime.datetime(2013, 5, 28, 12, 10, 56), 0.128825766389601, False, 'time']
['andy-tripathi', 202589385, 'impression', '8', 241476389L, datetime.datetime(2013, 5, 28, 12, 10, 56), 0.0981106907375495, False, 'time']
['andy-tripathi', 202589385, 'impression', '6', 241477522L, datetime.datetime(2013, 5, 28, 12, 10, 56), 0.0895832997351467, False, 'time']
['andy-tripathi', 202589385, 'impression', '3', 241482052L, datetime.datetime(2013, 5, 28, 12, 10, 56), 0.0568939114686199, False, 'time']
