['rodrigoq', 202551723, 'impression', '8', 240667500L, datetime.datetime(2013, 5, 18, 20, 39, 15), 0.149985668352199, False, 'best']
['rodrigoq', 202551723, 'impression', '12', 240688145L, datetime.datetime(2013, 5, 18, 20, 39, 15), 0.137448968352363, False, 'best']
['rodrigoq', 202551723, 'impression', '2', 240664637L, datetime.datetime(2013, 5, 18, 20, 39, 15), 0.312277808905928, False, 'best']
['rodrigoq', 202551723, 'impression', '6', 240665323L, datetime.datetime(2013, 5, 18, 20, 39, 15), 0.162388811731319, False, 'best']
['rodrigoq', 202551723, 'impression', '15', 240698359L, datetime.datetime(2013, 5, 18, 20, 39, 15), 0.0966402388449521, False, 'best']
['rodrigoq', 202551723, 'impression', '1', 240716537L, datetime.datetime(2013, 5, 18, 20, 39, 15), 0.340089471493302, True, 'best']
['rodrigoq', 202551723, 'impression', '17', 240669802L, datetime.datetime(2013, 5, 18, 20, 39, 15), 0.0644462572224766, False, 'best']
['rodrigoq', 202551723, 'impression', '14', 240685644L, datetime.datetime(2013, 5, 18, 20, 39, 15), 0.0969472512391343, False, 'best']
['rodrigoq', 202551723, 'impression', '10', 240714369L, datetime.datetime(2013, 5, 18, 20, 39, 15), 0.139949895623604, False, 'best']
['rodrigoq', 202551723, 'impression', '7', 240663775L, datetime.datetime(2013, 5, 18, 20, 39, 28), 0.161022777513624, False, 'best']
['rodrigoq', 202551723, 'impression', '16', 240689347L, datetime.datetime(2013, 5, 18, 20, 39, 28), 0.0713825641194873, False, 'best']
['rodrigoq', 202551723, 'impression', '20', 240663781L, datetime.datetime(2013, 5, 18, 20, 39, 28), 0.0239384110572009, False, 'best']
['rodrigoq', 202551723, 'impression', '13', 240663773L, datetime.datetime(2013, 5, 18, 20, 39, 28), 0.107357341465114, False, 'best']
['rodrigoq', 202551723, 'impression', '8', 240667500L, datetime.datetime(2013, 5, 18, 20, 39, 28), 0.149985668352199, False, 'best']
['rodrigoq', 202551723, 'impression', '18', 240674993L, datetime.datetime(2013, 5, 18, 20, 39, 28), 0.0616292721547816, False, 'best']
['rodrigoq', 202551723, 'impression', '9', 240703585L, datetime.datetime(2013, 5, 18, 20, 39, 28), 0.144178838311325, False, 'best']
['rodrigoq', 202551723, 'impression', '5', 240685591L, datetime.datetime(2013, 5, 18, 20, 39, 28), 0.168442991487457, False, 'best']
['rodrigoq', 202551723, 'impression', '4', 240696299L, datetime.datetime(2013, 5, 18, 20, 39, 28), 0.192056086541729, False, 'best']
['rodrigoq', 202551723, 'impression', '11', 240708363L, datetime.datetime(2013, 5, 18, 20, 39, 28), 0.138013462090964, False, 'best']
['rodrigoq', 202551723, 'impression', '15', 240698359L, datetime.datetime(2013, 5, 18, 20, 39, 28), 0.0966402388449521, False, 'best']
['rodrigoq', 202551723, 'impression', '17', 240669802L, datetime.datetime(2013, 5, 18, 20, 39, 28), 0.0644462572224766, False, 'best']
['rodrigoq', 202551723, 'impression', '1', 240716537L, datetime.datetime(2013, 5, 18, 20, 39, 28), 0.340089471493302, True, 'best']
['rodrigoq', 202551723, 'impression', '10', 240714369L, datetime.datetime(2013, 5, 18, 20, 39, 28), 0.139949895623604, False, 'best']
['rodrigoq', 202551723, 'impression', '14', 240685644L, datetime.datetime(2013, 5, 18, 20, 39, 28), 0.0969472512391343, False, 'best']
['rodrigoq', 202551723, 'impression', '19', 240693241L, datetime.datetime(2013, 5, 18, 20, 39, 28), 0.0488517810317362, False, 'best']
['rodrigoq', 202551723, 'impression', '3', 240666577L, datetime.datetime(2013, 5, 18, 20, 39, 28), 0.21164549727497, False, 'best']
['rodrigoq', 202551723, 'impression', '6', 240665323L, datetime.datetime(2013, 5, 18, 20, 39, 28), 0.162388811731319, False, 'best']
['rodrigoq', 202551723, 'impression', '12', 240688145L, datetime.datetime(2013, 5, 18, 20, 39, 28), 0.137448968352363, False, 'best']
['rodrigoq', 202551723, 'impression', '2', 240664637L, datetime.datetime(2013, 5, 18, 20, 39, 28), 0.312277808905928, False, 'best']
['rodrigoq', 202551723, 'expand_tile', '1', 240716537L, datetime.datetime(2013, 5, 18, 20, 39, 38), 0.340089471493302, True, 'best']
['rodrigoq', 202551723, 'collapse_tile', '1', 240716537L, datetime.datetime(2013, 5, 18, 20, 40, 31), 0.340089471493302, True, 'best']
['rodrigoq', 202551723, 'expand_tile', '1', 240716537L, datetime.datetime(2013, 5, 18, 20, 40, 33), 0.340089471493302, True, 'best']
['rodrigoq', 202551723, 'view_full_application', '1', 240716537L, datetime.datetime(2013, 5, 18, 20, 40, 35), 0.340089471493302, True, 'best']
['rodrigoq', 202551723, 'impression', '17', 240669802L, datetime.datetime(2013, 5, 18, 20, 44, 45), 0.0644462572224766, False, 'best']
['rodrigoq', 202551723, 'impression', '15', 240698359L, datetime.datetime(2013, 5, 18, 20, 44, 45), 0.0966402388449521, False, 'best']
['rodrigoq', 202551723, 'impression', '10', 240714369L, datetime.datetime(2013, 5, 18, 20, 44, 45), 0.139949895623604, False, 'best']
['rodrigoq', 202551723, 'impression', '14', 240685644L, datetime.datetime(2013, 5, 18, 20, 44, 45), 0.0969472512391343, False, 'best']
['rodrigoq', 202551723, 'impression', '1', 240716537L, datetime.datetime(2013, 5, 18, 20, 44, 45), 0.340089471493302, True, 'best']
['rodrigoq', 202551723, 'impression', '7', 240663775L, datetime.datetime(2013, 5, 18, 20, 44, 45), 0.161022777513624, False, 'best']
['rodrigoq', 202551723, 'impression', '16', 240689347L, datetime.datetime(2013, 5, 18, 20, 44, 45), 0.0713825641194873, False, 'best']
['rodrigoq', 202551723, 'impression', '18', 240674993L, datetime.datetime(2013, 5, 18, 20, 44, 45), 0.0616292721547816, False, 'best']
['rodrigoq', 202551723, 'impression', '8', 240667500L, datetime.datetime(2013, 5, 18, 20, 44, 45), 0.149985668352199, False, 'best']
['rodrigoq', 202551723, 'impression', '20', 240663781L, datetime.datetime(2013, 5, 18, 20, 44, 45), 0.0239384110572009, False, 'best']
['rodrigoq', 202551723, 'impression', '5', 240685591L, datetime.datetime(2013, 5, 18, 20, 44, 45), 0.168442991487457, False, 'best']
['rodrigoq', 202551723, 'impression', '13', 240663773L, datetime.datetime(2013, 5, 18, 20, 44, 45), 0.107357341465114, False, 'best']
['rodrigoq', 202551723, 'impression', '9', 240703585L, datetime.datetime(2013, 5, 18, 20, 44, 45), 0.144178838311325, False, 'best']
['rodrigoq', 202551723, 'impression', '12', 240688145L, datetime.datetime(2013, 5, 18, 20, 44, 45), 0.137448968352363, False, 'best']
['rodrigoq', 202551723, 'impression', '2', 240664637L, datetime.datetime(2013, 5, 18, 20, 44, 45), 0.312277808905928, False, 'best']
['rodrigoq', 202551723, 'impression', '6', 240665323L, datetime.datetime(2013, 5, 18, 20, 44, 45), 0.162388811731319, False, 'best']
['rodrigoq', 202551723, 'impression', '4', 240696299L, datetime.datetime(2013, 5, 18, 20, 44, 45), 0.192056086541729, False, 'best']
['rodrigoq', 202551723, 'impression', '11', 240708363L, datetime.datetime(2013, 5, 18, 20, 44, 45), 0.138013462090964, False, 'best']
['rodrigoq', 202551723, 'impression', '3', 240666577L, datetime.datetime(2013, 5, 18, 20, 44, 45), 0.21164549727497, False, 'best']
['rodrigoq', 202551723, 'impression', '19', 240693241L, datetime.datetime(2013, 5, 18, 20, 44, 45), 0.0488517810317362, False, 'best']
['rodrigoq', 202551723, 'expand_tile', '12', 240688145L, datetime.datetime(2013, 5, 18, 20, 44, 56), 0.137448968352363, False, 'best']
['rodrigoq', 202551723, 'expand_tile', '18', 240674993L, datetime.datetime(2013, 5, 18, 20, 45, 25), 0.0616292721547816, False, 'best']
['rodrigoq', 202551723, 'expand_tile', '19', 240693241L, datetime.datetime(2013, 5, 18, 20, 45, 43), 0.0488517810317362, False, 'best']
['rodrigoq', 202551723, 'expand_tile', '20', 240663781L, datetime.datetime(2013, 5, 18, 20, 46, 10), 0.0239384110572009, False, 'best']
['rodrigoq', 202551723, 'view_full_application_via_message', '20', 240663781L, datetime.datetime(2013, 5, 18, 20, 46, 12), 0.0239384110572009, False, 'best']
