['vince32', 202546163, 'hide', '3', 240556799L, datetime.datetime(2013, 5, 16, 18, 2, 35), 0.198294837361447, False, 'best']
['vince32', 202546163, 'expand_tile', '3', 240556799L, datetime.datetime(2013, 5, 16, 18, 2, 36), 0.198294837361447, False, 'best']
['vince32', 202546163, 'hide', '5', 240557165L, datetime.datetime(2013, 5, 16, 18, 2, 39), 0.273190836432179, False, 'best']
['vince32', 202546163, 'hide', '7', 240562022L, datetime.datetime(2013, 5, 16, 18, 2, 43), 0.443207594497138, False, 'best']
['vince32', 202546163, 'hide', '8', 240562257L, datetime.datetime(2013, 5, 16, 18, 2, 44), 0.279955290728948, False, 'best']
['vince32', 202546163, 'impression', '2', 240561320L, datetime.datetime(2013, 5, 16, 18, 10, 5), 0.450109116572568, False, 'best']
['vince32', 202546163, 'impression', '1', 240556897L, datetime.datetime(2013, 5, 16, 18, 10, 5), 0.479204895647282, False, 'best']

['vince32', 202546163, 'impression', '3', 240566153L, datetime.datetime(2013, 5, 16, 18, 41, 45), 0.277332543048608, False, 'best']
['vince32', 202546163, 'impression', '1', 240556897L, datetime.datetime(2013, 5, 16, 18, 41, 45), 0.479204895647282, False, 'best']
['vince32', 202546163, 'impression', '2', 240561320L, datetime.datetime(2013, 5, 16, 18, 41, 45), 0.450109116572568, False, 'best']
['vince32', 202546163, 'view_full_application_via_name', '3', 240566153L, datetime.datetime(2013, 5, 16, 18, 41, 53), 0.277332543048608, False, 'best']

['vince32', 202546163, 'impression', '3', 240566153L, datetime.datetime(2013, 5, 16, 21, 52, 31), 0.277332543048608, False, 'best']
['vince32', 202546163, 'impression', '4', 240567469L, datetime.datetime(2013, 5, 16, 21, 52, 31), 0.399767444293596, False, 'best']
['vince32', 202546163, 'impression', '5', 240568361L, datetime.datetime(2013, 5, 16, 21, 52, 31), 0.525612961645543, False, 'best']
['vince32', 202546163, 'impression', '2', 240561320L, datetime.datetime(2013, 5, 16, 21, 52, 31), 0.450109116572568, False, 'best']
['vince32', 202546163, 'impression', '8', 240573544L, datetime.datetime(2013, 5, 16, 21, 52, 31), 0.468676621305317, False, 'best']
['vince32', 202546163, 'impression', '1', 240556897L, datetime.datetime(2013, 5, 16, 21, 52, 31), 0.479204895647282, False, 'best']
['vince32', 202546163, 'impression', '6', 240570501L, datetime.datetime(2013, 5, 16, 21, 52, 31), 0.315170405392125, False, 'best']
['vince32', 202546163, 'impression', '7', 240572908L, datetime.datetime(2013, 5, 16, 21, 52, 31), 0.376145406069356, False, 'best']
['vince32', 202546163, 'hide', '3', 240566153L, datetime.datetime(2013, 5, 16, 21, 52, 47), 0.277332543048608, False, 'best']
['vince32', 202546163, 'view_full_application_via_name', '4', 240567469L, datetime.datetime(2013, 5, 16, 21, 52, 52), 0.399767444293596, False, 'best']
['vince32', 202546163, 'impression', '5', 240570501L, datetime.datetime(2013, 5, 16, 22, 7, 51), 0.315170405392125, False, 'best']
['vince32', 202546163, 'impression', '7', 240573544L, datetime.datetime(2013, 5, 16, 22, 7, 51), 0.468676621305317, False, 'best']
['vince32', 202546163, 'impression', '2', 240561320L, datetime.datetime(2013, 5, 16, 22, 7, 51), 0.450109116572568, False, 'best']
['vince32', 202546163, 'impression', '1', 240556897L, datetime.datetime(2013, 5, 16, 22, 7, 51), 0.479204895647282, False, 'best']
['vince32', 202546163, 'impression', '3', 240567469L, datetime.datetime(2013, 5, 16, 22, 7, 51), 0.399767444293596, False, 'best']
['vince32', 202546163, 'impression', '4', 240568361L, datetime.datetime(2013, 5, 16, 22, 7, 51), 0.525612961645543, False, 'best']
['vince32', 202546163, 'impression', '6', 240572908L, datetime.datetime(2013, 5, 16, 22, 7, 51), 0.376145406069356, False, 'best']
