['wierzo', 202575381, 'impression', '5', 241150613L, datetime.datetime(2013, 5, 24, 2, 39, 53), 0.0518579956135028, False, 'best']
['wierzo', 202575381, 'shortlist', '5', 241150613L, datetime.datetime(2013, 5, 24, 2, 39, 53), 0.0518579956135028, False, 'best']
['wierzo', 202575381, 'impression', None, 241150613L, datetime.datetime(2013, 5, 24, 2, 39, 53), 0.0518579956135028, False, 'best']
['wierzo', 202575381, 'impression', '5', 241150613L, datetime.datetime(2013, 5, 24, 2, 41, 2), 0.0518579956135028, False, 'best']
['wierzo', 202575381, 'impression', '4', 241151830L, datetime.datetime(2013, 5, 24, 2, 41, 2), 0.0652975363388744, False, 'best']
['wierzo', 202575381, 'impression', '6', 241150653L, datetime.datetime(2013, 5, 24, 2, 41, 2), 0.0371599450989809, False, 'best']
['wierzo', 202575381, 'impression', '3', 241151104L, datetime.datetime(2013, 5, 24, 2, 41, 2), 0.0914670597680833, True, 'best']
['wierzo', 202575381, 'impression', '2', 241153824L, datetime.datetime(2013, 5, 24, 2, 41, 2), 0.14679703057427, False, 'best']
['wierzo', 202575381, 'impression', '1', 241150089L, datetime.datetime(2013, 5, 24, 2, 41, 2), 0.156894140809923, False, 'best']
['wierzo', 202575381, 'expand_tile', '3', 241151104L, datetime.datetime(2013, 5, 24, 2, 41, 7), 0.0914670597680833, True, 'best']
['wierzo', 202575381, 'send_message', '3', 241151104L, datetime.datetime(2013, 5, 24, 2, 41, 10), 0.0914670597680833, True, 'best']
['wierzo', 202575381, 'expand_tile', '3', 241151104L, datetime.datetime(2013, 5, 24, 2, 43, 4), 0.0914670597680833, True, 'best']
['wierzo', 202575381, 'impression', '1', 241150089L, datetime.datetime(2013, 5, 24, 2, 43, 10), 0.156894140809923, False, 'best']
['wierzo', 202575381, 'expand_tile', '1', 241150089L, datetime.datetime(2013, 5, 24, 2, 43, 13), 0.156894140809923, False, 'best']
['wierzo', 202575381, 'view_full_application', '1', 241150089L, datetime.datetime(2013, 5, 24, 2, 43, 16), 0.156894140809923, False, 'best']
['wierzo', 202575381, 'impression', '5', 241150613L, datetime.datetime(2013, 5, 24, 3, 7, 37), 0.0518579956135028, False, 'best']
['wierzo', 202575381, 'impression', '6', 241150653L, datetime.datetime(2013, 5, 24, 3, 7, 37), 0.0371599450989809, False, 'best']
['wierzo', 202575381, 'impression', '4', 241151830L, datetime.datetime(2013, 5, 24, 3, 7, 37), 0.0652975363388744, False, 'best']
['wierzo', 202575381, 'impression', '3', 241151104L, datetime.datetime(2013, 5, 24, 3, 7, 37), 0.0914670597680833, True, 'best']
['wierzo', 202575381, 'impression', '1', 241150089L, datetime.datetime(2013, 5, 24, 3, 7, 37), 0.156894140809923, False, 'best']
['wierzo', 202575381, 'impression', '2', 241153824L, datetime.datetime(2013, 5, 24, 3, 7, 37), 0.14679703057427, False, 'best']
['wierzo', 202575381, 'view_full_application_via_message', '3', 241151104L, datetime.datetime(2013, 5, 24, 3, 7, 40), 0.0914670597680833, True, 'best']

['wierzo', 202575381, 'impression', '1', 241158377L, datetime.datetime(2013, 5, 24, 4, 4, 33), 0.384340985499751, False, 'best']
['wierzo', 202575381, 'impression', '3', 241153824L, datetime.datetime(2013, 5, 24, 4, 4, 33), 0.14679703057427, False, 'best']
['wierzo', 202575381, 'impression', '2', 241150089L, datetime.datetime(2013, 5, 24, 4, 4, 33), 0.156894140809923, False, 'best']
['wierzo', 202575381, 'impression', '4', 241151104L, datetime.datetime(2013, 5, 24, 4, 4, 33), 0.0914670597680833, True, 'best']
['wierzo', 202575381, 'impression', '6', 241150613L, datetime.datetime(2013, 5, 24, 4, 4, 33), 0.0518579956135028, False, 'best']
['wierzo', 202575381, 'impression', '5', 241151830L, datetime.datetime(2013, 5, 24, 4, 4, 33), 0.0652975363388744, False, 'best']
['wierzo', 202575381, 'impression', '7', 241150653L, datetime.datetime(2013, 5, 24, 4, 4, 33), 0.0371599450989809, False, 'best']
['wierzo', 202575381, 'expand_tile', '4', 241151104L, datetime.datetime(2013, 5, 24, 4, 4, 44), 0.0914670597680833, True, 'best']
['wierzo', 202575381, 'hire', '4', 241151104L, datetime.datetime(2013, 5, 24, 4, 4, 49), 0.0914670597680833, True, 'best']

['wierzo', 202575381, 'impression', '2', 241150089L, datetime.datetime(2013, 5, 24, 4, 51, 12), 0.156894140809923, False, 'best']
['wierzo', 202575381, 'impression', '1', 241158377L, datetime.datetime(2013, 5, 24, 4, 51, 12), 0.384340985499751, False, 'best']
['wierzo', 202575381, 'impression', '3', 241153824L, datetime.datetime(2013, 5, 24, 4, 51, 12), 0.14679703057427, False, 'best']
['wierzo', 202575381, 'impression', '4', 241151104L, datetime.datetime(2013, 5, 24, 4, 51, 12), 0.0914670597680833, True, 'best']
['wierzo', 202575381, 'impression', '5', 241162456L, datetime.datetime(2013, 5, 24, 4, 51, 12), 0.0871610079234494, False, 'best']
['wierzo', 202575381, 'impression', '7', 241150613L, datetime.datetime(2013, 5, 24, 4, 51, 12), 0.0518579956135028, False, 'best']
['wierzo', 202575381, 'impression', '6', 241151830L, datetime.datetime(2013, 5, 24, 4, 51, 12), 0.0652975363388744, False, 'best']
['wierzo', 202575381, 'impression', '8', 241150653L, datetime.datetime(2013, 5, 24, 4, 51, 12), 0.0371599450989809, False, 'best']
['wierzo', 202575381, 'view_full_application_via_name', '4', 241151104L, datetime.datetime(2013, 5, 24, 5, 21), 0.0914670597680833, True, 'best']

['wierzo', 202575381, 'impression', '7', 241162456L, datetime.datetime(2013, 5, 24, 13, 29, 57), 0.0871610079234494, False, 'best']
['wierzo', 202575381, 'impression', '9', 241184285L, datetime.datetime(2013, 5, 24, 13, 29, 57), 0.0749220702416162, False, 'best']
['wierzo', 202575381, 'impression', '6', 241195567L, datetime.datetime(2013, 5, 24, 13, 29, 57), 0.103069894534002, False, 'best']
['wierzo', 202575381, 'impression', '3', 241173890L, datetime.datetime(2013, 5, 24, 13, 29, 57), 0.148258499410709, False, 'best']
['wierzo', 202575381, 'impression', '4', 241153824L, datetime.datetime(2013, 5, 24, 13, 29, 57), 0.14679703057427, False, 'best']
['wierzo', 202575381, 'impression', '2', 241150089L, datetime.datetime(2013, 5, 24, 13, 29, 57), 0.156894140809923, False, 'best']
['wierzo', 202575381, 'impression', '12', 241165055L, datetime.datetime(2013, 5, 24, 13, 29, 57), 0.0561233150653345, False, 'best']
