['everlastingapps', 202594605, 'impression', '20', 241584538L, datetime.datetime(2013, 5, 29, 23, 6, 55), 0.0301838850070318, False, 'time']
['everlastingapps', 202594605, 'impression', '7', 241589903L, datetime.datetime(2013, 5, 29, 23, 6, 55), 0.0610710610157699, False, 'time']
['everlastingapps', 202594605, 'impression', '4', 241594778L, datetime.datetime(2013, 5, 29, 23, 6, 55), 0.211031191425474, False, 'time']
['everlastingapps', 202594605, 'impression', '8', 241587936L, datetime.datetime(2013, 5, 29, 23, 6, 55), 0.0159593804510214, False, 'time']
['everlastingapps', 202594605, 'impression', '16', 241584652L, datetime.datetime(2013, 5, 29, 23, 6, 55), 0.0285449125110316, False, 'time']
['everlastingapps', 202594605, 'impression', '6', 241590860L, datetime.datetime(2013, 5, 29, 23, 6, 55), 0.0502232083587748, False, 'time']
['everlastingapps', 202594605, 'impression', '15', 241585210L, datetime.datetime(2013, 5, 29, 23, 6, 55), 0.00185977776552057, False, 'time']
['everlastingapps', 202594605, 'impression', '1', 241612889L, datetime.datetime(2013, 5, 29, 23, 6, 55), 0.0770373323254834, False, 'time']
['everlastingapps', 202594605, 'impression', '17', 241584638L, datetime.datetime(2013, 5, 29, 23, 6, 55), 0.0214960668393857, False, 'time']
['everlastingapps', 202594605, 'impression', '5', 241591707L, datetime.datetime(2013, 5, 29, 23, 6, 55), 0.0544164969260582, False, 'time']
['everlastingapps', 202594605, 'impression', '10', 241586069L, datetime.datetime(2013, 5, 29, 23, 6, 55), 0.0462909411761022, False, 'time']
['everlastingapps', 202594605, 'impression', '2', 241610721L, datetime.datetime(2013, 5, 29, 23, 6, 55), 0.0197792990995822, False, 'time']
['everlastingapps', 202594605, 'impression', '4', 241594778L, datetime.datetime(2013, 5, 29, 23, 6, 56), 0.211031191425474, False, 'time']
['everlastingapps', 202594605, 'view_full_application_via_name', '5', 241591707L, datetime.datetime(2013, 5, 29, 23, 7), 0.0544164969260582, False, 'time']
['everlastingapps', 202594605, 'impression', '14', 241585210L, datetime.datetime(2013, 5, 29, 23, 9, 55), 0.00185977776552057, False, 'time']
['everlastingapps', 202594605, 'impression', '5', 241590860L, datetime.datetime(2013, 5, 29, 23, 9, 55), 0.0502232083587748, False, 'time']
['everlastingapps', 202594605, 'impression', '15', 241584652L, datetime.datetime(2013, 5, 29, 23, 9, 55), 0.0285449125110316, False, 'time']
['everlastingapps', 202594605, 'impression', '7', 241587936L, datetime.datetime(2013, 5, 29, 23, 9, 55), 0.0159593804510214, False, 'time']
['everlastingapps', 202594605, 'impression', '20', 241584380L, datetime.datetime(2013, 5, 29, 23, 9, 55), 0.0406979004332421, False, 'time']
['everlastingapps', 202594605, 'impression', '9', 241586069L, datetime.datetime(2013, 5, 29, 23, 9, 55), 0.0462909411761022, False, 'time']
