['johna2', 202575394, 'impression', '1', 241150625L, datetime.datetime(2013, 5, 24, 5, 30, 22), 0.230531444558343, False, 'best']
['johna2', 202575394, 'impression', '3', 241150561L, datetime.datetime(2013, 5, 24, 5, 30, 22), 0.212443308108993, False, 'best']
['johna2', 202575394, 'impression', '10', 241152411L, datetime.datetime(2013, 5, 24, 5, 30, 22), 0.0850967735974175, False, 'best']
['johna2', 202575394, 'impression', '9', 241150632L, datetime.datetime(2013, 5, 24, 5, 30, 22), 0.101558285952034, False, 'best']
['johna2', 202575394, 'impression', '8', 241151014L, datetime.datetime(2013, 5, 24, 5, 30, 22), 0.107848495123776, False, 'best']
['johna2', 202575394, 'impression', '11', 241159692L, datetime.datetime(2013, 5, 24, 5, 30, 22), 0.0604705652692431, True, 'best']
['johna2', 202575394, 'impression', '5', 241154434L, datetime.datetime(2013, 5, 24, 5, 30, 22), 0.189852225337762, False, 'best']
['johna2', 202575394, 'impression', '7', 241151844L, datetime.datetime(2013, 5, 24, 5, 30, 22), 0.10962437610045, False, 'best']
['johna2', 202575394, 'impression', '6', 241150719L, datetime.datetime(2013, 5, 24, 5, 30, 22), 0.173539680890844, False, 'best']
['johna2', 202575394, 'expand_tile', '11', 241159692L, datetime.datetime(2013, 5, 24, 5, 30, 30), 0.0604705652692431, True, 'best']
['johna2', 202575394, 'expand_tile', '10', 241152411L, datetime.datetime(2013, 5, 24, 5, 30, 35), 0.0850967735974175, False, 'best']
['johna2', 202575394, 'expand_tile', '7', 241151844L, datetime.datetime(2013, 5, 24, 5, 30, 39), 0.10962437610045, False, 'best']
['johna2', 202575394, 'view_full_application_via_message', '6', 241150719L, datetime.datetime(2013, 5, 24, 5, 30, 43), 0.173539680890844, False, 'best']
['johna2', 202575394, 'impression', '6', 241150719L, datetime.datetime(2013, 5, 24, 5, 30, 52), 0.173539680890844, False, 'best']
['johna2', 202575394, 'impression', '10', 241152411L, datetime.datetime(2013, 5, 24, 5, 30, 52), 0.0850967735974175, False, 'best']
['johna2', 202575394, 'impression', '11', 241159692L, datetime.datetime(2013, 5, 24, 5, 30, 52), 0.0604705652692431, True, 'best']
['johna2', 202575394, 'impression', '9', 241150632L, datetime.datetime(2013, 5, 24, 5, 30, 52), 0.101558285952034, False, 'best']
['johna2', 202575394, 'impression', '8', 241151014L, datetime.datetime(2013, 5, 24, 5, 30, 52), 0.107848495123776, False, 'best']
['johna2', 202575394, 'impression', '5', 241154434L, datetime.datetime(2013, 5, 24, 5, 30, 52), 0.189852225337762, False, 'best']
['johna2', 202575394, 'impression', '7', 241151844L, datetime.datetime(2013, 5, 24, 5, 30, 52), 0.10962437610045, False, 'best']
['johna2', 202575394, 'impression', '1', 241150625L, datetime.datetime(2013, 5, 24, 5, 30, 52), 0.230531444558343, False, 'best']
['johna2', 202575394, 'impression', '4', 241151240L, datetime.datetime(2013, 5, 24, 5, 30, 52), 0.195694903492859, True, 'best']
['johna2', 202575394, 'impression', '3', 241150561L, datetime.datetime(2013, 5, 24, 5, 30, 52), 0.212443308108993, False, 'best']
['johna2', 202575394, 'impression', '2', 241161656L, datetime.datetime(2013, 5, 24, 5, 30, 52), 0.222117514674337, False, 'best']
['johna2', 202575394, 'view_full_application_via_message', '4', 241151240L, datetime.datetime(2013, 5, 24, 5, 31, 2), 0.195694903492859, True, 'best']
['johna2', 202575394, 'impression', '10', 241152411L, datetime.datetime(2013, 5, 24, 5, 31, 16), 0.0850967735974175, False, 'best']
['johna2', 202575394, 'impression', '6', 241150719L, datetime.datetime(2013, 5, 24, 5, 31, 16), 0.173539680890844, False, 'best']
['johna2', 202575394, 'impression', '9', 241150632L, datetime.datetime(2013, 5, 24, 5, 31, 16), 0.101558285952034, False, 'best']
['johna2', 202575394, 'impression', '11', 241159692L, datetime.datetime(2013, 5, 24, 5, 31, 16), 0.0604705652692431, True, 'best']
['johna2', 202575394, 'impression', '8', 241151014L, datetime.datetime(2013, 5, 24, 5, 31, 16), 0.107848495123776, False, 'best']
