['crazydollardeals', 202543862, 'expand_tile', '4', 240504048L, datetime.datetime(2013, 5, 16, 4, 38, 46), 0.326681950093918, False, 'time']
['crazydollardeals', 202543862, 'impression', '3', 240504177L, datetime.datetime(2013, 5, 16, 4, 44, 51), 0.235372834803086, False, 'time']
['crazydollardeals', 202543862, 'impression', '3', 240504177L, datetime.datetime(2013, 5, 16, 4, 50, 13), 0.235372834803086, False, 'time']
['crazydollardeals', 202543862, 'impression', '2', 240504235L, datetime.datetime(2013, 5, 16, 4, 50, 13), 0.174229803837848, False, 'time']
['crazydollardeals', 202543862, 'impression', '5', 240503550L, datetime.datetime(2013, 5, 16, 4, 50, 13), 0.172509323289984, False, 'time']
['crazydollardeals', 202543862, 'impression', '4', 240504048L, datetime.datetime(2013, 5, 16, 4, 50, 13), 0.326681950093918, False, 'time']
['crazydollardeals', 202543862, 'impression', '1', 240504286L, datetime.datetime(2013, 5, 16, 4, 50, 13), 0.236897630884562, False, 'time']
['crazydollardeals', 202543862, 'impression', '6', 240503361L, datetime.datetime(2013, 5, 16, 4, 50, 13), 0.0570798921635452, False, 'time']
['crazydollardeals', 202543862, 'expand_tile', '6', 240503361L, datetime.datetime(2013, 5, 16, 4, 50, 28), 0.0570798921635452, False, 'time']
['crazydollardeals', 202543862, 'view_full_application', '6', 240503361L, datetime.datetime(2013, 5, 16, 4, 50, 38), 0.0570798921635452, False, 'time']
['crazydollardeals', 202543862, 'impression', '1', 240504286L, datetime.datetime(2013, 5, 16, 4, 56), 0.236897630884562, False, 'time']
['crazydollardeals', 202543862, 'impression', '6', 240503361L, datetime.datetime(2013, 5, 16, 4, 56), 0.0570798921635452, False, 'time']
['crazydollardeals', 202543862, 'impression', '3', 240504177L, datetime.datetime(2013, 5, 16, 4, 56), 0.235372834803086, False, 'time']
['crazydollardeals', 202543862, 'impression', '4', 240504048L, datetime.datetime(2013, 5, 16, 4, 56), 0.326681950093918, False, 'time']
['crazydollardeals', 202543862, 'impression', '2', 240504235L, datetime.datetime(2013, 5, 16, 4, 56), 0.174229803837848, False, 'time']
['crazydollardeals', 202543862, 'impression', '5', 240503550L, datetime.datetime(2013, 5, 16, 4, 56), 0.172509323289984, False, 'time']

['crazydollardeals', 202543862, 'impression', '8', 240503361L, datetime.datetime(2013, 5, 16, 5, 28, 53), 0.0570798921635452, False, 'time']
['crazydollardeals', 202543862, 'impression', '2', 240509933L, datetime.datetime(2013, 5, 16, 5, 28, 53), 0.0445034682873129, False, 'time']
['crazydollardeals', 202543862, 'impression', '5', 240504177L, datetime.datetime(2013, 5, 16, 5, 28, 53), 0.235372834803086, False, 'time']
['crazydollardeals', 202543862, 'impression', '3', 240504286L, datetime.datetime(2013, 5, 16, 5, 28, 53), 0.236897630884562, False, 'time']
['crazydollardeals', 202543862, 'impression', '4', 240504235L, datetime.datetime(2013, 5, 16, 5, 28, 53), 0.174229803837848, False, 'time']
['crazydollardeals', 202543862, 'impression', '6', 240504048L, datetime.datetime(2013, 5, 16, 5, 28, 53), 0.326681950093918, False, 'time']
['crazydollardeals', 202543862, 'impression', '7', 240503550L, datetime.datetime(2013, 5, 16, 5, 28, 53), 0.172509323289984, False, 'time']
['crazydollardeals', 202543862, 'impression', '1', 240510192L, datetime.datetime(2013, 5, 16, 5, 28, 53), 0.254132114717294, False, 'time']
['crazydollardeals', 202543862, 'collapse_tile', '2', 240509933L, datetime.datetime(2013, 5, 16, 5, 29, 33), 0.0445034682873129, False, 'time']
['crazydollardeals', 202543862, 'impression', '4', 240504235L, datetime.datetime(2013, 5, 16, 5, 29, 35), 0.174229803837848, False, 'time']
['crazydollardeals', 202543862, 'expand_tile', '2', 240509933L, datetime.datetime(2013, 5, 16, 5, 29, 38), 0.0445034682873129, False, 'time']
['crazydollardeals', 202543862, 'collapse_tile', '2', 240509933L, datetime.datetime(2013, 5, 16, 5, 29, 41), 0.0445034682873129, False, 'time']
['crazydollardeals', 202543862, 'expand_tile', '2', 240509933L, datetime.datetime(2013, 5, 16, 5, 29, 43), 0.0445034682873129, False, 'time']
['crazydollardeals', 202543862, 'view_full_application', '2', 240509933L, datetime.datetime(2013, 5, 16, 5, 29, 45), 0.0445034682873129, False, 'time']

['crazydollardeals', 202543862, 'impression', '9', 240504048L, datetime.datetime(2013, 5, 16, 6, 56, 39), 0.326681950093918, False, 'time']
['crazydollardeals', 202543862, 'impression', '4', 240510192L, datetime.datetime(2013, 5, 16, 6, 56, 39), 0.254132114717294, False, 'time']
