['lijoseph', 202563500, 'impression', '9', 240949845L, datetime.datetime(2013, 5, 22, 0, 57, 41), 0.202404806513453, False, 'time']
['lijoseph', 202563500, 'impression', '12', 240946628L, datetime.datetime(2013, 5, 22, 0, 57, 41), 0.179093312396424, False, 'time']
['lijoseph', 202563500, 'impression', '11', 240947631L, datetime.datetime(2013, 5, 22, 0, 57, 41), 0.121198919538653, False, 'time']
['lijoseph', 202563500, 'impression', '17', 240943913L, datetime.datetime(2013, 5, 22, 0, 57, 41), 0.0442451659971453, False, 'time']
['lijoseph', 202563500, 'impression', '4', 240959818L, datetime.datetime(2013, 5, 22, 0, 57, 41), 0.0282335223126937, False, 'time']
['lijoseph', 202563500, 'impression', '13', 240945935L, datetime.datetime(2013, 5, 22, 0, 57, 41), 0.07385976020959, False, 'time']
['lijoseph', 202563500, 'impression', '1', 240968380L, datetime.datetime(2013, 5, 22, 0, 57, 41), 0.170601601743012, False, 'time']
['lijoseph', 202563500, 'impression', '6', 240954853L, datetime.datetime(2013, 5, 22, 0, 57, 41), 0.472420135231052, False, 'time']
['lijoseph', 202563500, 'impression', '14', 240944892L, datetime.datetime(2013, 5, 22, 0, 57, 41), 0.0856030990595301, False, 'time']
['lijoseph', 202563500, 'impression', '3', 240959845L, datetime.datetime(2013, 5, 22, 0, 57, 41), 0.0658500314602997, False, 'time']
['lijoseph', 202563500, 'impression', '19', 240941082L, datetime.datetime(2013, 5, 22, 0, 57, 41), 0.0621906789686607, False, 'time']
['lijoseph', 202563500, 'impression', '8', 240951255L, datetime.datetime(2013, 5, 22, 0, 57, 41), 0.0221890612121661, False, 'time']
['lijoseph', 202563500, 'impression', '18', 240942061L, datetime.datetime(2013, 5, 22, 0, 57, 41), 0.072036761755522, False, 'time']
['lijoseph', 202563500, 'impression', '2', 240960501L, datetime.datetime(2013, 5, 22, 0, 57, 41), 0.0397926274159044, False, 'time']
['lijoseph', 202563500, 'impression', '10', 240948655L, datetime.datetime(2013, 5, 22, 0, 57, 41), 0.0524467347864085, False, 'time']
['lijoseph', 202563500, 'impression', '5', 240957330L, datetime.datetime(2013, 5, 22, 0, 57, 41), 0.08210208428029, False, 'time']
