['ecofriend', 202571991, 'view_full_application_via_name', '1', 241088936L, datetime.datetime(2013, 5, 24, 9, 38, 45), 0.0476959070018371, False, 'time']
['ecofriend', 202571991, 'impression', '4', 241084787L, datetime.datetime(2013, 5, 24, 9, 49, 19), 0.0288983586236977, False, 'time']
['ecofriend', 202571991, 'impression', '3', 241085542L, datetime.datetime(2013, 5, 24, 9, 49, 19), 0.0977219167882866, False, 'time']
['ecofriend', 202571991, 'impression', '2', 241087282L, datetime.datetime(2013, 5, 24, 9, 49, 19), 0.0355394659250882, False, 'time']
['ecofriend', 202571991, 'impression', '1', 241088936L, datetime.datetime(2013, 5, 24, 9, 49, 19), 0.0476959070018371, False, 'time']
['ecofriend', 202571991, 'view_full_application_via_name', '1', 241088936L, datetime.datetime(2013, 5, 24, 9, 49, 26), 0.0476959070018371, False, 'time']

['ecofriend', 202571991, 'impression', '4', 241084787L, datetime.datetime(2013, 5, 24, 10, 43, 21), 0.0288983586236977, False, 'time']
['ecofriend', 202571991, 'impression', '3', 241085542L, datetime.datetime(2013, 5, 24, 10, 43, 21), 0.0977219167882866, False, 'time']
['ecofriend', 202571991, 'impression', '2', 241087282L, datetime.datetime(2013, 5, 24, 10, 43, 21), 0.0355394659250882, False, 'time']
['ecofriend', 202571991, 'impression', '1', 241088936L, datetime.datetime(2013, 5, 24, 10, 43, 21), 0.0476959070018371, False, 'time']
['ecofriend', 202571991, 'view_full_application_via_name', '1', 241088936L, datetime.datetime(2013, 5, 24, 10, 43, 24), 0.0476959070018371, False, 'time']

['ecofriend', 202571991, 'impression', '4', 241084787L, datetime.datetime(2013, 5, 24, 11, 43, 23), 0.0288983586236977, False, 'time']
['ecofriend', 202571991, 'impression', '2', 241087282L, datetime.datetime(2013, 5, 24, 11, 43, 23), 0.0355394659250882, False, 'time']
['ecofriend', 202571991, 'impression', '1', 241088936L, datetime.datetime(2013, 5, 24, 11, 43, 23), 0.0476959070018371, False, 'time']
['ecofriend', 202571991, 'impression', '3', 241085542L, datetime.datetime(2013, 5, 24, 11, 43, 23), 0.0977219167882866, False, 'time']
['ecofriend', 202571991, 'view_full_application_via_name', '3', 241085542L, datetime.datetime(2013, 5, 24, 11, 43, 27), 0.0977219167882866, False, 'time']

['ecofriend', 202571991, 'impression', '3', 241085542L, datetime.datetime(2013, 5, 25, 6, 16, 44), 0.0977219167882866, False, 'time']
['ecofriend', 202571991, 'impression', '2', 241087282L, datetime.datetime(2013, 5, 25, 6, 16, 44), 0.0355394659250882, False, 'time']
['ecofriend', 202571991, 'impression', '1', 241088936L, datetime.datetime(2013, 5, 25, 6, 16, 44), 0.0476959070018371, False, 'time']
['ecofriend', 202571991, 'impression', '4', 241084787L, datetime.datetime(2013, 5, 25, 6, 16, 44), 0.0288983586236977, False, 'time']
['ecofriend', 202571991, 'expand_tile', '4', 241084787L, datetime.datetime(2013, 5, 25, 6, 16, 48), 0.0288983586236977, False, 'time']
['ecofriend', 202571991, 'view_full_application_via_name', '4', 241084787L, datetime.datetime(2013, 5, 25, 6, 16, 57), 0.0288983586236977, False, 'time']

