['lumixkina', 202562296, 'expand_tile', '3', 240916154L, datetime.datetime(2013, 5, 21, 12, 10, 21), 0.217756301455349, False, 'time']
['lumixkina', 202562296, 'send_message', '3', 240916154L, datetime.datetime(2013, 5, 21, 12, 10, 22), 0.217756301455349, False, 'time']
['lumixkina', 202562296, 'expand_tile', '3', 240916154L, datetime.datetime(2013, 5, 21, 12, 10, 24), 0.217756301455349, False, 'time']
['lumixkina', 202562296, 'impression', '5', 240912727L, datetime.datetime(2013, 5, 21, 12, 10, 25), 0.176789094855915, False, 'time']
['lumixkina', 202562296, 'expand_tile', '4', 240914416L, datetime.datetime(2013, 5, 21, 12, 10, 26), 0.232267422541404, False, 'time']
['lumixkina', 202562296, 'send_message', '4', 240914416L, datetime.datetime(2013, 5, 21, 12, 10, 27), 0.232267422541404, False, 'time']
['lumixkina', 202562296, 'expand_tile', '4', 240914416L, datetime.datetime(2013, 5, 21, 12, 10, 29), 0.232267422541404, False, 'time']
['lumixkina', 202562296, 'expand_tile', '5', 240912727L, datetime.datetime(2013, 5, 21, 12, 10, 30), 0.176789094855915, False, 'time']
['lumixkina', 202562296, 'send_message', '5', 240912727L, datetime.datetime(2013, 5, 21, 12, 10, 32), 0.176789094855915, False, 'time']
['lumixkina', 202562296, 'expand_tile', '5', 240912727L, datetime.datetime(2013, 5, 21, 12, 10, 34), 0.176789094855915, False, 'time']
['lumixkina', 202562296, 'expand_tile', '6', 240909499L, datetime.datetime(2013, 5, 21, 12, 10, 36), 0.066167238212101, False, 'time']
['lumixkina', 202562296, 'send_message', '6', 240909499L, datetime.datetime(2013, 5, 21, 12, 10, 37), 0.066167238212101, False, 'time']
['lumixkina', 202562296, 'expand_tile', '6', 240909499L, datetime.datetime(2013, 5, 21, 12, 10, 39), 0.066167238212101, False, 'time']
['lumixkina', 202562296, 'expand_tile', '7', 240908441L, datetime.datetime(2013, 5, 21, 12, 10, 40), 0.16518552947135, False, 'time']
['lumixkina', 202562296, 'send_message', '7', 240908441L, datetime.datetime(2013, 5, 21, 12, 10, 42), 0.16518552947135, False, 'time']
['lumixkina', 202562296, 'expand_tile', '7', 240908441L, datetime.datetime(2013, 5, 21, 12, 10, 43), 0.16518552947135, False, 'time']
['lumixkina', 202562296, 'expand_tile', '8', 240906372L, datetime.datetime(2013, 5, 21, 12, 10, 45), 0.292167141680635, False, 'time']
['lumixkina', 202562296, 'send_message', '8', 240906372L, datetime.datetime(2013, 5, 21, 12, 10, 46), 0.292167141680635, False, 'time']
['lumixkina', 202562296, 'expand_tile', '8', 240906372L, datetime.datetime(2013, 5, 21, 12, 10, 48), 0.292167141680635, False, 'time']
['lumixkina', 202562296, 'expand_tile', '9', 240905534L, datetime.datetime(2013, 5, 21, 12, 10, 49), 0.219445319095407, False, 'time']
['lumixkina', 202562296, 'send_message', '9', 240905534L, datetime.datetime(2013, 5, 21, 12, 10, 51), 0.219445319095407, False, 'time']
['lumixkina', 202562296, 'expand_tile', '9', 240905534L, datetime.datetime(2013, 5, 21, 12, 10, 52), 0.219445319095407, False, 'time']
['lumixkina', 202562296, 'impression', '11', 240903313L, datetime.datetime(2013, 5, 21, 12, 10, 53), 0.283904103123433, False, 'time']
['lumixkina', 202562296, 'expand_tile', '10', 240903816L, datetime.datetime(2013, 5, 21, 12, 10, 54), 0.282664581206273, False, 'time']
['lumixkina', 202562296, 'send_message', '10', 240903816L, datetime.datetime(2013, 5, 21, 12, 10, 55), 0.282664581206273, False, 'time']
['lumixkina', 202562296, 'expand_tile', '10', 240903816L, datetime.datetime(2013, 5, 21, 12, 10, 57), 0.282664581206273, False, 'time']
['lumixkina', 202562296, 'expand_tile', '11', 240903313L, datetime.datetime(2013, 5, 21, 12, 10, 58), 0.283904103123433, False, 'time']
['lumixkina', 202562296, 'send_message', '11', 240903313L, datetime.datetime(2013, 5, 21, 12, 11), 0.283904103123433, False, 'time']
['lumixkina', 202562296, 'expand_tile', '11', 240903313L, datetime.datetime(2013, 5, 21, 12, 11, 2), 0.283904103123433, False, 'time']
['lumixkina', 202562296, 'expand_tile', '12', 240903187L, datetime.datetime(2013, 5, 21, 12, 11, 3), 0.244142076272737, False, 'time']
['lumixkina', 202562296, 'send_message', '12', 240903187L, datetime.datetime(2013, 5, 21, 12, 11, 5), 0.244142076272737, False, 'time']
['lumixkina', 202562296, 'expand_tile', '12', 240903187L, datetime.datetime(2013, 5, 21, 12, 11, 6), 0.244142076272737, False, 'time']
['lumixkina', 202562296, 'expand_tile', '13', 240903007L, datetime.datetime(2013, 5, 21, 12, 11, 8), 0.198562604395593, False, 'time']
['lumixkina', 202562296, 'send_message', '13', 240903007L, datetime.datetime(2013, 5, 21, 12, 11, 9), 0.198562604395593, False, 'time']
['lumixkina', 202562296, 'expand_tile', '13', 240903007L, datetime.datetime(2013, 5, 21, 12, 11, 10), 0.198562604395593, False, 'time']
['lumixkina', 202562296, 'expand_tile', '14', 240902363L, datetime.datetime(2013, 5, 21, 12, 11, 12), 0.292867507696786, False, 'time']
['lumixkina', 202562296, 'send_message', '14', 240902363L, datetime.datetime(2013, 5, 21, 12, 11, 13), 0.292867507696786, False, 'time']
['lumixkina', 202562296, 'expand_tile', '14', 240902363L, datetime.datetime(2013, 5, 21, 12, 11, 15), 0.292867507696786, False, 'time']
['lumixkina', 202562296, 'expand_tile', '15', 240901636L, datetime.datetime(2013, 5, 21, 12, 11, 17), 0.0958814442573352, False, 'time']
['lumixkina', 202562296, 'send_message', '15', 240901636L, datetime.datetime(2013, 5, 21, 12, 11, 18), 0.0958814442573352, False, 'time']
