['francescoc', 202552692, 'impression', '8', 240692695L, datetime.datetime(2013, 5, 18, 10, 30, 29), 0.0469210213715584, False, 'best']
['francescoc', 202552692, 'impression', '11', 240692941L, datetime.datetime(2013, 5, 18, 10, 30, 29), 0.0383173003323802, False, 'best']
['francescoc', 202552692, 'impression', '6', 240693263L, datetime.datetime(2013, 5, 18, 10, 30, 29), 0.0523477062769184, False, 'best']
['francescoc', 202552692, 'impression', '10', 240692685L, datetime.datetime(2013, 5, 18, 10, 30, 29), 0.0395153033754183, False, 'best']
['francescoc', 202552692, 'impression', '13', 240694031L, datetime.datetime(2013, 5, 18, 10, 30, 29), 0.0364939662338838, False, 'best']
['francescoc', 202552692, 'impression', '17', 240693016L, datetime.datetime(2013, 5, 18, 10, 30, 29), 0.021880056594809, False, 'best']
['francescoc', 202552692, 'impression', '4', 240693622L, datetime.datetime(2013, 5, 18, 10, 30, 29), 0.079125264199804, False, 'best']
['francescoc', 202552692, 'impression', '2', 240693128L, datetime.datetime(2013, 5, 18, 10, 30, 29), 0.0886504149694476, False, 'best']
['francescoc', 202552692, 'impression', '9', 240693397L, datetime.datetime(2013, 5, 18, 10, 30, 29), 0.0422002517946268, False, 'best']
['francescoc', 202552692, 'impression', '18', 240692441L, datetime.datetime(2013, 5, 18, 10, 30, 29), 0.0176076879498215, False, 'best']
['francescoc', 202552692, 'impression', '7', 240693941L, datetime.datetime(2013, 5, 18, 10, 30, 29), 0.0482450975932164, False, 'best']
['francescoc', 202552692, 'impression', '5', 240694833L, datetime.datetime(2013, 5, 18, 10, 30, 29), 0.0555626683796687, False, 'best']
['francescoc', 202552692, 'impression', '3', 240693230L, datetime.datetime(2013, 5, 18, 10, 30, 29), 0.0873428368017977, False, 'best']
['francescoc', 202552692, 'impression', '12', 240692988L, datetime.datetime(2013, 5, 18, 10, 30, 29), 0.0383083541051833, False, 'best']
['francescoc', 202552692, 'impression', '19', 240692916L, datetime.datetime(2013, 5, 18, 10, 30, 29), 0.0157391415192932, False, 'best']
['francescoc', 202552692, 'impression', '1', 240693517L, datetime.datetime(2013, 5, 18, 10, 30, 29), 0.138541739608133, False, 'best']
['francescoc', 202552692, 'impression', '9', 240693397L, datetime.datetime(2013, 5, 18, 10, 43, 36), 0.0422002517946268, False, 'best']
['francescoc', 202552692, 'impression', '18', 240692441L, datetime.datetime(2013, 5, 18, 10, 43, 36), 0.0176076879498215, False, 'best']
['francescoc', 202552692, 'impression', '8', 240692695L, datetime.datetime(2013, 5, 18, 10, 43, 36), 0.0469210213715584, False, 'best']
['francescoc', 202552692, 'impression', '14', 240692567L, datetime.datetime(2013, 5, 18, 10, 43, 36), 0.0344054793919476, False, 'best']
['francescoc', 202552692, 'impression', '15', 240692993L, datetime.datetime(2013, 5, 18, 10, 43, 36), 0.0340293549551153, False, 'best']
['francescoc', 202552692, 'impression', '16', 240694117L, datetime.datetime(2013, 5, 18, 10, 43, 36), 0.0297902249888842, False, 'best']
['francescoc', 202552692, 'impression', '2', 240693128L, datetime.datetime(2013, 5, 18, 10, 43, 36), 0.0886504149694476, False, 'best']
['francescoc', 202552692, 'impression', '4', 240693622L, datetime.datetime(2013, 5, 18, 10, 43, 36), 0.079125264199804, False, 'best']
['francescoc', 202552692, 'impression', '17', 240693016L, datetime.datetime(2013, 5, 18, 10, 43, 36), 0.021880056594809, False, 'best']
['francescoc', 202552692, 'impression', '10', 240692685L, datetime.datetime(2013, 5, 18, 10, 43, 36), 0.0395153033754183, False, 'best']
['francescoc', 202552692, 'impression', '13', 240694031L, datetime.datetime(2013, 5, 18, 10, 43, 36), 0.0364939662338838, False, 'best']
['francescoc', 202552692, 'impression', '19', 240692916L, datetime.datetime(2013, 5, 18, 10, 43, 36), 0.0157391415192932, False, 'best']
['francescoc', 202552692, 'impression', '1', 240693517L, datetime.datetime(2013, 5, 18, 10, 43, 36), 0.138541739608133, False, 'best']
['francescoc', 202552692, 'impression', '12', 240692988L, datetime.datetime(2013, 5, 18, 10, 43, 36), 0.0383083541051833, False, 'best']
['francescoc', 202552692, 'impression', '20', 240694723L, datetime.datetime(2013, 5, 18, 10, 43, 36), 0.0104942615446413, False, 'best']
['francescoc', 202552692, 'impression', '7', 240693941L, datetime.datetime(2013, 5, 18, 10, 43, 36), 0.0482450975932164, False, 'best']
['francescoc', 202552692, 'impression', '3', 240693230L, datetime.datetime(2013, 5, 18, 10, 43, 36), 0.0873428368017977, False, 'best']
['francescoc', 202552692, 'impression', '5', 240694833L, datetime.datetime(2013, 5, 18, 10, 43, 36), 0.0555626683796687, False, 'best']
['francescoc', 202552692, 'impression', '6', 240693263L, datetime.datetime(2013, 5, 18, 10, 43, 36), 0.0523477062769184, False, 'best']
