['tdotwells', 202542619, 'impression', '19', 240492479L, datetime.datetime(2013, 5, 16, 20, 24, 44), 0.210100436101838, False, 'best']
['tdotwells', 202542619, 'impression', '15', 240490961L, datetime.datetime(2013, 5, 16, 20, 24, 44), 0.179187924697668, False, 'best']
['tdotwells', 202542619, 'impression', '3', 240486953L, datetime.datetime(2013, 5, 16, 20, 24, 44), 0.284908262007556, False, 'best']
['tdotwells', 202542619, 'impression', '20', 240494157L, datetime.datetime(2013, 5, 16, 20, 24, 44), 0.192965981552434, False, 'best']
['tdotwells', 202542619, 'impression', '7', 240489424L, datetime.datetime(2013, 5, 16, 20, 24, 44), 0.865459517032588, False, 'best']
['tdotwells', 202542619, 'impression', '2', 240486469L, datetime.datetime(2013, 5, 16, 20, 24, 44), 0.356669950434891, False, 'best']
['tdotwells', 202542619, 'impression', '9', 240490292L, datetime.datetime(2013, 5, 16, 20, 24, 44), 0.510972946527045, True, 'best']
['tdotwells', 202542619, 'impression', '1', 240486188L, datetime.datetime(2013, 5, 16, 20, 24, 44), 0.265422976124933, False, 'best']

['tdotwells', 202542619, 'impression', '6', 240489424L, datetime.datetime(2013, 5, 16, 22, 20, 32), 0.865459517032588, False, 'best']
['tdotwells', 202542619, 'impression', '2', 240486469L, datetime.datetime(2013, 5, 16, 22, 20, 32), 0.356669950434891, False, 'best']
['tdotwells', 202542619, 'impression', '1', 240486188L, datetime.datetime(2013, 5, 16, 22, 20, 32), 0.265422976124933, False, 'best']
['tdotwells', 202542619, 'impression', '8', 240490292L, datetime.datetime(2013, 5, 16, 22, 20, 32), 0.510972946527045, True, 'best']
['tdotwells', 202542619, 'impression', '20', 240508104L, datetime.datetime(2013, 5, 16, 22, 20, 32), 0.471872323192709, False, 'best']
['tdotwells', 202542619, 'impression', '15', 240491955L, datetime.datetime(2013, 5, 16, 22, 20, 32), 0.395309051203085, False, 'best']
['tdotwells', 202542619, 'impression', '12', 240490791L, datetime.datetime(2013, 5, 16, 22, 20, 32), 0.397656026936831, False, 'best']
['tdotwells', 202542619, 'impression', '5', 240489082L, datetime.datetime(2013, 5, 16, 22, 20, 32), 0.262953732264398, False, 'best']
['tdotwells', 202542619, 'impression', '19', 240499820L, datetime.datetime(2013, 5, 16, 22, 20, 32), 0.663367910096622, False, 'best']
['tdotwells', 202542619, 'impression', '16', 240494157L, datetime.datetime(2013, 5, 16, 22, 20, 32), 0.192965981552434, False, 'best']
['tdotwells', 202542619, 'impression', '17', 240494418L, datetime.datetime(2013, 5, 16, 22, 20, 32), 0.196538064183916, False, 'best']
['tdotwells', 202542619, 'impression', '13', 240490961L, datetime.datetime(2013, 5, 16, 22, 20, 32), 0.179187924697668, False, 'best']
['tdotwells', 202542619, 'impression', '3', 240487053L, datetime.datetime(2013, 5, 16, 22, 20, 32), 0.396615955673681, False, 'best']
['tdotwells', 202542619, 'impression', '9', 240490438L, datetime.datetime(2013, 5, 16, 22, 20, 32), 0.0940038331593748, False, 'best']
['tdotwells', 202542619, 'impression', '18', 240499506L, datetime.datetime(2013, 5, 16, 22, 20, 32), 0.385776438952218, False, 'best']
['tdotwells', 202542619, 'impression', '11', 240490691L, datetime.datetime(2013, 5, 16, 22, 20, 32), 0.502729538034581, False, 'best']
['tdotwells', 202542619, 'impression', '4', 240487396L, datetime.datetime(2013, 5, 16, 22, 20, 32), 0.29107457862411, False, 'best']
['tdotwells', 202542619, 'impression', '14', 240491071L, datetime.datetime(2013, 5, 16, 22, 20, 32), 0.303712872544278, False, 'best']
['tdotwells', 202542619, 'impression', '10', 240490657L, datetime.datetime(2013, 5, 16, 22, 20, 32), 0.251777892992687, False, 'best']
['tdotwells', 202542619, 'impression', '7', 240489961L, datetime.datetime(2013, 5, 16, 22, 20, 32), 0.786881843201142, False, 'best']

