['elemejetope', 202588434, 'impression', '18', 241450664L, datetime.datetime(2013, 5, 28, 5, 34, 4), 0.16195260136369, False, 'best']
['elemejetope', 202588434, 'impression', '7', 241451764L, datetime.datetime(2013, 5, 28, 5, 34, 4), 0.345791647909276, False, 'best']
['elemejetope', 202588434, 'impression', '16', 241452875L, datetime.datetime(2013, 5, 28, 5, 34, 4), 0.172190248027689, False, 'best']
['elemejetope', 202588434, 'impression', '9', 241450576L, datetime.datetime(2013, 5, 28, 5, 34, 4), 0.292759878393222, False, 'best']
['elemejetope', 202588434, 'impression', '6', 241450680L, datetime.datetime(2013, 5, 28, 5, 34, 4), 0.375813369016041, False, 'best']
['elemejetope', 202588434, 'impression', '3', 241451832L, datetime.datetime(2013, 5, 28, 5, 34, 4), 0.44493211884173, False, 'best']
['elemejetope', 202588434, 'impression', '17', 241450567L, datetime.datetime(2013, 5, 28, 5, 34, 4), 0.170294170330724, False, 'best']
['elemejetope', 202588434, 'impression', '14', 241452810L, datetime.datetime(2013, 5, 28, 5, 34, 4), 0.223012796812853, False, 'best']
['elemejetope', 202588434, 'impression', '5', 241450619L, datetime.datetime(2013, 5, 28, 5, 34, 4), 0.422087994464506, False, 'best']
['elemejetope', 202588434, 'impression', '1', 241450499L, datetime.datetime(2013, 5, 28, 5, 34, 4), 0.554760781108208, False, 'best']
['elemejetope', 202588434, 'impression', '12', 241450321L, datetime.datetime(2013, 5, 28, 5, 34, 4), 0.25928665660435, False, 'best']
['elemejetope', 202588434, 'impression', '11', 241450849L, datetime.datetime(2013, 5, 28, 5, 34, 4), 0.262609879136728, False, 'best']
['elemejetope', 202588434, 'impression', '13', 241454583L, datetime.datetime(2013, 5, 28, 5, 34, 4), 0.22821759382057, False, 'best']
['elemejetope', 202588434, 'impression', '19', 241452881L, datetime.datetime(2013, 5, 28, 5, 34, 4), 0.137316977172557, False, 'best']
['elemejetope', 202588434, 'impression', '10', 241450961L, datetime.datetime(2013, 5, 28, 5, 34, 4), 0.265793875619369, False, 'best']
['elemejetope', 202588434, 'impression', '20', 241453188L, datetime.datetime(2013, 5, 28, 5, 34, 4), 0.123436893447129, False, 'best']
['elemejetope', 202588434, 'impression', '4', 241450475L, datetime.datetime(2013, 5, 28, 5, 34, 4), 0.426026913332738, False, 'best']
['elemejetope', 202588434, 'impression', '2', 241450260L, datetime.datetime(2013, 5, 28, 5, 34, 4), 0.452860309862993, False, 'best']
['elemejetope', 202588434, 'impression', '15', 241451621L, datetime.datetime(2013, 5, 28, 5, 34, 4), 0.175797427349802, False, 'best']
['elemejetope', 202588434, 'impression', '8', 241454910L, datetime.datetime(2013, 5, 28, 5, 34, 4), 0.330813199381143, False, 'best']
['elemejetope', 202588434, 'impression', '4', 241450475L, datetime.datetime(2013, 5, 28, 6, 1, 55), 0.426026913332738, False, 'best']
['elemejetope', 202588434, 'impression', '20', 241453188L, datetime.datetime(2013, 5, 28, 6, 1, 55), 0.123436893447129, False, 'best']
['elemejetope', 202588434, 'impression', '13', 241454583L, datetime.datetime(2013, 5, 28, 6, 1, 55), 0.22821759382057, False, 'best']
['elemejetope', 202588434, 'impression', '10', 241450961L, datetime.datetime(2013, 5, 28, 6, 1, 55), 0.265793875619369, False, 'best']
