['h_li', 202581899, 'impression', '1', 241305137L, datetime.datetime(2013, 5, 27, 6, 34, 4), 0.887782843622178, False, 'best']
['h_li', 202581899, 'impression', '3', 241359059L, datetime.datetime(2013, 5, 27, 6, 34, 4), 0.760510891054021, False, 'best']
['h_li', 202581899, 'impression', '2', 241323629L, datetime.datetime(2013, 5, 27, 6, 34, 4), 0.869986601838717, False, 'best']
['h_li', 202581899, 'impression', '5', 241308138L, datetime.datetime(2013, 5, 27, 6, 34, 4), 0.665729646198613, False, 'best']
['h_li', 202581899, 'impression', '4', 241301156L, datetime.datetime(2013, 5, 27, 6, 34, 4), 0.6832706966521, False, 'best']
['h_li', 202581899, 'impression', '6', 241355924L, datetime.datetime(2013, 5, 27, 6, 34, 4), 0.463848428974493, False, 'best']
['h_li', 202581899, 'view_full_application_via_name', '2', 241323629L, datetime.datetime(2013, 5, 27, 6, 34, 12), 0.869986601838717, False, 'best']
['h_li', 202581899, 'impression', '6', 241355924L, datetime.datetime(2013, 5, 27, 6, 34, 25), 0.463848428974493, False, 'best']
['h_li', 202581899, 'impression', '4', 241301156L, datetime.datetime(2013, 5, 27, 6, 34, 25), 0.6832706966521, False, 'best']
['h_li', 202581899, 'impression', '3', 241359059L, datetime.datetime(2013, 5, 27, 6, 34, 25), 0.760510891054021, False, 'best']
['h_li', 202581899, 'impression', '1', 241305137L, datetime.datetime(2013, 5, 27, 6, 34, 25), 0.887782843622178, False, 'best']
['h_li', 202581899, 'impression', '2', 241323629L, datetime.datetime(2013, 5, 27, 6, 34, 25), 0.869986601838717, False, 'best']
['h_li', 202581899, 'impression', '5', 241308138L, datetime.datetime(2013, 5, 27, 6, 34, 25), 0.665729646198613, False, 'best']
['h_li', 202581899, 'view_full_application_via_name', '3', 241359059L, datetime.datetime(2013, 5, 27, 6, 34, 27), 0.760510891054021, False, 'best']
['h_li', 202581899, 'impression', '1', 241305137L, datetime.datetime(2013, 5, 27, 6, 46, 47), 0.887782843622178, False, 'best']
['h_li', 202581899, 'impression', '3', 241359059L, datetime.datetime(2013, 5, 27, 6, 46, 47), 0.760510891054021, False, 'best']
['h_li', 202581899, 'impression', '4', 241301156L, datetime.datetime(2013, 5, 27, 6, 46, 47), 0.6832706966521, False, 'best']
['h_li', 202581899, 'impression', '6', 241355924L, datetime.datetime(2013, 5, 27, 6, 46, 47), 0.463848428974493, False, 'best']
['h_li', 202581899, 'impression', '5', 241308138L, datetime.datetime(2013, 5, 27, 6, 46, 47), 0.665729646198613, False, 'best']
['h_li', 202581899, 'impression', '2', 241323629L, datetime.datetime(2013, 5, 27, 6, 46, 47), 0.869986601838717, False, 'best']

['h_li', 202581899, 'impression', '5', 241308138L, datetime.datetime(2013, 5, 27, 9, 6, 23), 0.665729646198613, False, 'best']
['h_li', 202581899, 'impression', '1', 241305137L, datetime.datetime(2013, 5, 27, 9, 6, 23), 0.887782843622178, False, 'best']
['h_li', 202581899, 'impression', '3', 241359059L, datetime.datetime(2013, 5, 27, 9, 6, 23), 0.760510891054021, False, 'best']
['h_li', 202581899, 'impression', '4', 241301156L, datetime.datetime(2013, 5, 27, 9, 6, 23), 0.6832706966521, False, 'best']
['h_li', 202581899, 'impression', '6', 241355924L, datetime.datetime(2013, 5, 27, 9, 6, 23), 0.463848428974493, False, 'best']
['h_li', 202581899, 'impression', '2', 241323629L, datetime.datetime(2013, 5, 27, 9, 6, 23), 0.869986601838717, False, 'best']
['h_li', 202581899, 'hide', '5', 241308138L, datetime.datetime(2013, 5, 27, 9, 7, 11), 0.665729646198613, False, 'best']
['h_li', 202581899, 'view_full_application_via_name', '6', 241355924L, datetime.datetime(2013, 5, 27, 9, 7, 14), 0.463848428974493, False, 'best']
['h_li', 202581899, 'impression', '5', 241355924L, datetime.datetime(2013, 5, 27, 9, 7, 34), 0.463848428974493, False, 'best']
['h_li', 202581899, 'impression', '4', 241301156L, datetime.datetime(2013, 5, 27, 9, 7, 34), 0.6832706966521, False, 'best']
['h_li', 202581899, 'impression', '1', 241305137L, datetime.datetime(2013, 5, 27, 9, 7, 34), 0.887782843622178, False, 'best']
['h_li', 202581899, 'impression', '3', 241359059L, datetime.datetime(2013, 5, 27, 9, 7, 34), 0.760510891054021, False, 'best']
['h_li', 202581899, 'impression', '2', 241323629L, datetime.datetime(2013, 5, 27, 9, 7, 34), 0.869986601838717, False, 'best']
['h_li', 202581899, 'hide', '5', 241355924L, datetime.datetime(2013, 5, 27, 9, 7, 36), 0.463848428974493, False, 'best']

['h_li', 202581899, 'impression', '2', 241323629L, datetime.datetime(2013, 5, 28, 11, 38, 41), 0.869986601838717, False, 'best']
['h_li', 202581899, 'impression', '7', 241407066L, datetime.datetime(2013, 5, 28, 11, 38, 41), 0.373434741603872, False, 'best']
['h_li', 202581899, 'impression', '5', 241454578L, datetime.datetime(2013, 5, 28, 11, 38, 41), 0.714932266981452, False, 'best']
['h_li', 202581899, 'impression', '4', 241359059L, datetime.datetime(2013, 5, 28, 11, 38, 41), 0.760510891054021, False, 'best']
['h_li', 202581899, 'impression', '1', 241305137L, datetime.datetime(2013, 5, 28, 11, 38, 41), 0.887782843622178, False, 'best']
['h_li', 202581899, 'impression', '6', 241301156L, datetime.datetime(2013, 5, 28, 11, 38, 41), 0.6832706966521, False, 'best']
['h_li', 202581899, 'impression', '3', 241411053L, datetime.datetime(2013, 5, 28, 11, 38, 41), 0.765802728978819, False, 'best']

