['communiiity', 202581635, 'impression', '7', 241317340L, datetime.datetime(2013, 5, 27, 20, 10, 30), 0.315351464495291, False, 'time']
['communiiity', 202581635, 'impression', '5', 241318713L, datetime.datetime(2013, 5, 27, 20, 10, 30), 0.0785813509708097, False, 'time']
['communiiity', 202581635, 'impression', '13', 241306214L, datetime.datetime(2013, 5, 27, 20, 10, 30), 0.637740147834613, False, 'time']
['communiiity', 202581635, 'impression', '9', 241315657L, datetime.datetime(2013, 5, 27, 20, 10, 30), 0.15949661684816, False, 'time']
['communiiity', 202581635, 'impression', '8', 241316701L, datetime.datetime(2013, 5, 27, 20, 10, 30), 0.111030287606848, False, 'time']
['communiiity', 202581635, 'impression', '1', 241406145L, datetime.datetime(2013, 5, 27, 20, 10, 30), 0.297835284601152, False, 'time']
['communiiity', 202581635, 'impression', '17', 241298394L, datetime.datetime(2013, 5, 27, 20, 10, 30), 0.185390538164728, False, 'time']
['communiiity', 202581635, 'impression', '6', 241317823L, datetime.datetime(2013, 5, 27, 20, 10, 30), 0.188176311254499, False, 'time']
['communiiity', 202581635, 'impression', '2', 241382791L, datetime.datetime(2013, 5, 27, 20, 10, 30), 0.172268535671073, False, 'time']

