['aritzbm', 202548075, 'impression', '3', 240601921L, datetime.datetime(2013, 5, 19, 18, 22, 46), 0.199038923498887, False, 'time']
['aritzbm', 202548075, 'impression', '6', 240589673L, datetime.datetime(2013, 5, 19, 18, 22, 46), 0.540905236290327, False, 'time']
['aritzbm', 202548075, 'impression', '8', 240587422L, datetime.datetime(2013, 5, 19, 18, 22, 46), 0.371711626539563, False, 'time']
['aritzbm', 202548075, 'impression', '7', 240588283L, datetime.datetime(2013, 5, 19, 18, 22, 46), 0.480541945072885, False, 'time']

['aritzbm', 202548075, 'impression', '2', 240615265L, datetime.datetime(2013, 5, 20, 0, 34, 33), 0.351609361022614, False, 'time']
['aritzbm', 202548075, 'impression', '3', 240594753L, datetime.datetime(2013, 5, 20, 0, 34, 33), 0.305852217414511, True, 'time']
['aritzbm', 202548075, 'impression', '7', 240587344L, datetime.datetime(2013, 5, 20, 0, 34, 33), 0.31270878937809, False, 'time']
['aritzbm', 202548075, 'impression', '1', 240702363L, datetime.datetime(2013, 5, 20, 0, 34, 33), 0.209378274008091, False, 'time']
['aritzbm', 202548075, 'impression', '4', 240589673L, datetime.datetime(2013, 5, 20, 0, 34, 33), 0.540905236290327, False, 'time']
['aritzbm', 202548075, 'impression', '6', 240587422L, datetime.datetime(2013, 5, 20, 0, 34, 33), 0.371711626539563, False, 'time']
['aritzbm', 202548075, 'impression', '5', 240588283L, datetime.datetime(2013, 5, 20, 0, 34, 33), 0.480541945072885, False, 'time']
['aritzbm', 202548075, 'shortlist', '6', 240587422L, datetime.datetime(2013, 5, 20, 0, 36, 42), 0.371711626539563, False, 'time']

['aritzbm', 202548075, 'impression', '1', 240702363L, datetime.datetime(2013, 5, 20, 20, 12, 5), 0.209378274008091, False, 'time']
['aritzbm', 202548075, 'impression', '7', 240587344L, datetime.datetime(2013, 5, 20, 20, 12, 5), 0.31270878937809, False, 'time']
['aritzbm', 202548075, 'impression', '3', 240594753L, datetime.datetime(2013, 5, 20, 20, 12, 5), 0.305852217414511, True, 'time']
['aritzbm', 202548075, 'impression', '2', 240615265L, datetime.datetime(2013, 5, 20, 20, 12, 5), 0.351609361022614, False, 'time']
['aritzbm', 202548075, 'impression', '4', 240589673L, datetime.datetime(2013, 5, 20, 20, 12, 5), 0.540905236290327, False, 'time']
['aritzbm', 202548075, 'impression', '6', 240587422L, datetime.datetime(2013, 5, 20, 20, 12, 5), 0.371711626539563, False, 'time']
['aritzbm', 202548075, 'impression', '5', 240588283L, datetime.datetime(2013, 5, 20, 20, 12, 5), 0.480541945072885, False, 'time']
['aritzbm', 202548075, 'impression', '2', 240615265L, datetime.datetime(2013, 5, 20, 20, 12, 7), 0.351609361022614, False, 'time']
['aritzbm', 202548075, 'shortlist', '4', 240589673L, datetime.datetime(2013, 5, 20, 20, 12, 11), 0.540905236290327, False, 'time']
['aritzbm', 202548075, 'view_full_application_via_message', '7', 240587344L, datetime.datetime(2013, 5, 20, 20, 12, 19), 0.31270878937809, False, 'time']
['aritzbm', 202548075, 'impression', '7', 240587344L, datetime.datetime(2013, 5, 20, 20, 12, 33), 0.31270878937809, False, 'time']
['aritzbm', 202548075, 'impression', '4', 240589673L, datetime.datetime(2013, 5, 20, 20, 12, 33), 0.540905236290327, False, 'time']
