['leon740gk', 202540118, 'impression', '4', 240435878L, datetime.datetime(2013, 5, 15, 10, 45, 13), 0.608507302931727, False, 'time']
['leon740gk', 202540118, 'impression', '6', 240434073L, datetime.datetime(2013, 5, 15, 10, 45, 13), 0.583047746956907, False, 'time']
['leon740gk', 202540118, 'impression', '1', 240443325L, datetime.datetime(2013, 5, 15, 10, 45, 13), 0.132600515940457, False, 'time']
['leon740gk', 202540118, 'impression', '2', 240442889L, datetime.datetime(2013, 5, 15, 10, 45, 13), 0.179249060525557, False, 'time']
['leon740gk', 202540118, 'expand_tile', '3', 240441619L, datetime.datetime(2013, 5, 15, 10, 45, 30), 0.359805457848029, False, 'time']
['leon740gk', 202540118, 'send_message', '3', 240441619L, datetime.datetime(2013, 5, 15, 10, 45, 34), 0.359805457848029, False, 'time']
['leon740gk', 202540118, 'send_message', '3', 240441619L, datetime.datetime(2013, 5, 15, 10, 45, 55), 0.359805457848029, False, 'time']
['leon740gk', 202540118, 'expand_tile', '3', 240441619L, datetime.datetime(2013, 5, 15, 10, 47, 29), 0.359805457848029, False, 'time']
['leon740gk', 202540118, 'view_full_application', '3', 240441619L, datetime.datetime(2013, 5, 15, 10, 47, 41), 0.359805457848029, False, 'time']
['leon740gk', 202540118, 'impression', '2', 240442889L, datetime.datetime(2013, 5, 15, 10, 48, 27), 0.179249060525557, False, 'time']
['leon740gk', 202540118, 'impression', '6', 240434073L, datetime.datetime(2013, 5, 15, 10, 48, 27), 0.583047746956907, False, 'time']
['leon740gk', 202540118, 'impression', '4', 240435878L, datetime.datetime(2013, 5, 15, 10, 48, 27), 0.608507302931727, False, 'time']
['leon740gk', 202540118, 'impression', '1', 240443325L, datetime.datetime(2013, 5, 15, 10, 48, 27), 0.132600515940457, False, 'time']
['leon740gk', 202540118, 'impression', '3', 240441619L, datetime.datetime(2013, 5, 15, 10, 48, 27), 0.359805457848029, False, 'time']
['leon740gk', 202540118, 'impression', '5', 240435730L, datetime.datetime(2013, 5, 15, 10, 48, 27), 0.283548438405065, False, 'time']
['leon740gk', 202540118, 'hide', '2', 240442889L, datetime.datetime(2013, 5, 15, 10, 48, 30), 0.179249060525557, False, 'time']
['leon740gk', 202540118, 'expand_tile', '1', 240443325L, datetime.datetime(2013, 5, 15, 10, 48, 38), 0.132600515940457, False, 'time']
['leon740gk', 202540118, 'hide', '1', 240443325L, datetime.datetime(2013, 5, 15, 10, 48, 53), 0.132600515940457, False, 'time']
['leon740gk', 202540118, 'expand_tile', '1', 240443325L, datetime.datetime(2013, 5, 15, 10, 48, 53), 0.132600515940457, False, 'time']
['leon740gk', 202540118, 'impression', '1', 240444623L, datetime.datetime(2013, 5, 15, 11, 7, 11), 0.041743043579629, False, 'time']
['leon740gk', 202540118, 'impression', '5', 240434073L, datetime.datetime(2013, 5, 15, 11, 7, 11), 0.583047746956907, False, 'time']
