['kerriho', 202585047, 'impression', '1', 241429552L, datetime.datetime(2013, 5, 27, 23, 21, 5), 0.245599832400307, False, 'time']
['kerriho', 202585047, 'impression', '1', 241429552L, datetime.datetime(2013, 5, 27, 23, 21, 5), 0.245599832400307, False, 'time']
['kerriho', 202585047, 'impression', '1', 241429552L, datetime.datetime(2013, 5, 27, 23, 21, 6), 0.245599832400307, False, 'time']
['kerriho', 202585047, 'impression', '1', 241429552L, datetime.datetime(2013, 5, 27, 23, 21, 7), 0.245599832400307, False, 'time']
['kerriho', 202585047, 'impression', '1', 241429552L, datetime.datetime(2013, 5, 27, 23, 21, 8), 0.245599832400307, False, 'time']
['kerriho', 202585047, 'impression', '2', 241423740L, datetime.datetime(2013, 5, 27, 23, 21, 10), 0.133753994023391, False, 'time']
['kerriho', 202585047, 'impression', None, 241423740L, datetime.datetime(2013, 5, 27, 23, 21, 10), 0.133753994023391, False, 'time']
['kerriho', 202585047, 'impression', '3', 241421376L, datetime.datetime(2013, 5, 27, 23, 21, 12), 0.0875834639368302, False, 'time']
['kerriho', 202585047, 'impression', '3', 241421376L, datetime.datetime(2013, 5, 27, 23, 21, 12), 0.0875834639368302, False, 'time']
['kerriho', 202585047, 'impression', '4', 241418883L, datetime.datetime(2013, 5, 27, 23, 21, 21), 0.0462500921787425, False, 'time']
['kerriho', 202585047, 'expand_tile', '4', 241418883L, datetime.datetime(2013, 5, 27, 23, 21, 34), 0.0462500921787425, False, 'time']
['kerriho', 202585047, 'expand_tile', '2', 241423740L, datetime.datetime(2013, 5, 27, 23, 21, 45), 0.133753994023391, False, 'time']
['kerriho', 202585047, 'view_full_application_via_name', '2', 241423740L, datetime.datetime(2013, 5, 27, 23, 22, 44), 0.133753994023391, False, 'time']
['kerriho', 202585047, 'impression', '13', 241384957L, datetime.datetime(2013, 5, 27, 23, 22, 54), 0.172077889067843, False, 'time']
['kerriho', 202585047, 'impression', '20', 241380952L, datetime.datetime(2013, 5, 27, 23, 22, 54), 0.297741283442129, False, 'time']
['kerriho', 202585047, 'impression', '3', 241403616L, datetime.datetime(2013, 5, 27, 23, 22, 54), 0.193375329720501, True, 'time']
['kerriho', 202585047, 'impression', '14', 241384634L, datetime.datetime(2013, 5, 27, 23, 22, 54), 0.146633855485652, False, 'time']
['kerriho', 202585047, 'impression', '16', 241382429L, datetime.datetime(2013, 5, 27, 23, 22, 54), 0.501261466493085, False, 'time']
['kerriho', 202585047, 'impression', '15', 241383943L, datetime.datetime(2013, 5, 27, 23, 22, 54), 0.183197824881884, False, 'time']
['kerriho', 202585047, 'impression', '17', 241381878L, datetime.datetime(2013, 5, 27, 23, 22, 54), 0.24907224605492, False, 'time']
['kerriho', 202585047, 'impression', '11', 241389062L, datetime.datetime(2013, 5, 27, 23, 22, 54), 0.0476975786065185, False, 'time']
['kerriho', 202585047, 'impression', '8', 241391198L, datetime.datetime(2013, 5, 27, 23, 22, 54), 0.0942780310520986, False, 'time']
['kerriho', 202585047, 'impression', '18', 241381692L, datetime.datetime(2013, 5, 27, 23, 22, 54), 0.231955611115261, False, 'time']
['kerriho', 202585047, 'impression', '19', 241381117L, datetime.datetime(2013, 5, 27, 23, 22, 54), 0.40424874166528, False, 'time']
['kerriho', 202585047, 'impression', '10', 241389077L, datetime.datetime(2013, 5, 27, 23, 22, 54), 0.305816025319393, False, 'time']
['kerriho', 202585047, 'impression', '5', 241396793L, datetime.datetime(2013, 5, 27, 23, 22, 54), 0.149802963647998, False, 'time']
['kerriho', 202585047, 'impression', '2', 241418883L, datetime.datetime(2013, 5, 27, 23, 22, 54), 0.0462500921787425, False, 'time']
['kerriho', 202585047, 'impression', '12', 241388972L, datetime.datetime(2013, 5, 27, 23, 22, 54), 0.11106817493801, False, 'time']
['kerriho', 202585047, 'impression', '4', 241402051L, datetime.datetime(2013, 5, 27, 23, 22, 54), 0.0784418025087361, False, 'time']
['kerriho', 202585047, 'impression', '7', 241392988L, datetime.datetime(2013, 5, 27, 23, 22, 54), 0.619306784148287, False, 'time']
['kerriho', 202585047, 'impression', '6', 241394903L, datetime.datetime(2013, 5, 27, 23, 22, 54), 0.201727937884566, False, 'time']
['kerriho', 202585047, 'impression', '9', 241390735L, datetime.datetime(2013, 5, 27, 23, 22, 54), 0.132253965517824, False, 'time']
['kerriho', 202585047, 'impression', '1', 241423740L, datetime.datetime(2013, 5, 27, 23, 22, 54), 0.133753994023391, False, 'time']
['kerriho', 202585047, 'impression', '1', 241423740L, datetime.datetime(2013, 5, 27, 23, 23, 39), 0.133753994023391, False, 'time']
['kerriho', 202585047, 'impression', '1', 241423740L, datetime.datetime(2013, 5, 27, 23, 23, 45), 0.133753994023391, False, 'time']
['kerriho', 202585047, 'impression', '2', 241418883L, datetime.datetime(2013, 5, 27, 23, 23, 45), 0.0462500921787425, False, 'time']
['kerriho', 202585047, 'expand_tile', '2', 241418883L, datetime.datetime(2013, 5, 27, 23, 23, 50), 0.0462500921787425, False, 'time']
['kerriho', 202585047, 'impression', '1', 241423740L, datetime.datetime(2013, 5, 27, 23, 25, 58), 0.133753994023391, False, 'time']
['kerriho', 202585047, 'shortlist', '2', 241418883L, datetime.datetime(2013, 5, 27, 23, 26), 0.0462500921787425, False, 'time']
['kerriho', 202585047, 'expand_tile', '2', 241418883L, datetime.datetime(2013, 5, 27, 23, 26), 0.0462500921787425, False, 'time']
['kerriho', 202585047, 'impression', '3', 241403616L, datetime.datetime(2013, 5, 27, 23, 26, 7), 0.193375329720501, True, 'time']
['kerriho', 202585047, 'impression', '3', 241403616L, datetime.datetime(2013, 5, 27, 23, 26, 8), 0.193375329720501, True, 'time']
['kerriho', 202585047, 'expand_tile', '3', 241403616L, datetime.datetime(2013, 5, 27, 23, 26, 21), 0.193375329720501, True, 'time']
['kerriho', 202585047, 'impression', '3', 241403616L, datetime.datetime(2013, 5, 27, 23, 26, 53), 0.193375329720501, True, 'time']
['kerriho', 202585047, 'expand_tile', '3', 241403616L, datetime.datetime(2013, 5, 27, 23, 26, 57), 0.193375329720501, True, 'time']
['kerriho', 202585047, 'impression', '3', 241403616L, datetime.datetime(2013, 5, 27, 23, 26, 57), 0.193375329720501, True, 'time']
['kerriho', 202585047, 'expand_tile', '4', 241402051L, datetime.datetime(2013, 5, 27, 23, 27, 1), 0.0784418025087361, False, 'time']
['kerriho', 202585047, 'impression', '4', 241402051L, datetime.datetime(2013, 5, 27, 23, 27, 13), 0.0784418025087361, False, 'time']
