['bryantwaters', 202538759, 'impression', '11', 240401627L, datetime.datetime(2013, 5, 16, 19, 6, 26), 0.114028746790972, False, 'best']
['bryantwaters', 202538759, 'impression', '18', 240409171L, datetime.datetime(2013, 5, 16, 19, 6, 26), 0.0925009486790578, False, 'best']
['bryantwaters', 202538759, 'impression', '2', 240451508L, datetime.datetime(2013, 5, 16, 19, 6, 26), 0.190246943216314, False, 'best']
['bryantwaters', 202538759, 'hide', '11', 240401627L, datetime.datetime(2013, 5, 16, 19, 9, 25), 0.114028746790972, False, 'best']
['bryantwaters', 202538759, 'hide', '14', 240408786L, datetime.datetime(2013, 5, 16, 19, 9, 31), 0.104979706978872, False, 'best']
['bryantwaters', 202538759, 'hide', '17', 240411225L, datetime.datetime(2013, 5, 16, 19, 9, 36), 0.0928657116588311, False, 'best']
['bryantwaters', 202538759, 'hide', '20', 240449212L, datetime.datetime(2013, 5, 16, 19, 9, 41), 0.0882575132223264, False, 'best']
['bryantwaters', 202538759, 'hide', '23', 240416193L, datetime.datetime(2013, 5, 16, 19, 9, 46), 0.0832348879503369, False, 'best']
['bryantwaters', 202538759, 'impression', '19', 240402237L, datetime.datetime(2013, 5, 16, 19, 10, 40), 0.0890139032414161, False, 'best']
['bryantwaters', 202538759, 'impression', '8', 240428315L, datetime.datetime(2013, 5, 16, 19, 10, 40), 0.129451822836843, False, 'best']
['bryantwaters', 202538759, 'impression', '3', 240400990L, datetime.datetime(2013, 5, 16, 19, 10, 40), 0.17812259859992, True, 'best']
['bryantwaters', 202538759, 'impression', '4', 240412747L, datetime.datetime(2013, 5, 16, 19, 10, 40), 0.162431112150969, False, 'best']
['bryantwaters', 202538759, 'impression', '6', 240404752L, datetime.datetime(2013, 5, 16, 19, 10, 40), 0.140275850653684, False, 'best']
['bryantwaters', 202538759, 'impression', '5', 240453901L, datetime.datetime(2013, 5, 16, 19, 10, 40), 0.156664739242072, False, 'best']
['bryantwaters', 202538759, 'impression', '12', 240437035L, datetime.datetime(2013, 5, 16, 19, 10, 40), 0.112336437193965, False, 'best']
['bryantwaters', 202538759, 'impression', '1', 240401331L, datetime.datetime(2013, 5, 16, 19, 10, 40), 0.224714790901404, False, 'best']
['bryantwaters', 202538759, 'impression', '10', 240469223L, datetime.datetime(2013, 5, 16, 19, 10, 40), 0.127538890412726, False, 'best']
['bryantwaters', 202538759, 'impression', '20', 240449212L, datetime.datetime(2013, 5, 16, 19, 10, 40), 0.0882575132223264, False, 'best']
['bryantwaters', 202538759, 'impression', '14', 240408786L, datetime.datetime(2013, 5, 16, 19, 10, 40), 0.104979706978872, False, 'best']
['bryantwaters', 202538759, 'impression', '16', 240433422L, datetime.datetime(2013, 5, 16, 19, 10, 40), 0.0954261662772324, False, 'best']
['bryantwaters', 202538759, 'impression', '9', 240427751L, datetime.datetime(2013, 5, 16, 19, 10, 40), 0.128022721847171, False, 'best']
['bryantwaters', 202538759, 'impression', '15', 240456700L, datetime.datetime(2013, 5, 16, 19, 10, 40), 0.0990132246524844, False, 'best']
['bryantwaters', 202538759, 'impression', '2', 240451508L, datetime.datetime(2013, 5, 16, 19, 10, 40), 0.190246943216314, False, 'best']
['bryantwaters', 202538759, 'impression', '18', 240409171L, datetime.datetime(2013, 5, 16, 19, 10, 40), 0.0925009486790578, False, 'best']
['bryantwaters', 202538759, 'impression', '7', 240469042L, datetime.datetime(2013, 5, 16, 19, 10, 40), 0.130620458025697, False, 'best']
['bryantwaters', 202538759, 'impression', '17', 240411225L, datetime.datetime(2013, 5, 16, 19, 10, 40), 0.0928657116588311, False, 'best']
['bryantwaters', 202538759, 'impression', '11', 240401627L, datetime.datetime(2013, 5, 16, 19, 10, 40), 0.114028746790972, False, 'best']
['bryantwaters', 202538759, 'impression', '13', 240445687L, datetime.datetime(2013, 5, 16, 19, 10, 40), 0.110621388110104, False, 'best']
['bryantwaters', 202538759, 'hide', '2', 240451508L, datetime.datetime(2013, 5, 16, 19, 10, 57), 0.190246943216314, False, 'best']
['bryantwaters', 202538759, 'shortlist', '3', 240400990L, datetime.datetime(2013, 5, 16, 19, 11, 4), 0.17812259859992, True, 'best']

['bryantwaters', 202538759, 'expand_tile', '1', 240401331L, datetime.datetime(2013, 5, 16, 19, 55, 41), 0.224714790901404, False, 'best']
['bryantwaters', 202538759, 'hide', '1', 240401331L, datetime.datetime(2013, 5, 16, 19, 55, 50), 0.224714790901404, False, 'best']
['bryantwaters', 202538759, 'expand_tile', '1', 240401331L, datetime.datetime(2013, 5, 16, 19, 55, 51), 0.224714790901404, False, 'best']
['bryantwaters', 202538759, 'expand_tile', '4', 240412747L, datetime.datetime(2013, 5, 16, 19, 55, 55), 0.162431112150969, False, 'best']
['bryantwaters', 202538759, 'shortlist', '4', 240412747L, datetime.datetime(2013, 5, 16, 19, 56, 6), 0.162431112150969, False, 'best']
['bryantwaters', 202538759, 'expand_tile', '4', 240412747L, datetime.datetime(2013, 5, 16, 19, 56, 6), 0.162431112150969, False, 'best']
['bryantwaters', 202538759, 'collapse_tile', '4', 240412747L, datetime.datetime(2013, 5, 16, 19, 56, 9), 0.162431112150969, False, 'best']
['bryantwaters', 202538759, 'expand_tile', '5', 240453901L, datetime.datetime(2013, 5, 16, 19, 56, 18), 0.156664739242072, False, 'best']
['bryantwaters', 202538759, 'expand_tile', '6', 240404752L, datetime.datetime(2013, 5, 16, 19, 56, 31), 0.140275850653684, False, 'best']
['bryantwaters', 202538759, 'collapse_tile', '6', 240404752L, datetime.datetime(2013, 5, 16, 19, 56, 36), 0.140275850653684, False, 'best']
['bryantwaters', 202538759, 'expand_tile', '7', 240469042L, datetime.datetime(2013, 5, 16, 19, 56, 46), 0.130620458025697, False, 'best']
['bryantwaters', 202538759, 'expand_tile', '7', 240469042L, datetime.datetime(2013, 5, 16, 19, 56, 50), 0.130620458025697, False, 'best']
['bryantwaters', 202538759, 'shortlist', '7', 240469042L, datetime.datetime(2013, 5, 16, 19, 56, 50), 0.130620458025697, False, 'best']
['bryantwaters', 202538759, 'collapse_tile', '7', 240469042L, datetime.datetime(2013, 5, 16, 19, 56, 52), 0.130620458025697, False, 'best']
['bryantwaters', 202538759, 'expand_tile', '8', 240428315L, datetime.datetime(2013, 5, 16, 19, 57, 5), 0.129451822836843, False, 'best']
['bryantwaters', 202538759, 'expand_tile', '8', 240428315L, datetime.datetime(2013, 5, 16, 19, 57, 6), 0.129451822836843, False, 'best']
['bryantwaters', 202538759, 'hide', '8', 240428315L, datetime.datetime(2013, 5, 16, 19, 57, 6), 0.129451822836843, False, 'best']
['bryantwaters', 202538759, 'expand_tile', '9', 240427751L, datetime.datetime(2013, 5, 16, 19, 57, 18), 0.128022721847171, False, 'best']
['bryantwaters', 202538759, 'expand_tile', '9', 240427751L, datetime.datetime(2013, 5, 16, 19, 57, 34), 0.128022721847171, False, 'best']
['bryantwaters', 202538759, 'hide', '9', 240427751L, datetime.datetime(2013, 5, 16, 19, 57, 34), 0.128022721847171, False, 'best']
['bryantwaters', 202538759, 'expand_tile', '10', 240469223L, datetime.datetime(2013, 5, 16, 19, 57, 42), 0.127538890412726, False, 'best']
['bryantwaters', 202538759, 'hide', '10', 240469223L, datetime.datetime(2013, 5, 16, 19, 58, 1), 0.127538890412726, False, 'best']
['bryantwaters', 202538759, 'expand_tile', '10', 240469223L, datetime.datetime(2013, 5, 16, 19, 58, 2), 0.127538890412726, False, 'best']
['bryantwaters', 202538759, 'expand_tile', '12', 240437035L, datetime.datetime(2013, 5, 16, 19, 58, 7), 0.112336437193965, False, 'best']
['bryantwaters', 202538759, 'expand_tile', '13', 240445687L, datetime.datetime(2013, 5, 16, 19, 58, 26), 0.110621388110104, False, 'best']
['bryantwaters', 202538759, 'hide', '13', 240445687L, datetime.datetime(2013, 5, 16, 19, 58, 42), 0.110621388110104, False, 'best']
['bryantwaters', 202538759, 'expand_tile', '13', 240445687L, datetime.datetime(2013, 5, 16, 19, 58, 43), 0.110621388110104, False, 'best']
['bryantwaters', 202538759, 'expand_tile', '14', 240408786L, datetime.datetime(2013, 5, 16, 19, 58, 47), 0.104979706978872, False, 'best']
